PARAMETRIC_CURVE_CARTESIAN_2D
Double pendulum - phase space trajectory
t1: 0
t2: 1
NumPoints: 3379
0 0.5 0.101 
0.000296033 0.482618 0.115227 
0.000592066 0.465264 0.129489 
0.000888099 0.447931 0.143776 
0.00118413 0.430612 0.15808 
0.00148017 0.4133 0.172392 
0.0017762 0.395985 0.186701 
0.00207223 0.378659 0.200997 
0.00236827 0.361312 0.215266 
0.0026643 0.343932 0.229496 
0.00296033 0.326508 0.243672 
0.00325636 0.309027 0.257778 
0.0035524 0.291473 0.271793 
0.00384843 0.273832 0.285697 
0.00414446 0.256084 0.299466 
0.0044405 0.238211 0.313071 
0.00473653 0.220189 0.32648 
0.00503256 0.201994 0.339652 
0.0053286 0.183597 0.35254 
0.00562463 0.164965 0.365087 
0.00592066 0.14606 0.377219 
0.0062167 0.12684 0.388845 
0.00651273 0.107255 0.399845 
0.00680876 0.0872468 0.410055 
0.0071048 0.066754 0.419252 
0.00740083 0.0457142 0.427116 
0.00769686 0.0240864 0.433171 
0.0079929 0.00190995 0.436695 
0.00828893 -0.0205312 0.436613 
0.00858496 -0.0423738 0.431542 
0.00888099 -0.0618851 0.420499 
0.00917703 -0.0772366 0.404124 
0.00947306 -0.0879529 0.384365 
0.00976909 -0.0947452 0.362947 
0.0100651 -0.0985527 0.34081 
0.0103612 -0.100122 0.3184 
0.0106572 -0.099981 0.295938 
0.0109532 -0.0985025 0.273524 
0.0112493 -0.0959549 0.251206 
0.0115453 -0.0925383 0.229005 
0.0118413 -0.0884054 0.206925 
0.0121374 -0.0836764 0.184966 
0.0124334 -0.0784483 0.163121 
0.0127294 -0.0728016 0.14138 
0.0130255 -0.0668044 0.119733 
0.0133215 -0.0605156 0.0981687 
0.0136175 -0.0539874 0.0766759 
0.0139136 -0.0472666 0.0552427 
0.0142096 -0.0403961 0.0338569 
0.0145056 -0.0334162 0.0125067 
0.0148017 -0.026365 -0.00882008 
0.0150977 -0.0192794 -0.0301354 
0.0153937 -0.0121956 -0.0514514 
0.0156898 -0.00514986 -0.07278 
0.0159858 0.00182084 -0.0941333 
0.0162818 0.00867836 -0.115523 
0.0165779 0.0153825 -0.136962 
0.0168739 0.02189 -0.158461 
0.0171699 0.0281535 -0.180032 
0.017466 0.0341202 -0.201687 
0.017762 0.0397299 -0.223438 
0.018058 0.0449121 -0.245294 
0.0183541 0.0495826 -0.267265 
0.0186501 0.053638 -0.289358 
0.0189461 0.0569475 -0.311575 
0.0192422 0.0593403 -0.333909 
0.0195382 0.0605857 -0.356336 
0.0198342 0.0603589 -0.378796 
0.0201303 0.0581845 -0.401151 
0.0204263 0.0533451 -0.423081 
0.0207223 0.0447832 -0.443835 
0.0210184 0.0312092 -0.461728 
0.0213144 0.0124812 -0.47404 
0.0216104 -0.00931867 -0.479199 
0.0219065 -0.0317388 -0.478408 
0.0222025 -0.0536688 -0.473592 
0.0224985 -0.0748532 -0.466132 
0.0227946 -0.095317 -0.456872 
0.0230906 -0.11515 -0.446326 
0.0233866 -0.134445 -0.434826 
0.0236827 -0.153284 -0.422592 
0.0239787 -0.171734 -0.40978 
0.0242747 -0.189852 -0.396501 
0.0245708 -0.207683 -0.382841 
0.0248668 -0.225266 -0.368863 
0.0251628 -0.242634 -0.354617 
0.0254589 -0.259812 -0.340143 
0.0257549 -0.276823 -0.325474 
0.0260509 -0.293685 -0.310635 
0.026347 -0.310414 -0.295645 
0.026643 -0.327022 -0.280521 
0.026939 -0.343517 -0.265274 
0.0272351 -0.359905 -0.249912 
0.0275311 -0.376188 -0.234439 
0.0278271 -0.392362 -0.218852 
0.0281231 -0.408419 -0.203145 
0.0284192 -0.42434 -0.187299 
0.0287152 -0.440091 -0.171285 
0.0290112 -0.455608 -0.155044 
0.0293073 -0.47076 -0.138456 
0.0296033 -0.485177 -0.121254 
0.0298993 -0.496648 -0.101776 
0.0301954 -0.477185 -0.10311 
0.0304914 -0.457339 -0.113625 
0.0307874 -0.438106 -0.125223 
0.0310835 -0.419207 -0.137363 
0.0313795 -0.400516 -0.149821 
0.0316755 -0.381968 -0.16249 
0.0319716 -0.363517 -0.175301 
0.0322676 -0.345132 -0.188205 
0.0325636 -0.326783 -0.201163 
0.0328597 -0.308449 -0.214139 
0.0331557 -0.290105 -0.227103 
0.0334517 -0.27173 -0.240022 
0.0337478 -0.253302 -0.252867 
0.0340438 -0.234799 -0.265602 
0.0343398 -0.216198 -0.278194 
0.0346359 -0.197473 -0.2906 
0.0349319 -0.178597 -0.302777 
0.0352279 -0.159542 -0.314672 
0.035524 -0.140276 -0.32622 
0.03582 -0.120762 -0.337346 
0.036116 -0.100962 -0.347955 
0.0364121 -0.0808323 -0.357924 
0.0367081 -0.0603274 -0.367095 
0.0370041 -0.0394001 -0.375256 
0.0373002 -0.0180104 -0.38211 
0.0375962 0.00385448 -0.387243 
0.0378922 0.0261325 -0.390053 
0.0381883 0.0485777 -0.389698 
0.0384843 0.0705469 -0.385114 
0.0387803 0.0907767 -0.375404 
0.0390764 0.107692 -0.360643 
0.0393724 0.120412 -0.342118 
0.0396684 0.129136 -0.321393 
0.0399645 0.134583 -0.299599 
0.0402605 0.137499 -0.277323 
0.0405565 0.138454 -0.25488 
0.0408526 0.13787 -0.232424 
0.0411486 0.136056 -0.210034 
0.0414446 0.133245 -0.187748 
0.0417407 0.129614 -0.16558 
0.0420367 0.125301 -0.143535 
0.0423327 0.120419 -0.12161 
0.0426288 0.115058 -0.0997963 
0.0429248 0.109296 -0.0780855 
0.0432208 0.103197 -0.0564666 
0.0435169 0.096821 -0.0349283 
0.0438129 0.0902172 -0.0134587 
0.0441089 0.0834321 0.00795432 
0.044405 0.0765085 0.0293229 
0.044701 0.0694861 0.0506591 
0.044997 0.0624029 0.0719754 
0.0452931 0.0552959 0.0932836 
0.0455891 0.0482015 0.114596 
0.0458851 0.041156 0.135925 
0.0461812 0.0341969 0.157282 
0.0464772 0.0273629 0.178679 
0.0467732 0.0206955 0.200129 
0.0470693 0.0142392 0.221643 
0.0473653 0.0080436 0.243234 
0.0476613 0.00216508 0.264914 
0.0479574 -0.003331 0.286693 
0.0482534 -0.00836649 0.308583 
0.0485494 -0.0128452 0.330594 
0.0488455 -0.0166449 0.352732 
0.0491415 -0.0196038 0.374998 
0.0494375 -0.0214999 0.397378 
0.0497336 -0.0220105 0.419833 
0.0500296 -0.0206418 0.442249 
0.0503256 -0.016591 0.464332 
0.0506217 -0.00852311 0.485265 
0.0509177 0.00536848 0.502816 
0.0512137 0.0252329 0.513038 
0.0515098 0.0475737 0.514661 
0.0518058 0.0695976 0.510337 
0.0521018 0.0906435 0.5025 
