PARAMETRIC_CURVE_CARTESIAN_3D
Curve in Minkowski space-time
t1: 0
t2: 10
NumPoints: 100
0 0 0 0 
0.10101 0.0593182 0 0.118768 
0.20202 0.118551 0 0.237595 
0.30303 0.177716 0 0.356468 
0.40404 0.236832 0 0.475374 
0.505051 0.295919 0 0.594301 
0.606061 0.354994 0 0.713236 
0.707071 0.414076 0 0.832166 
0.808081 0.473184 0 0.951078 
0.909091 0.532337 0 1.06996 
1.0101 0.591552 0 1.1888 
1.11111 0.650849 0 1.30758 
1.21212 0.710246 0 1.4263 
1.31313 0.769762 0 1.54493 
1.41414 0.829415 0 1.66347 
1.51515 0.889224 0 1.7819 
1.61616 0.949207 0 1.90021 
1.71717 1.00938 0 2.01839 
1.81818 1.06975 0 2.13644 
1.91919 1.13027 0 2.25439 
2.0202 1.19087 0 2.37228 
2.12121 1.2515 0 2.49015 
2.22222 1.31211 0 2.60803 
2.32323 1.37265 0 2.72597 
2.42424 1.43305 0 2.844 
2.52525 1.49325 0 2.96215 
2.62626 1.55322 0 3.08048 
2.72727 1.61288 0 3.19902 
2.82828 1.67218 0 3.3178 
2.92929 1.73107 0 3.43686 
3.0303 1.78949 0 3.55624 
3.13131 1.84738 0 3.67598 
3.23232 1.90469 0 3.79612 
3.33333 1.96137 0 3.9167 
3.43434 2.01736 0 4.03775 
3.53535 2.07269 0 4.15925 
3.63636 2.12756 0 4.28106 
3.73737 2.18218 0 4.40305 
3.83838 2.23674 0 4.52508 
3.93939 2.29145 0 4.647 
4.0404 2.34651 0 4.76868 
4.14141 2.40214 0 4.88997 
4.24242 2.45853 0 5.01075 
4.34343 2.51589 0 5.13086 
4.44444 2.57442 0 5.25016 
4.54545 2.63433 0 5.36852 
4.64646 2.69583 0 5.4858 
4.74747 2.75911 0 5.60186 
4.84848 2.82438 0 5.71655 
4.94949 2.89185 0 5.82974 
5.05051 2.96172 0 5.94128 
5.15152 3.03419 0 6.05104 
5.25253 3.10932 0 6.15898 
5.35354 3.18701 0 6.26513 
5.45455 3.26717 0 6.36956 
5.55556 3.3497 0 6.4723 
5.65657 3.4345 0 6.57343 
5.75758 3.52145 0 6.67298 
5.85859 3.61048 0 6.77101 
5.9596 3.70146 0 6.86757 
6.06061 3.79431 0 6.96272 
6.16162 3.88893 0 7.0565 
6.26263 3.9852 0 7.14898 
6.36364 4.08304 0 7.24019 
6.46465 4.18234 0 7.33021 
6.56566 4.283 0 7.41906 
6.66667 4.38492 0 7.50682 
6.76768 4.488 0 7.59353 
6.86869 4.59214 0 7.67924 
6.9697 4.69724 0 7.764 
7.07071 4.80319 0 7.84788 
7.17172 4.90991 0 7.93091 
7.27273 5.01728 0 8.01316 
7.37374 5.12523 0 8.09466 
7.47475 5.23371 0 8.17544 
7.57576 5.34267 0 8.2555 
7.67677 5.45207 0 8.33486 
7.77778 5.56189 0 8.41354 
7.87879 5.67207 0 8.49155 
7.9798 5.78258 0 8.56891 
8.08081 5.89338 0 8.64562 
8.18182 6.00442 0 8.7217 
8.28283 6.11567 0 8.79718 
8.38384 6.22709 0 8.87205 
8.48485 6.33864 0 8.94633 
8.58586 6.45028 0 9.02005 
8.68687 6.56196 0 9.0932 
8.78788 6.67365 0 9.16582 
8.88889 6.78531 0 9.2379 
8.9899 6.89689 0 9.30948 
9.09091 7.00837 0 9.38055 
9.19192 7.11969 0 9.45113 
9.29293 7.23082 0 9.52124 
9.39394 7.34172 0 9.5909 
9.49495 7.45234 0 9.66011 
9.59596 7.56266 0 9.72889 
9.69697 7.67262 0 9.79726 
9.79798 7.78219 0 9.86522 
9.89899 7.89133 0 9.9328 
10 8 0 10 
