PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
NumSteps: 2001
Step 0 0.1
0 0 0 0
1 30.5232 122.727 -88.5687
2 -36.2157 -80.6912 -63.3625
3 120.682 -145.692 -147.424
4 -121.837 -148.372 96.5567
5 27.9899 -130.161 -108.206
6 -87.3544 -100.744 145.124
7 57.3344 -129.731 52.8887
8 -95.2377 144.208 -19.6388
9 -81.1454 -61.9123 138.869
10 14.5686 63.2003 80.1612
Step 1 0.1
0 -2.97892e-07 -8.57743e-06 7.2415e-06
1 30.6301 122.646 -88.491
2 -36.1167 -80.7669 -63.4819
3 120.761 -145.68 -147.488
4 -121.945 -148.343 96.535
5 28.0635 -130.273 -108.106
6 -87.2927 -100.656 145.256
7 57.3379 -129.645 52.856
8 -95.0987 144.312 -19.7813
9 -80.9972 -61.8325 138.822
10 14.4621 63.2184 80.0868
Step 2 0.1
0 -8.80375e-07 -2.57069e-05 2.17439e-05
1 30.7368 122.563 -88.4125
2 -36.0169 -80.8408 -63.5999
3 120.84 -145.667 -147.551
4 -122.053 -148.314 96.5131
5 28.1369 -130.385 -108.006
6 -87.2306 -100.568 145.388
7 57.3409 -129.558 52.8228
8 -94.9591 144.415 -19.9237
9 -80.8486 -61.7524 138.775
10 14.3553 63.2347 80.0103
Step 3 0.1
0 -1.73422e-06 -5.1363e-05 4.35268e-05
1 30.8432 122.48 -88.3334
2 -35.9162 -80.9128 -63.7164
3 120.918 -145.654 -147.614
4 -122.16 -148.284 96.4909
5 28.2102 -130.495 -107.905
6 -87.1682 -100.48 145.519
7 57.3434 -129.47 52.7892
8 -94.819 144.517 -20.0659
9 -80.6995 -61.6719 138.726
10 14.248 63.2493 79.9316
Step 4 0.1
0 -2.84626e-06 -8.55203e-05 7.26105e-05
1 30.9494 122.395 -88.2534
2 -35.8147 -80.983 -63.8314
3 120.996 -145.641 -147.677
4 -122.267 -148.254 96.4684
5 28.2833 -130.605 -107.803
6 -87.1054 -100.391 145.649
7 57.3453 -129.381 52.7551
8 -94.6783 144.618 -20.2081
9 -80.5499 -61.5912 138.677
10 14.1403 63.2621 79.8507
Step 5 0.1
0 -4.2034e-06 -0.000128153 0.000109016
1 31.0553 122.31 -88.1728
2 -35.7123 -81.0512 -63.945
3 121.074 -145.627 -147.739
4 -122.374 -148.224 96.4456
5 28.3562 -130.714 -107.701
6 -87.0424 -100.301 145.779
7 57.3468 -129.291 52.7205
8 -94.5371 144.719 -20.3501
9 -80.3998 -61.5101 138.627
10 14.0322 63.2732 79.7676
Step 6 0.1
0 -5.79261e-06 -0.000179236 0.000152763
1 31.1609 122.223 -88.0914
2 -35.6091 -81.1177 -64.057
3 121.151 -145.613 -147.801
4 -122.48 -148.193 96.4225
5 28.429 -130.822 -107.597
6 -86.9789 -100.212 145.908
7 57.3478 -129.199 52.6855
8 -94.3953 144.818 -20.492
9 -80.2493 -61.4287 138.576
10 13.9238 63.2825 79.6822
Step 7 0.1
0 -7.60094e-06 -0.000238743 0.000203874
1 31.2663 122.135 -88.0093
2 -35.5051 -81.1822 -64.1676
3 121.229 -145.599 -147.862
4 -122.586 -148.161 96.3991
5 28.5016 -130.93 -107.494
6 -86.9151 -100.121 146.037
7 57.3482 -129.106 52.65
8 -94.253 144.917 -20.6338
9 -80.0983 -61.347 138.524
10 13.8149 63.2901 79.5947
Step 8 0.1
0 -9.61547e-06 -0.000306648 0.00026237
1 31.3714 122.047 -87.9265
2 -35.4003 -81.245 -64.2767
3 121.306 -145.584 -147.923
4 -122.692 -148.129 96.3755
5 28.5741 -131.037 -107.389
6 -86.851 -100.031 146.165
7 57.3482 -129.012 52.614
8 -94.1102 145.015 -20.7755
9 -79.9468 -61.2649 138.472
10 13.7057 63.2958 79.5049
Step 9 0.1
0 -1.18234e-05 -0.000382926 0.000328275
1 31.4763 121.957 -87.8429
2 -35.2946 -81.3058 -64.3844
3 121.382 -145.569 -147.984
4 -122.797 -148.097 96.3515
5 28.6463 -131.143 -107.284
6 -86.7865 -99.9397 146.292
7 57.3476 -128.918 52.5776
8 -93.9668 145.112 -20.917
9 -79.7949 -61.1826 138.418
10 13.596 63.2998 79.4129
Step 10 0.1
0 -1.42119e-05 -0.00046755 0.000401609
1 31.5809 121.866 -87.7586
2 -35.1881 -81.3648 -64.4905
3 121.459 -145.554 -148.045
4 -122.902 -148.064 96.3273
5 28.7185 -131.248 -107.179
6 -86.7217 -99.8483 146.419
7 57.3465 -128.821 52.5407
8 -93.8229 145.209 -21.0584
9 -79.6425 -61.0999 138.364
10 13.486 63.3021 79.3187
Step 11 0.1
0 -1.67683e-05 -0.000560495 0.000482398
1 31.6852 121.775 -87.6735
2 -35.0808 -81.422 -64.5952
3 121.535 -145.538 -148.105
4 -123.006 -148.03 96.3028
5 28.7904 -131.352 -107.072
6 -86.6566 -99.7564 146.545
7 57.3449 -128.724 52.5033
8 -93.6784 145.304 -21.1997
9 -79.4896 -61.0169 138.309
10 13.3756 63.3025 79.2223
Step 12 0.1
0 -1.94799e-05 -0.000661734 0.000570663
1 31.7892 121.682 -87.5877
2 -34.9726 -81.4773 -64.6984
3 121.61 -145.522 -148.165
4 -123.11 -147.997 96.2779
5 28.8622 -131.456 -106.965
6 -86.5911 -99.6641 146.67
7 57.3428 -128.626 52.4655
8 -93.5334 145.399 -21.3409
9 -79.3362 -60.9336 138.253
10 13.2649 63.3012 79.1236
Step 13 0.1
0 -2.23341e-05 -0.00077124 0.00066643
1 31.893 121.588 -87.5012
2 -34.8637 -81.5308 -64.8002
3 121.686 -145.506 -148.224
4 -123.214 -147.962 96.2528
5 28.9338 -131.558 -106.858
6 -86.5252 -99.5715 146.795
7 57.3402 -128.526 52.4272
8 -93.3878 145.492 -21.482
9 -79.1823 -60.85 138.196
10 13.1537 63.2981 79.0228
Step 14 0.1
0 -2.53184e-05 -0.000888988 0.000769722
1 31.9965 121.494 -87.414
2 -34.754 -81.5825 -64.9004
3 121.761 -145.49 -148.284
4 -123.317 -147.928 96.2275
5 29.0053 -131.66 -106.75
6 -86.459 -99.4784 146.92
7 57.337 -128.426 52.3884
8 -93.2418 145.585 -21.6229
9 -79.028 -60.766 138.138
10 13.0422 63.2932 78.9197
Step 15 0.1
0 -2.84203e-05 -0.00101495 0.000880564
1 32.0998 121.398 -87.326
2 -34.6434 -81.6323 -64.9992
3 121.836 -145.473 -148.343
4 -123.42 -147.892 96.2018
5 29.0765 -131.762 -106.641
6 -86.3925 -99.3849 147.043
7 57.3334 -128.324 52.3492
8 -93.0951 145.678 -21.7637
9 -78.8732 -60.6817 138.08
10 12.9303 63.2864 78.8143
Step 16 0.1
0 -3.16274e-05 -0.0011491 0.000998983
1 32.2028 121.301 -87.2372
2 -34.5321 -81.6803 -65.0965
3 121.911 -145.456 -148.401
4 -123.522 -147.857 96.1758
5 29.1477 -131.862 -106.531
6 -86.3256 -99.291 147.166
7 57.3292 -128.221 52.3094
8 -92.948 145.769 -21.9044
9 -78.7179 -60.5971 138.021
10 12.818 63.2779 78.7067
Step 17 0.1
0 -3.49273e-05 -0.00129141 0.001125
1 32.3055 121.203 -87.1477
2 -34.42 -81.7264 -65.1924
3 121.985 -145.438 -148.459
4 -123.624 -147.821 96.1496
5 29.2186 -131.962 -106.421
6 -86.2584 -99.1967 147.289
7 57.3245 -128.117 52.2692
8 -92.8003 145.859 -22.0449
9 -78.5622 -60.5122 137.96
10 12.7054 63.2676 78.5969
Step 18 0.1
0 -3.83076e-05 -0.00144186 0.00125865
1 32.4079 121.104 -87.0575
2 -34.307 -81.7707 -65.2868
3 122.06 -145.42 -148.517
4 -123.726 -147.784 96.1231
5 29.2894 -132.061 -106.31
6 -86.1909 -99.1019 147.411
7 57.3193 -128.011 52.2286
8 -92.6521 145.949 -22.1854
9 -78.4059 -60.427 137.899
10 12.5924 63.2554 78.4848
Step 19 0.1
0 -4.17562e-05 -0.00160041 0.00139996
1 32.51 121.004 -86.9665
2 -34.1933 -81.8132 -65.3797
3 122.133 -145.402 -148.575
4 -123.827 -147.747 96.0963
5 29.36 -132.159 -106.199
6 -86.123 -99.0068 147.532
7 57.3135 -127.905 52.1874
8 -92.5033 146.038 -22.3257
9 -78.2492 -60.3414 137.837
10 12.4791 63.2415 78.3705
Step 20 0.1
0 -4.52608e-05 -0.00176704 0.00154894
1 32.6119 120.903 -86.8748
2 -34.0789 -81.8539 -65.4711
3 122.207 -145.384 -148.632
4 -123.928 -147.71 96.0692
5 29.4304 -132.256 -106.087
6 -86.0548 -98.9113 147.653
7 57.3072 -127.797 52.1458
8 -92.354 146.126 -22.4658
9 -78.092 -60.2555 137.775
10 12.3653 63.2257 78.2539
Step 21 0.1
0 -4.88092e-05 -0.00194172 0.00170564
1 32.7135 120.801 -86.7824
2 -33.9636 -81.8927 -65.5611
3 122.28 -145.365 -148.689
4 -124.029 -147.672 96.0418
5 29.5007 -132.353 -105.974
6 -85.9862 -98.8153 147.773
7 57.3004 -127.689 52.1037
8 -92.2042 146.213 -22.6059
9 -77.9344 -60.1693 137.711
10 12.2513 63.2081 78.135
Step 22 0.1
0 -5.23894e-05 -0.00212443 0.00187007
1 32.8148 120.698 -86.6892
2 -33.8475 -81.9297 -65.6496
3 122.354 -145.346 -148.746
4 -124.129 -147.633 96.0141
5 29.5708 -132.448 -105.861
6 -85.9173 -98.719 147.892
7 57.2931 -127.579 52.0611
8 -92.0539 146.299 -22.7458
9 -77.7762 -60.0827 137.647
10 12.1368 63.1886 78.0139
Step 23 0.1
0 -5.59893e-05 -0.00231513 0.00204227
1 32.9158 120.594 -86.5952
2 -33.7307 -81.9649 -65.7366
3 122.426 -145.326 -148.802
4 -124.229 -147.594 95.9861
5 29.6408 -132.543 -105.747
6 -85.848 -98.6222 148.011
7 57.2852 -127.468 52.0181
8 -91.903 146.384 -22.8855
9 -77.6176 -59.9958 137.581
10 12.022 63.1673 77.8905
Step 24 0.1
