MULTI_REAL_FUNCTION
Spherical pendulum - both angles
2
x1: 0
x2: 5
NumPoints: 200
0 0.5 0.1 
0.0251256 0.498545 0.101264 
0.0502513 0.494084 0.102533 
0.0753769 0.486682 0.103829 
0.100503 0.476401 0.105171 
0.125628 0.463305 0.106582 
0.150754 0.447428 0.108069 
0.175879 0.428873 0.109671 
0.201005 0.407761 0.111428 
0.226131 0.384175 0.113357 
0.251256 0.358282 0.11555 
0.276382 0.330207 0.118029 
0.301508 0.30014 0.121058 
0.326633 0.268245 0.124671 
0.351759 0.234711 0.129313 
0.376884 0.199744 0.134969 
0.40201 0.163558 0.143498 
0.427136 0.126238 0.122206 
0.452261 0.0882343 0.125112 
0.477387 0.0463088 0.411305 
0.502513 0.0117175 1.03193 
0.527638 0.0249137 2.03479 
0.552764 0.065937 3.02146 
0.577889 0.104688 3.29799 
0.603015 0.142964 3.21419 
0.628141 0.179838 3.20752 
0.653266 0.215509 3.21452 
0.678392 0.249864 3.21901 
0.703518 0.282684 3.2233 
0.728643 0.313801 3.22644 
0.753769 0.342983 3.22924 
0.778894 0.370095 3.23162 
0.80402 0.39499 3.23364 
0.829146 0.41749 3.23547 
0.854271 0.437482 3.23715 
0.879397 0.454851 3.2387 
0.904523 0.469489 3.24015 
0.929648 0.481351 3.24152 
0.954774 0.490329 3.24285 
0.979899 0.496382 3.24413 
1.00503 0.499518 3.2454 
1.03015 0.499692 3.24665 
1.05528 0.496857 3.24791 
1.0804 0.491106 3.24919 
1.10553 0.482466 3.25052 
1.13065 0.470895 3.25188 
1.15578 0.45654 3.25332 
1.1809 0.439479 3.25486 
1.20603 0.419763 3.25652 
1.23116 0.397531 3.25836 
1.25628 0.372898 3.26039 
1.28141 0.346015 3.26273 
1.30653 0.317026 3.26539 
1.33166 0.286121 3.2687 
1.35678 0.253469 3.27267 
1.38191 0.219271 3.27798 
1.40704 0.183731 3.28428 
1.43216 0.147078 3.29534 
1.45729 0.109187 3.23712 
1.48241 0.0712631 3.3197 
1.50754 0.0290108 3.96609 
1.53266 0.00972519 4.86794 
1.55779 0.0398761 5.75399 
1.58291 0.0841725 6.34403 
1.60804 0.122011 6.39726 
1.63317 0.159613 6.34692 
1.65829 0.195913 6.35628 
1.68342 0.23102 6.3623 
1.70854 0.264716 6.36714 
1.73367 0.296801 6.37074 
1.75879 0.327067 6.37387 
1.78392 0.355362 6.37642 
1.80905 0.381506 6.3786 
1.83417 0.405339 6.38056 
1.8593 0.426733 6.38233 
1.88442 0.445563 6.38394 
1.90955 0.461736 6.38544 
1.93467 0.47512 6.38686 
1.9598 0.485698 6.38821 
1.98492 0.493416 6.38951 
2.01005 0.498145 6.39079 
2.03518 0.499934 6.39205 
2.0603 0.498792 6.3933 
2.08543 0.494672 6.39457 
2.11055 0.487583 6.39586 
2.13568 0.477629 6.3972 
2.1608 0.464856 6.39861 
2.18593 0.449252 6.40008 
2.21106 0.430985 6.40167 
2.23618 0.41015 6.40341 
2.26131 0.386822 6.40532 
2.28643 0.361168 6.40747 
2.31156 0.333319 6.40992 
2.33668 0.303461 6.4129 
2.36181 0.271752 6.41641 
2.38693 0.238384 6.42094 
2.41206 0.203562 6.42653 
2.43719 0.167496 6.43481 
2.46231 0.13039 6.43998 
2.48744 0.0925459 6.46316 
2.51256 0.0495943 6.50716 
2.53769 0.0182321 6.86115 
2.56281 0.0303434 8.18519 
2.58794 0.0624948 9.46641 
2.61307 0.0983267 9.68032 
2.63819 0.138358 9.53682 
2.66332 0.175934 9.49959 
2.68844 0.21173 9.50717 
2.71357 0.246249 9.51058 
2.73869 0.279235 9.51511 
2.76382 0.31054 9.51843 
2.78894 0.339951 9.52111 
2.81407 0.367283 9.52356 
2.8392 0.392416 9.52564 
2.86432 0.415202 9.52746 
2.88945 0.435453 9.52916 
2.91457 0.453119 9.53072 
2.9397 0.468051 9.53218 
2.96482 0.480194 9.53356 
2.98995 0.489507 9.53489 
3.01508 0.495886 9.53618 
3.0402 0.499303 9.53744 
3.06533 0.499792 9.5387 
3.09045 0.497338 9.53996 
3.11558 0.491859 9.54123 
3.1407 0.483492 9.54255 
3.16583 0.472283 9.54392 
3.19095 0.458219 9.54534 
3.21608 0.441416 9.54686 
3.24121 0.421994 9.54852 
3.26633 0.400034 9.55033 
3.29146 0.375654 9.55235 
3.31658 0.349 9.55461 
3.34171 0.320232 9.55726 
3.36683 0.289531 9.56053 
3.39196 0.257052 9.56433 
3.41709 0.223014 9.5696 
3.44221 0.187604 9.5757 
3.46734 0.151063 9.58653 
3.49246 0.113557 9.58892 
3.51759 0.0744035 9.62856 
3.54271 0.0325185 9.74473 
3.56784 0.0201057 10.5513 
3.59296 0.0431216 11.967 
3.61809 0.0777559 12.768 
3.64322 0.115935 12.79 
3.66834 0.15565 12.6383 
3.69347 0.192054 12.6497 
3.71859 0.227311 12.6548 
3.74372 0.261167 12.6589 
3.76884 0.293428 12.6628 
3.79397 0.323922 12.6657 
3.8191 0.352411 12.6684 
3.84422 0.378783 12.6706 
3.86935 0.402889 12.6726 
3.89447 0.424551 12.6743 
3.9196 0.443666 12.676 
3.94472 0.460125 12.6775 
3.96985 0.473817 12.6789 
3.99497 0.484712 12.6803 
4.0201 0.492723 12.6816 
4.04523 0.497766 12.6828 
4.07035 0.499887 12.6841 
4.09548 0.499076 12.6854 
4.1206 0.495244 12.6866 
4.14573 0.48848 12.6879 
4.17085 0.478849 12.6892 
4.19598 0.466352 12.6906 
4.22111 0.451049 12.6921 
4.24623 0.433073 12.6937 
4.27136 0.412508 12.6954 
4.29648 0.389441 12.6973 
4.32161 0.364029 12.6994 
4.34673 0.336408 12.7018 
4.37186 0.30676 12.7047 
4.39698 0.27524 12.7082 
4.42211 0.242041 12.7126 
4.44724 0.207365 12.718 
4.47236 0.171422 12.7259 
4.49749 0.134417 12.7313 
4.52261 0.0966341 12.7509 
4.54774 0.0537969 12.7778 
4.57286 0.0198208 13.0648 
4.59799 0.0282268 14.371 
4.62312 0.0586549 15.7302 
4.64824 0.094157 15.9693 
4.67337 0.134326 15.8274 
4.69849 0.172023 15.7909 
4.72362 0.207946 15.7986 
4.74874 0.242611 15.8023 
4.77387 0.275772 15.8069 
4.79899 0.307271 15.8102 
4.82412 0.336886 15.813 
4.84925 0.364454 15.8155 
4.87437 0.389838 15.8176 
4.8995 0.41287 15.8195 
4.92462 0.433406 15.8212 
4.94975 0.451361 15.8227 
4.97487 0.466617 15.8242 
5 0.479059 15.8256 
