MULTI_REAL_FUNCTION
Average speeds of balls by color
2
Red balls
Blue balls
x1: 0
x2: 499
NumPoints: 100
0 10 50 
5.0404 16.1727 41.0813 
10.0808 23.0248 38.052 
15.1212 28.3067 35.042 
20.1616 29.8039 33.6784 
25.202 27.2962 35.5786 
30.2424 24.732 37.4926 
35.2828 22.7017 38.6464 
40.3232 21.7147 38.9478 
45.3636 22.78 38.216 
50.404 26.0407 36.3106 
55.4444 28.8246 34.64 
60.4848 29.815 33.9158 
65.5253 29.2008 34.3461 
70.5657 27.7962 35.3109 
75.6061 26.731 36.0425 
80.6465 26.1119 36.5465 
85.6869 26.1407 36.5171 
90.7273 27.4418 35.5576 
95.7677 29.0025 34.6345 
100.808 30.0296 33.6819 
105.848 30.0826 33.626 
110.889 29.3303 34.2592 
115.929 28.4969 34.8442 
120.97 27.9887 35.0516 
126.01 27.9797 35.1827 
131.051 28.4794 34.9005 
136.091 29.5092 34.0699 
141.131 30.1771 33.5507 
146.172 30.5222 33.3276 
151.212 30.4349 33.3336 
156.253 29.7473 33.9507 
161.293 29.5119 34.1402 
166.333 29.0808 34.4747 
171.374 29.3874 33.9981 
176.414 29.8977 33.8515 
181.455 30.5086 33.3108 
186.495 30.7601 33.0776 
191.535 30.8709 32.972 
196.576 30.8277 33.1986 
201.616 30.3241 33.4554 
206.657 30.2164 33.512 
211.697 29.9749 33.6342 
216.737 30.3402 33.4039 
221.778 30.7371 33.1424 
226.818 31.1354 32.6629 
231.859 31.3596 32.4225 
236.899 31.2973 32.5676 
241.939 30.9689 32.7657 
246.98 30.7339 33.1066 
252.02 30.9938 32.8574 
257.061 30.8415 32.9992 
262.101 31.0049 32.91 
267.141 31.1958 32.7011 
272.182 31.5107 32.4662 
277.222 31.6349 32.3859 
282.263 31.3054 32.561 
287.303 31.2825 32.6034 
292.343 31.2854 32.6404 
297.384 31.2749 32.6495 
302.424 31.3629 32.462 
307.465 31.4362 32.4245 
312.505 31.6528 32.346 
317.545 31.425 32.3923 
322.586 31.6883 32.2417 
327.626 31.6622 32.2619 
332.667 31.6182 32.3253 
337.707 31.5237 32.5304 
342.747 31.5183 32.3429 
347.788 31.5077 32.434 
352.828 31.3204 32.5338 
357.869 31.6798 32.3206 
362.909 31.5167 32.3503 
367.949 31.2879 32.6298 
372.99 31.7648 32.1773 
378.03 31.2167 32.5512 
383.071 31.5665 32.3583 
388.111 31.652 32.2211 
393.152 31.8728 32.1773 
398.192 31.7 32.1247 
403.232 31.6771 32.2325 
408.273 31.7362 32.2334 
413.313 31.8302 32.1186 
418.354 31.872 32.1798 
423.394 31.9083 32.1181 
428.434 31.7071 32.1887 
433.475 31.6768 32.1539 
438.515 31.7688 32.1635 
443.556 31.6162 32.3068 
448.596 31.6273 32.2519 
453.636 31.9839 31.9815 
458.677 31.8194 32.124 
463.717 32.0378 32.0115 
468.758 31.8268 32.1448 
473.798 31.6837 32.1692 
478.838 31.5753 32.2835 
483.879 31.8346 31.9541 
488.919 31.8071 32.0895 
493.96 32.0037 31.9891 
499 31.8616 32.1967 
