MULTI_REAL_FUNCTION
Centre of mass x-coordinate by color
2
Red balls
Blue balls
x1: 0
x2: 499
NumPoints: 100
0 250.963 751.934 
5.0404 237.153 730.655 
10.0808 187.857 672.55 
15.1212 123.881 607.195 
20.1616 123.755 564.64 
25.202 148.766 578.547 
30.2424 177.352 636.614 
35.2828 204.486 699.541 
40.3232 228.117 715.511 
45.3636 237.816 697.147 
50.404 217.604 670.416 
55.4444 177.194 644.624 
60.4848 171.37 623.805 
65.5253 186.261 620.659 
70.5657 204.486 642.351 
75.6061 222.906 678.139 
80.6465 237.679 695.634 
85.6869 247.51 691.268 
90.7273 242.665 677.332 
95.7677 221.153 661.333 
100.808 209.832 647.938 
105.848 217.925 641.833 
110.889 230.136 648.56 
115.929 243.811 666.858 
120.97 254.969 682.369 
126.01 262.015 681.861 
131.051 263.633 674.201 
136.091 253.92 663.142 
141.131 242.672 653.413 
146.172 243.597 647.09 
151.212 251.367 648.619 
156.253 262.198 657.327 
161.293 272.203 669.448 
166.333 280.96 675.427 
171.374 285.885 671.844 
176.414 282.36 664.539 
181.455 274.437 657.057 
186.495 269.691 650.938 
191.535 272.599 646.772 
196.576 279.713 650.058 
201.616 287.367 658.504 
206.657 296.401 665.744 
211.697 303.424 666.309 
216.737 305.539 662.975 
221.778 301.454 658.989 
226.818 297.017 652.129 
231.859 294.874 647.176 
236.899 298.587 645.039 
241.939 303.189 648.879 
246.98 309.744 654.597 
252.02 318.05 657.381 
257.061 322.694 657.999 
262.101 323.073 656.615 
267.141 320.531 652.877 
272.182 319.101 648.424 
277.222 319.155 645.436 
282.263 321.408 645.15 
287.303 325.899 648.015 
292.343 330.785 650.389 
297.384 334.796 650.256 
302.424 336.776 649.074 
307.465 335.854 647.405 
312.505 334.835 643.608 
317.545 333.76 639.936 
322.586 334.548 638.128 
327.626 337.583 637.974 
332.667 341.312 639.066 
337.707 344.334 638.886 
342.747 346.55 638.964 
347.788 348.024 637.698 
352.828 349.509 636.08 
357.869 351.325 634.386 
362.909 351.564 633.699 
367.949 352.054 632.125 
372.99 353.374 631.993 
378.03 355.498 631.928 
383.071 358.045 631.698 
388.111 359.886 631.981 
393.152 360.694 631.001 
398.192 361.917 628.828 
403.232 363.008 627.964 
408.273 362.773 626.188 
413.313 363.874 625.149 
418.354 365.182 623.6 
423.394 365.924 622.813 
428.434 367.008 623.206 
433.475 369.513 622.623 
438.515 371.012 622.203 
443.556 372.255 621.906 
448.596 372.369 621.138 
453.636 373.388 619.774 
458.677 374.868 618.771 
463.717 376.635 618.437 
468.758 378.484 619.49 
473.798 379.732 619.07 
478.838 381.388 617.979 
483.879 382.616 616.842 
488.919 383.881 616.284 
493.96 383.903 615.23 
499 384.18 612.956 
