MULTI_REAL_FUNCTION
Damped Forced Harmonic Oscilator - both variables
2
Angle
Ang.vel.
x1: 0
x2: 30
NumPoints: 200
0 0.264663 0.0527681 
0.150754 0.272176 0.0468024 
0.301508 0.278737 0.0400932 
0.452261 0.284216 0.0324285 
0.603015 0.288457 0.0236225 
0.753769 0.291274 0.0135233 
0.904523 0.292464 0.00201963 
1.05528 0.291809 -0.0109535 
1.20603 0.289086 -0.0254107 
1.35678 0.284075 -0.0413123 
1.50754 0.276562 -0.0585634 
1.65829 0.266357 -0.0770133 
1.80905 0.253292 -0.0964565 
1.9598 0.237238 -0.116636 
2.11055 0.218104 -0.137246 
2.26131 0.195853 -0.15794 
2.41206 0.170499 -0.178336 
2.56281 0.142119 -0.198022 
2.71357 0.110851 -0.216571 
2.86432 0.0769001 -0.233543 
3.01508 0.0405371 -0.248502 
3.16583 0.00209754 -0.261022 
3.31658 -0.03802 -0.270698 
3.46734 -0.0793584 -0.27716 
3.61809 -0.121408 -0.280078 
3.76884 -0.163612 -0.279173 
3.9196 -0.205377 -0.274228 
4.07035 -0.246083 -0.265091 
4.22111 -0.28509 -0.251687 
4.37186 -0.321754 -0.234016 
4.52261 -0.355437 -0.21216 
4.67337 -0.38552 -0.186286 
4.82412 -0.411414 -0.156642 
4.97487 -0.432575 -0.123557 
5.12563 -0.448515 -0.0874379 
5.27638 -0.45881 -0.0487632 
5.42714 -0.463116 -0.00807626 
5.57789 -0.461174 0.0340232 
5.72864 -0.452819 0.0768891 
5.8794 -0.437987 0.11984 
6.03015 -0.416718 0.162171 
6.1809 -0.389159 0.203166 
6.33166 -0.355565 0.242112 
6.48241 -0.316298 0.278314 
6.63317 -0.271822 0.311104 
6.78392 -0.222701 0.339858 
6.93467 -0.169584 0.364009 
7.08543 -0.113206 0.383055 
7.23618 -0.0543679 0.396575 
7.38693 0.00606981 0.404232 
7.53769 0.0672043 0.405787 
7.68844 0.128104 0.401103 
7.8392 0.187825 0.390147 
7.98995 0.245425 0.372997 
8.1407 0.299984 0.349836 
8.29146 0.350616 0.320959 
8.44221 0.396488 0.286761 
8.59296 0.436834 0.247736 
8.74372 0.470969 0.204467 
8.89447 0.498302 0.157621 
9.04523 0.518349 0.10793 
9.19598 0.530741 0.0561879 
9.34673 0.535229 0.00322878 
9.49749 0.531696 -0.0500826 
9.64824 0.520155 -0.102868 
9.79899 0.500751 -0.154252 
9.94975 0.473761 -0.203375 
10.1005 0.439587 -0.249413 
10.2513 0.398755 -0.291588 
10.402 0.351902 -0.329186 
10.5528 0.299766 -0.361569 
10.7035 0.243176 -0.388186 
10.8543 0.183037 -0.408584 
11.005 0.120315 -0.422416 
11.1558 0.0560177 -0.429449 
11.3065 -0.00881947 -0.429568 
11.4573 -0.0731528 -0.422776 
11.608 -0.135948 -0.409199 
11.7588 -0.1962 -0.389077 
11.9095 -0.252947 -0.362769 
12.0603 -0.30529 -0.330737 
12.2111 -0.352408 -0.293545 
12.3618 -0.393569 -0.251844 
12.5126 -0.42815 -0.206363 
12.6633 -0.455639 -0.157895 
12.8141 -0.475649 -0.107282 
12.9648 -0.487922 -0.0553985 
13.1156 -0.492333 -0.0031395 
13.2663 -0.488894 0.0485999 
13.4171 -0.47775 0.0989388 
13.5678 -0.459177 0.147027 
13.7186 -0.433574 0.19206 
13.8693 -0.40146 0.233295 
14.0201 -0.363459 0.270059 
14.1709 -0.320289 0.30177 
14.3216 -0.272752 0.327937 
14.4724 -0.221712 0.348175 
14.6231 -0.168086 0.36221 
14.7739 -0.112823 0.369879 
14.9246 -0.056887 0.371141 
15.0754 -0.00123999 0.366066 
15.2261 0.0531754 0.354841 
15.3769 0.105453 0.337764 
15.5276 0.154739 0.315231 
15.6784 0.200248 0.287738 
15.8291 0.241274 0.255861 
15.9799 0.277204 0.22025 
16.1307 0.307529 0.181616 
16.2814 0.331849 0.140714 
