MULTI_REAL_FUNCTION
Damped Forced Harmonic Oscilator - both variables
2
Angle
Ang.vel.
x1: 0
x2: 30
NumPoints: 500
0 0.5 0 
0.0601202 0.499729 -0.00899154 
0.12024 0.49892 -0.0179325 
0.180361 0.497574 -0.0268266 
0.240481 0.495695 -0.0356774 
0.300601 0.493285 -0.0444884 
0.360721 0.490347 -0.0532629 
0.420842 0.486881 -0.0620038 
0.480962 0.482892 -0.0707138 
0.541082 0.478379 -0.0793952 
0.601202 0.473346 -0.0880498 
0.661323 0.467793 -0.0966788 
0.721443 0.461722 -0.105283 
0.781563 0.455134 -0.113863 
0.841683 0.448031 -0.122417 
0.901804 0.440415 -0.130945 
0.961924 0.432287 -0.139445 
1.02204 0.423649 -0.147913 
1.08216 0.414502 -0.156347 
1.14228 0.40485 -0.164742 
1.2024 0.394695 -0.173092 
1.26253 0.384038 -0.181391 
1.32265 0.372885 -0.189633 
1.38277 0.361238 -0.197809 
1.44289 0.349102 -0.205911 
1.50301 0.336481 -0.213928 
1.56313 0.323381 -0.221851 
1.62325 0.309808 -0.229668 
1.68337 0.295768 -0.237366 
1.74349 0.281269 -0.244932 
1.80361 0.26632 -0.252353 
1.86373 0.25093 -0.259614 
1.92385 0.235108 -0.266698 
1.98397 0.218865 -0.273591 
2.04409 0.202215 -0.280274 
2.10421 0.18517 -0.286732 
2.16433 0.167743 -0.292946 
2.22445 0.149951 -0.298897 
2.28457 0.131809 -0.304568 
2.34469 0.113336 -0.309938 
2.40481 0.0945485 -0.314989 
2.46493 0.075468 -0.3197 
2.52505 0.0561148 -0.324053 
2.58517 0.0365112 -0.328028 
2.64529 0.0166806 -0.331604 
2.70541 -0.00335264 -0.334763 
2.76553 -0.0235627 -0.337485 
2.82565 -0.0439228 -0.33975 
2.88577 -0.0644049 -0.341542 
2.94589 -0.08498 -0.34284 
3.00601 -0.105618 -0.343628 
3.06613 -0.126287 -0.343889 
3.12625 -0.146956 -0.343606 
3.18637 -0.167592 -0.342765 
3.24649 -0.188159 -0.34135 
3.30661 -0.208624 -0.339348 
3.36673 -0.22895 -0.336747 
3.42685 -0.249102 -0.333535 
3.48697 -0.269043 -0.329703 
3.54709 -0.288733 -0.325242 
3.60721 -0.308137 -0.320144 
3.66733 -0.327215 -0.314404 
3.72745 -0.345928 -0.308017 
3.78758 -0.364238 -0.30098 
3.8477 -0.382105 -0.293292 
3.90782 -0.39949 -0.284953 
3.96794 -0.416355 -0.275967 
4.02806 -0.43266 -0.266336 
4.08818 -0.448366 -0.256066 
4.1483 -0.463437 -0.245165 
4.20842 -0.477833 -0.233643 
4.26854 -0.491518 -0.22151 
4.32866 -0.504455 -0.20878 
4.38878 -0.51661 -0.195468 
4.4489 -0.527947 -0.181591 
4.50902 -0.538434 -0.167167 
4.56914 -0.548037 -0.152217 
4.62926 -0.556726 -0.136763 
4.68938 -0.564472 -0.120831 
4.7495 -0.571246 -0.104445 
4.80962 -0.577022 -0.087634 
4.86974 -0.581775 -0.0704273 
4.92986 -0.585483 -0.0528558 
4.98998 -0.588124 -0.0349525 
5.0501 -0.589679 -0.0167514 
5.11022 -0.590133 0.00171178 
5.17034 -0.589469 0.0203999 
5.23046 -0.587676 0.0392747 
5.29058 -0.584744 0.0582965 
5.3507 -0.580664 0.0774249 
5.41082 -0.575433 0.096618 
5.47094 -0.569046 0.115833 
5.53106 -0.561505 0.135028 
5.59118 -0.552812 0.154157 
5.6513 -0.542972 0.173176 
5.71142 -0.531992 0.19204 
5.77154 -0.519885 0.210704 
5.83166 -0.506662 0.229122 
5.89178 -0.492341 0.247249 
5.9519 -0.476939 0.265038 
6.01202 -0.46048 0.282444 
6.07214 -0.442987 0.299423 
6.13226 -0.424487 0.315928 
6.19238 -0.40501 0.331917 
6.25251 -0.384588 0.347345 
6.31263 -0.363257 0.36217 
6.37275 -0.341053 0.376351 
6.43287 -0.318018 0.389846 
6.49299 -0.294193 0.402616 
6.55311 -0.269622 0.414624 
6.61323 -0.244354 0.425833 
6.67335 -0.218437 0.436207 
6.73347 -0.191922 0.445714 
6.79359 -0.164862 0.454323 
6.85371 -0.137312 0.462003 
6.91383 -0.10933 0.468727 
6.97395 -0.0809721 0.474471 
7.03407 -0.0522992 0.47921 
7.09419 -0.0233721 0.482925 
7.15431 0.00574706 0.485597 
7.21443 0.0349951 0.48721 
7.27455 0.0643079 0.487751 
7.33467 0.0936208 0.487208 
7.39479 0.122868 0.485575 
7.45491 0.151985 0.482846 
7.51503 0.180904 0.479018 
7.57515 0.20956 0.474091 
7.63527 0.237887 0.468069 
7.69539 0.265819 0.460958 
7.75551 0.293291 0.452766 
7.81563 0.320238 0.443504 
7.87575 0.346597 0.433188 
7.93587 0.372304 0.421835 
7.99599 0.397298 0.409464 
8.05611 0.421518 0.396099 
8.11623 0.444906 0.381766 
8.17635 0.467403 0.366491 
8.23647 0.488955 0.350307 
8.29659 0.509507 0.333247 
8.35671 0.529008 0.315347 
8.41683 0.547408 0.296645 
8.47695 0.564661 0.277182 
8.53707 0.580722 0.257001 
8.59719 0.59555 0.236147 
8.65731 0.609104 0.214666 
8.71743 0.62135 0.192609 
8.77756 0.632253 0.170026 
8.83768 0.641784 0.146969 
8.8978 0.649916 0.123492 
8.95792 0.656626 0.099651 
9.01804 0.661892 0.0755021 
9.07816 0.665699 0.0511031 
9.13828 0.668033 0.0265127 
9.1984 0.668884 0.00179029 
9.25852 0.668247 -0.023004 
9.31864 0.666118 -0.0478095 
9.37876 0.662499 -0.0725655 
9.43888 0.657395 -0.097211 
9.499 0.650814 -0.121685 
9.55912 0.642768 -0.145926 
9.61924 0.633274 -0.169875 
9.67936 0.62235 -0.19347 
9.73948 0.610019 -0.216654 
9.7996 0.596308 -0.239366 
9.85972 0.581248 -0.261551 
9.91984 0.564871 -0.283151 
9.97996 0.547215 -0.304113 
10.0401 0.528318 -0.324381 
10.1002 0.508226 -0.343905 
10.1603 0.486983 -0.362634 
10.2204 0.464639 -0.38052 
10.2806 0.441247 -0.397518 
10.3407 0.41686 -0.413583 
10.4008 0.391537 -0.428674 
10.4609 0.365337 -0.442751 
10.521 0.338321 -0.455778 
10.5812 0.310555 -0.467721 
10.6413 0.282105 -0.47855 
10.7014 0.253037 -0.488234 
10.7615 0.223423 -0.49675 
10.8216 0.193332 -0.504075 
10.8818 0.162837 -0.51019 
10.9419 0.132011 -0.515078 
11.002 0.100928 -0.518726 
11.0621 0.0696639 -0.521126 
11.1222 0.038293 -0.522269 
11.1824 0.00689125 -0.522154 
11.2425 -0.0244658 -0.52078 
11.3026 -0.0557024 -0.518151 
11.3627 -0.0867434 -0.514273 
11.4228 -0.117514 -0.509156 
11.483 -0.14794 -0.502814 
11.5431 -0.177948 -0.495264 
11.6032 -0.207467 -0.486525 
11.6633 -0.236425 -0.476619 
11.7234 -0.264753 -0.465573 
11.7836 -0.292383 -0.453416 
11.8437 -0.31925 -0.440179 
11.9038 -0.34529 -0.425898 
11.9639 -0.37044 -0.410609 
12.024 -0.394642 -0.394354 
12.0842 -0.417839 -0.377174 
12.1443 -0.439976 -0.359114 
12.2044 -0.461003 -0.340223 
12.2645 -0.480869 -0.320549 
12.3246 -0.499531 -0.300145 
12.3848 -0.516945 -0.279063 
12.4449 -0.533073 -0.257359 
12.505 -0.547879 -0.23509 
12.5651 -0.56133 -0.212314 
12.6253 -0.573399 -0.189091 
12.6854 -0.584059 -0.16548 
12.7455 -0.593289 -0.141545 
12.8056 -0.601073 -0.117347 
12.8657 -0.607395 -0.0929482 
12.9259 -0.612246 -0.0684134 
12.986 -0.61562 -0.0438056 
13.0461 -0.617513 -0.0191885 
13.1062 -0.617928 0.00537446 
13.1663 -0.616869 0.0298199 
13.2265 -0.614346 0.054085 
13.2866 -0.610371 0.0781076 
13.3467 -0.604961 0.101826 
13.4068 -0.598135 0.125181 
13.4669 -0.589917 0.148112 
13.5271 -0.580335 0.170562 
13.5872 -0.56942 0.192474 
13.6473 -0.557204 0.213793 
13.7074 -0.543726 0.234467 
13.7675 -0.529026 0.254443 
13.8277 -0.513146 0.273674 
13.8878 -0.496135 0.292112 
13.9479 -0.47804 0.309712 
14.008 -0.458913 0.326432 
14.0681 -0.438808 0.342233 
14.1283 -0.417781 0.357078 
14.1884 -0.395892 0.370932 
14.2485 -0.373201 0.383764 
