MULTI_REAL_FUNCTION
Damped Forced Pendulum - both cases
2
Angle1
Angle2
x1: 0
x2: 10
NumPoints: 1000
0 0.2 0.21 
0.01001 0.199927 0.209923 
0.02002 0.19971 0.209691 
0.03003 0.199347 0.209304 
0.04004 0.19884 0.208764 
0.0500501 0.198189 0.208069 
0.0600601 0.197393 0.207221 
0.0700701 0.196454 0.20622 
0.0800801 0.195371 0.205066 
0.0900901 0.194145 0.203759 
0.1001 0.192777 0.202301 
0.11011 0.191266 0.200691 
0.12012 0.189614 0.198931 
0.13013 0.18782 0.197021 
0.14014 0.185885 0.194961 
0.15015 0.183811 0.192752 
0.16016 0.181597 0.190395 
0.17017 0.179244 0.187892 
0.18018 0.176753 0.185242 
0.19019 0.174125 0.182447 
0.2002 0.171361 0.179508 
0.21021 0.168461 0.176425 
0.22022 0.165427 0.173201 
0.23023 0.16226 0.169836 
0.24024 0.15896 0.166332 
0.25025 0.15553 0.16269 
0.26026 0.15197 0.158911 
0.27027 0.148282 0.154998 
0.28028 0.144467 0.150952 
0.29029 0.140526 0.146774 
0.3003 0.136462 0.142467 
0.31031 0.132277 0.138033 
0.32032 0.127971 0.133473 
0.33033 0.123548 0.12879 
0.34034 0.119008 0.123987 
0.35035 0.114355 0.119065 
0.36036 0.10959 0.114027 
0.37037 0.104716 0.108876 
0.38038 0.0997357 0.103615 
0.39039 0.0946516 0.0982468 
0.4004 0.0894664 0.092774 
0.41041 0.0841831 0.0872002 
0.42042 0.0788045 0.0815285 
0.43043 0.0733342 0.0757627 
0.44044 0.0677751 0.069906 
0.45045 0.062131 0.0639625 
0.46046 0.0564052 0.0579358 
0.47047 0.0506015 0.05183 
0.48048 0.0447238 0.0456493 
0.49049 0.0387761 0.039398 
0.500501 0.0327624 0.0330804 
0.510511 0.0266872 0.0267012 
0.520521 0.0205546 0.0202651 
0.530531 0.0143694 0.0137768 
0.540541 0.0081361 0.00724137 
0.550551 0.00185961 0.000663904 
0.560561 -0.00445522 -0.00595041 
0.570571 -0.0108033 -0.0125962 
0.580581 -0.0171794 -0.019268 
0.590591 -0.0235782 -0.0259601 
0.600601 -0.0299944 -0.032667 
0.610611 -0.0364223 -0.0393827 
0.620621 -0.0428564 -0.0461013 
0.630631 -0.0492908 -0.0528169 
0.640641 -0.0557197 -0.0595231 
0.650651 -0.0621372 -0.066214 
0.660661 -0.0685372 -0.072883 
0.670671 -0.0749135 -0.0795239 
0.680681 -0.0812599 -0.0861301 
0.690691 -0.0875703 -0.0926952 
0.700701 -0.0938381 -0.0992126 
0.710711 -0.100057 -0.105675 
0.720721 -0.106221 -0.112077 
0.730731 -0.112322 -0.118411 
0.740741 -0.118356 -0.124671 
0.750751 -0.124314 -0.130849 
0.760761 -0.130191 -0.136939 
0.770771 -0.135979 -0.142933 
0.780781 -0.141673 -0.148826 
0.790791 -0.147265 -0.154611 
0.800801 -0.152749 -0.16028 
0.810811 -0.158119 -0.165827 
0.820821 -0.163368 -0.171246 
0.830831 -0.168489 -0.176528 
0.840841 -0.173476 -0.181669 
0.850851 -0.178322 -0.186662 
0.860861 -0.183022 -0.191499 
0.870871 -0.187569 -0.196176 
0.880881 -0.191956 -0.200684 
0.890891 -0.196179 -0.205019 
0.900901 -0.20023 -0.209174 
0.910911 -0.204105 -0.213144 
0.920921 -0.207796 -0.216922 
0.930931 -0.2113 -0.220503 
0.940941 -0.21461 -0.223882 
0.950951 -0.217722 -0.227053 
0.960961 -0.22063 -0.230012 
0.970971 -0.223328 -0.232752 
0.980981 -0.225814 -0.23527 
0.990991 -0.228081 -0.237561 
1.001 -0.230126 -0.23962 
1.01101 -0.231945 -0.241445 
1.02102 -0.233534 -0.243029 
1.03103 -0.234888 -0.244371 
1.04104 -0.236006 -0.245467 
1.05105 -0.236883 -0.246313 
1.06106 -0.237516 -0.246906 
1.07107 -0.237904 -0.247245 
1.08108 -0.238043 -0.247327 
1.09109 -0.237932 -0.247149 
1.1011 -0.237569 -0.246711 
1.11111 -0.236951 -0.24601 
1.12112 -0.236079 -0.245045 
1.13113 -0.234951 -0.243816 
1.14114 -0.233566 -0.242322 
1.15115 -0.231924 -0.240563 
1.16116 -0.230026 -0.238539 
1.17117 -0.227871 -0.23625 
1.18118 -0.22546 -0.233698 
1.19119 -0.222794 -0.230882 
1.2012 -0.219874 -0.227806 
1.21121 -0.216702 -0.22447 
1.22122 -0.213281 -0.220877 
1.23123 -0.209611 -0.217029 
1.24124 -0.205697 -0.212929 
1.25125 -0.20154 -0.20858 
1.26126 -0.197144 -0.203985 
1.27127 -0.192513 -0.199149 
1.28128 -0.187651 -0.194075 
1.29129 -0.182562 -0.188769 
1.3013 -0.177251 -0.183234 
1.31131 -0.171722 -0.177477 
1.32132 -0.165981 -0.171502 
1.33133 -0.160034 -0.165315 
1.34134 -0.153886 -0.158923 
1.35135 -0.147543 -0.152331 
1.36136 -0.141013 -0.145548 
1.37137 -0.134301 -0.138579 
1.38138 -0.127415 -0.131432 
1.39139 -0.120363 -0.124114 
1.4014 -0.113151 -0.116635 
1.41141 -0.105788 -0.109 
1.42142 -0.0982825 -0.10122 
1.43143 -0.090642 -0.0933028 
1.44144 -0.0828752 -0.0852568 
1.45145 -0.0749914 -0.0770917 
1.46146 -0.0669992 -0.0688165 
1.47147 -0.0589081 -0.0604409 
1.48148 -0.0507274 -0.0519744 
1.49149 -0.0424668 -0.0434271 
1.5015 -0.0341358 -0.0348089 
1.51151 -0.0257446 -0.0261299 
1.52152 -0.017303 -0.0174005 
1.53153 -0.0088213 -0.00863121 
1.54154 -0.000309598 0.000167626 
1.55155 0.00822172 0.00898533 
1.56156 0.0167623 0.0178112 
1.57157 0.0253016 0.0266346 
1.58158 0.0338292 0.0354446 
1.59159 0.0423346 0.0442306 
1.6016 0.0508073 0.0529817 
1.61161 0.0592367 0.0616871 
1.62162 0.0676124 0.0703361 
1.63163 0.0759238 0.0789179 
1.64164 0.0841607 0.087422 
1.65165 0.0923126 0.0958376 
1.66166 0.100369 0.104154 
1.67167 0.108321 0.112362 
1.68168 0.116157 0.12045 
1.69169 0.123868 0.128408 
1.7017 0.131444 0.136227 
1.71171 0.138875 0.143896 
1.72172 0.146152 0.151406 
1.73173 0.153266 0.158747 
1.74174 0.160208 0.165911 
1.75175 0.166969 0.172888 
1.76176 0.17354 0.17967 
1.77177 0.179914 0.186247 
1.78178 0.186081 0.192612 
1.79179 0.192035 0.198757 
1.8018 0.197768 0.204674 
1.81181 0.203271 0.210356 
1.82182 0.20854 0.215795 
1.83183 0.213566 0.220985 
1.84184 0.218344 0.225919 
1.85185 0.222868 0.230592 
1.86186 0.227131 0.234996 
1.87187 0.23113 0.239129 
1.88188 0.234858 0.242982 
1.89189 0.238311 0.246554 
1.9019 0.241485 0.249838 
1.91191 0.244376 0.252831 
1.92192 0.246981 0.255529 
1.93193 0.249297 0.25793 
1.94194 0.25132 0.260031 
1.95195 0.253048 0.261828 
1.96196 0.25448 0.263321 
1.97197 0.255615 0.264507 
1.98198 0.25645 0.265386 
1.99199 0.256985 0.265956 
2.002 0.257219 0.266217 
2.01201 0.257154 0.26617 
2.02202 0.256789 0.265814 
2.03203 0.256125 0.26515 
2.04204 0.255163 0.264181 
2.05205 0.253905 0.262907 
2.06206 0.252353 0.26133 
2.07207 0.25051 0.259453 
2.08208 0.248377 0.257278 
2.09209 0.245959 0.25481 
2.1021 0.243258 0.252051 
2.11211 0.24028 0.249005 
2.12212 0.237027 0.245677 
2.13213 0.233505 0.242072 
2.14214 0.229718 0.238193 
2.15215 0.225672 0.234048 
2.16216 0.221373 0.229641 
2.17217 0.216826 0.224979 
2.18218 0.212038 0.220068 
2.19219 0.207015 0.214915 
2.2022 0.201765 0.209526 
2.21221 0.196293 0.20391 
2.22222 0.190609 0.198073 
2.23223 0.184719 0.192024 
2.24224 0.178632 0.18577 
2.25225 0.172355 0.17932 
2.26226 0.165898 0.172683 
2.27227 0.159268 0.165867 
2.28228 0.152475 0.158882 
2.29229 0.145527 0.151736 
2.3023 0.138435 0.144439 
2.31231 0.131206 0.137001 
2.32232 0.123852 0.129431 
2.33233 0.116381 0.121739 
2.34234 0.108803 0.113936 
2.35235 0.101128 0.106031 
2.36236 0.0933656 0.098034 
2.37237 0.0855266 0.0899558 
2.38238 0.0776207 0.0818067 
2.39239 0.069658 0.0735969 
2.4024 0.0616486 0.0653368 
2.41241 0.0536027 0.0570369 
2.42242 0.0455305 0.0487075 
2.43243 0.037442 0.0403589 
2.44244 0.0293474 0.0320017 
2.45245 0.0212567 0.023646 
2.46246 0.0131798 0.0153021 
2.47247 0.0051267 0.00698006 
2.48248 -0.00289288 -0.00130994 
2.49249 -0.0108692 -0.00955799 
2.5025 -0.0187928 -0.0177543 
2.51251 -0.0266541 -0.0258891 
2.52252 -0.034444 -0.033953 
2.53253 -0.0421533 -0.0419365 
2.54254 -0.0497731 -0.0498303 
2.55255 -0.0572946 -0.0576257 
2.56256 -0.0647095 -0.0653137 
2.57257 -0.0720091 -0.0728856 
2.58258 -0.0791857 -0.0803333 
2.59259 -0.086231 -0.0876485 
2.6026 -0.0931378 -0.0948234 
2.61261 -0.0998983 -0.10185 
2.62262 -0.106506 -0.108722 
2.63263 -0.112953 -0.115431 
2.64264 -0.119234 -0.12197 
2.65265 -0.125342 -0.128334 
2.66266 -0.131271 -0.134516 
2.67267 -0.137015 -0.14051 
2.68268 -0.14257 -0.14631 
2.69269 -0.14793 -0.151912 
2.7027 -0.153089 -0.157309 
2.71271 -0.158045 -0.162498 
2.72272 -0.162791 -0.167474 
2.73273 -0.167326 -0.172232 
2.74274 -0.171644 -0.17677 
2.75275 -0.175744 -0.181084 
2.76276 -0.179622 -0.185171 
2.77277 -0.183276 -0.189027 
2.78278 -0.186703 -0.192651 
