MULTI_REAL_FUNCTION
Damped Harmonic Oscilator - both variables
2
Angle
Ang.vel.
x1: 0
x2: 30
NumPoints: 200
0 0.5 0 
0.150754 0.497273 -0.0240973 
0.301508 0.489537 -0.0451992 
0.452261 0.477444 -0.0634201 
0.603015 0.46162 -0.0788927 
0.753769 0.442656 -0.0917636 
0.904523 0.421113 -0.102191 
1.05528 0.397514 -0.11034 
1.20603 0.372345 -0.116384 
1.35678 0.346053 -0.120496 
1.50754 0.319047 -0.122853 
1.65829 0.291697 -0.123628 
1.80905 0.264336 -0.122992 
1.9598 0.237255 -0.121114 
2.11055 0.210715 -0.118153 
2.26131 0.184936 -0.114266 
2.41206 0.160108 -0.109598 
2.56281 0.136388 -0.104288 
2.71357 0.113905 -0.0984659 
2.86432 0.0927579 -0.0922524 
3.01508 0.0730215 -0.0857583 
3.16583 0.0547465 -0.0790848 
3.31658 0.0379623 -0.0723238 
3.46734 0.022679 -0.0655574 
3.61809 0.00888953 -0.0588586 
3.76884 -0.0034283 -0.0522914 
3.9196 -0.01431 -0.0459112 
4.07035 -0.0238023 -0.0397648 
4.22111 -0.0319616 -0.0338914 
4.37186 -0.0388521 -0.0283229 
4.52261 -0.0445442 -0.0230841 
4.67337 -0.0491132 -0.0181937 
4.82412 -0.0526379 -0.0136643 
4.97487 -0.0551991 -0.00950339 
5.12563 -0.056879 -0.00571357 
5.27638 -0.0577598 -0.00229323 
5.42714 -0.0579227 0.000763047 
5.57789 -0.0574477 0.00346392 
5.72864 -0.0564123 0.0058209 
5.8794 -0.0548912 0.00784783 
6.03015 -0.0529558 0.00956055 
6.1809 -0.050674 0.0109764 
6.33166 -0.0481095 0.0121141 
6.48241 -0.0453219 0.0129929 
6.63317 -0.0423662 0.0136329 
6.78392 -0.0392933 0.0140544 
6.93467 -0.0361492 0.0142777 
7.08543 -0.0329758 0.0143229 
7.23618 -0.0298102 0.0142099 
7.38693 -0.0266855 0.0139576 
7.53769 -0.0236304 0.0135848 
7.68844 -0.0206697 0.0131091 
7.8392 -0.0178243 0.0125472 
7.98995 -0.0151116 0.0119149 
8.1407 -0.0125454 0.0112271 
8.29146 -0.0101367 0.0104973 
8.44221 -0.00789314 0.00973821 
8.59296 -0.00582011 0.00896119 
