MULTI_REAL_FUNCTION
Damped Harmonic Oscilator - both variables
2
Angle
Ang.vel.
x1: 0
x2: 30
NumPoints: 500
0 0.5 0 
0.0601202 0.499555 -0.0146699 
0.12024 0.49825 -0.0286251 
0.180361 0.496128 -0.0418745 
0.240481 0.493229 -0.0544278 
0.300601 0.489597 -0.0662956 
0.360721 0.485271 -0.0774892 
0.420842 0.480293 -0.0880205 
0.480962 0.474701 -0.0979019 
0.541082 0.468534 -0.107147 
0.601202 0.46183 -0.115768 
0.661323 0.454626 -0.123781 
0.721443 0.446958 -0.131199 
0.781563 0.438862 -0.138037 
0.841683 0.430372 -0.14431 
0.901804 0.421521 -0.150034 
0.961924 0.412343 -0.155225 
1.02204 0.402867 -0.159898 
1.08216 0.393126 -0.16407 
1.14228 0.383149 -0.167756 
1.2024 0.372965 -0.170974 
1.26253 0.3626 -0.173738 
1.32265 0.352083 -0.176066 
1.38277 0.341439 -0.177975 
1.44289 0.330691 -0.179479 
1.50301 0.319866 -0.180597 
1.56313 0.308984 -0.181343 
1.62325 0.298068 -0.181735 
1.68337 0.287139 -0.181787 
1.74349 0.276216 -0.181516 
1.80361 0.265319 -0.180938 
1.86373 0.254466 -0.180067 
1.92385 0.243674 -0.17892 
1.98397 0.232958 -0.177511 
2.04409 0.222334 -0.175855 
2.10421 0.211818 -0.173967 
2.16433 0.201421 -0.17186 
2.22445 0.191157 -0.169549 
2.28457 0.181038 -0.167048 
2.34469 0.171075 -0.164369 
2.40481 0.161277 -0.161526 
2.46493 0.151656 -0.158532 
2.52505 0.142218 -0.155398 
2.58517 0.132973 -0.152138 
2.64529 0.123928 -0.148762 
2.70541 0.115088 -0.145282 
2.76553 0.106461 -0.14171 
2.82565 0.0980504 -0.138055 
2.88577 0.0898622 -0.134328 
2.94589 0.0819 -0.130539 
3.00601 0.0741672 -0.126698 
3.06613 0.0666666 -0.122814 
3.12625 0.0594006 -0.118895 
3.18637 0.0523711 -0.114951 
3.24649 0.0455792 -0.110989 
3.30661 0.0390259 -0.107017 
3.36673 0.0327114 -0.103044 
3.42685 0.0266358 -0.0990744 
3.48697 0.0207985 -0.0951169 
3.54709 0.0151985 -0.0911774 
3.60721 0.00983476 -0.087262 
3.66733 0.0047055 -0.0833766 
3.72745 -0.000191192 -0.0795265 
3.78758 -0.00485761 -0.0757169 
3.8477 -0.00929634 -0.0719526 
3.90782 -0.0135102 -0.0682382 
3.96794 -0.0175024 -0.0645778 
4.02806 -0.0212763 -0.0609753 
4.08818 -0.0248353 -0.0574344 
4.1483 -0.0281835 -0.0539585 
4.20842 -0.0313247 -0.0505506 
4.26854 -0.0342631 -0.0472136 
4.32866 -0.0370032 -0.0439499 
4.38878 -0.0395492 -0.040762 
4.4489 -0.041906 -0.0376519 
4.50902 -0.0440781 -0.0346214 
4.56914 -0.0460705 -0.0316721 
4.62926 -0.047888 -0.0288054 
4.68938 -0.0495357 -0.0260225 
4.7495 -0.0510187 -0.0233244 
4.80962 -0.052342 -0.0207119 
4.86974 -0.0535108 -0.0181855 
4.92986 -0.0545304 -0.0157456 
4.98998 -0.0554058 -0.0133925 
5.0501 -0.0561424 -0.0111263 
5.11022 -0.0567454 -0.00894691 
5.17034 -0.0572199 -0.00685405 
5.23046 -0.0575712 -0.00484738 
5.29058 -0.0578045 -0.00292639 
5.3507 -0.0579248 -0.00109043 
5.41082 -0.0579373 0.000661231 
5.47094 -0.057847 0.00232947 
5.53106 -0.0576589 0.00391527 
5.59118 -0.0573778 0.00541969 
5.6513 -0.0570088 0.00684391 
5.71142 -0.0565565 0.00818918 
5.77154 -0.0560257 0.00945682 
5.83166 -0.0554209 0.0106483 
5.89178 -0.0547468 0.011765 
5.9519 -0.0540078 0.0128085 
6.01202 -0.0532082 0.0137804 
6.07214 -0.0523522 0.0146824 
6.13226 -0.0514441 0.0155161 
6.19238 -0.0504879 0.0162832 
6.25251 -0.0494875 0.0169857 
6.31263 -0.0484468 0.0176252 
6.37275 -0.0473695 0.0182035 
6.43287 -0.0462592 0.0187226 
6.49299 -0.0451194 0.0191843 
6.55311 -0.0439536 0.0195904 
6.61323 -0.0427649 0.019943 
6.67335 -0.0415567 0.0202437 
6.73347 -0.0403318 0.0204947 
6.79359 -0.0390933 0.0206977 
6.85371 -0.037844 0.0208547 
6.91383 -0.0365866 0.0209675 
6.97395 -0.0353237 0.021038 
7.03407 -0.0340578 0.0210681 
7.09419 -0.0327913 0.0210596 
7.15431 -0.0315264 0.0210143 
7.21443 -0.0302652 0.0209341 
7.27455 -0.0290099 0.0208208 
7.33467 -0.0277623 0.020676 
7.39479 -0.0265244 0.0205015 
7.45491 -0.0252978 0.0202991 
7.51503 -0.0240841 0.0200704 
7.57515 -0.022885 0.019817 
7.63527 -0.0217018 0.0195405 
7.69539 -0.0205359 0.0192426 
7.75551 -0.0193885 0.0189247 
7.81563 -0.0182607 0.0185883 
7.87575 -0.0171537 0.0182349 
7.93587 -0.0160685 0.017866 
7.99599 -0.0150058 0.0174828 
8.05611 -0.0139666 0.0170869 
8.11623 -0.0129515 0.0166793 
8.17635 -0.0119613 0.0162615 
8.23647 -0.0109964 0.0158346 
8.29659 -0.0100575 0.0153998 
8.35671 -0.00914486 0.0149583 
8.41683 -0.00825898 0.0145111 
8.47695 -0.00740013 0.0140593 
8.53707 -0.00656856 0.0136039 
8.59719 -0.00576444 0.0131459 
8.65731 -0.00498792 0.0126863 
8.71743 -0.00423906 0.0122258 
8.77756 -0.00351788 0.0117654 
8.83768 -0.00282437 0.0113058 
8.8978 -0.00215844 0.0108479 
8.95792 -0.00151997 0.0103923 
9.01804 -0.000908797 0.00993982 
9.07816 -0.000324724 0.00949103 
9.13828 0.000232496 0.00904658 
9.1984 0.00076314 0.00860703 
9.25852 0.00126752 0.00817294 
9.31864 0.00174598 0.00774482 
9.37876 0.00219889 0.00732313 
9.43888 0.00262665 0.00690833 
9.499 0.0030297 0.00650082 
9.55912 0.00340847 0.00610098 
9.61924 0.00376344 0.00570914 
9.67936 0.00409511 0.00532564 
9.73948 0.00440397 0.00495075 
9.7996 0.00469056 0.00458473 
9.85972 0.00495542 0.00422781 
9.91984 0.0051991 0.00388019 
9.97996 0.00542217 0.00354205 
10.0401 0.00562519 0.00321353 
10.1002 0.00580876 0.00289478 
10.1603 0.00597346 0.00258589 
10.2204 0.00611989 0.00228694 
10.2806 0.00624864 0.00199799 
10.3407 0.00636033 0.00171908 
10.4008 0.00645555 0.00145024 
10.4609 0.00653491 0.00119147 
10.521 0.00659901 0.000942745 
10.5812 0.00664847 0.000704037 
10.6413 0.00668387 0.000475296 
10.7014 0.00670581 0.000256457 
10.7615 0.0067149 4.74427e-05 
10.8216 0.00671171 -0.000151841 
10.8818 0.00669684 -0.000341498 
10.9419 0.00667084 -0.000521648 
11.002 0.0066343 -0.000692417 
11.0621 0.00658777 -0.000853946 
11.1222 0.0065318 -0.00100638 
11.1824 0.00646694 -0.00114989 
11.2425 0.00639372 -0.00128462 
11.3026 0.00631265 -0.00141077 
11.3627 0.00622425 -0.0015285 
11.4228 0.00612903 -0.001638 
11.483 0.00602746 -0.00173948 
11.5431 0.00592003 -0.00183312 
11.6032 0.0058072 -0.00191913 
11.6633 0.00568942 -0.00199771 
11.7234 0.00556714 -0.00206908 
11.7836 0.00544077 -0.00213345 
11.8437 0.00531075 -0.00219103 
11.9038 0.00517745 -0.00224205 
11.9639 0.00504129 -0.00228671 
12.024 0.00490262 -0.00232524 
12.0842 0.00476182 -0.00235786 
12.1443 0.00461923 -0.00238479 
12.2044 0.00447518 -0.00240624 
12.2645 0.00433 -0.00242245 
12.3246 0.004184 -0.00243362 
12.3848 0.00403748 -0.00243997 
12.4449 0.00389071 -0.00244171 
12.505 0.00374398 -0.00243907 
12.5651 0.00359752 -0.00243225 
12.6253 0.0034516 -0.00242146 
12.6854 0.00330644 -0.00240691 
12.7455 0.00316226 -0.00238879 
12.8056 0.00301928 -0.0023673 
12.8657 0.00287768 -0.00234265 
12.9259 0.00273766 -0.00231503 
12.986 0.00259938 -0.00228462 
13.0461 0.00246301 -0.0022516 
13.1062 0.00232869 -0.00221617 
13.1663 0.00219658 -0.00217848 
13.2265 0.00206679 -0.00213873 
13.2866 0.00193945 -0.00209707 
13.3467 0.00181467 -0.00205366 
13.4068 0.00169255 -0.00200867 
13.4669 0.00157318 -0.00196225 
13.5271 0.00145664 -0.00191455 
13.5872 0.001343 -0.0018657 
13.6473 0.00123232 -0.00181587 
13.7074 0.00112467 -0.00176516 
13.7675 0.00102009 -0.00171373 
13.8277 0.000918626 -0.00166169 
13.8878 0.000820302 -0.00160915 
13.9479 0.000725148 -0.00155625 
14.008 0.000633183 -0.00150309 
14.0681 0.000544419 -0.00144977 
14.1283 0.000458863 -0.00139639 
14.1884 0.000376515 -0.00134306 
14.2485 0.00029737 -0.00128987 
14.3086 0.000221416 -0.00123689 
14.3687 0.000148639 -0.00118423 
14.4289 7.90164e-05 -0.00113194 
14.489 1.25241e-05 -0.00108012 
14.5491 -5.08679e-05 -0.00102882 
14.6092 -0.000111193 -0.000978115 
14.6693 -0.00016849 -0.000928067 
14.7295 -0.000222799 -0.000878731 
14.7896 -0.000274165 -0.000830162 
14.8497 -0.000322634 -0.000782409 
14.9098 -0.000368259 -0.000735518 
14.9699 -0.000411092 -0.000689531 
15.0301 -0.000451187 -0.000644488 
15.0902 -0.000488605 -0.000600422 
15.1503 -0.000523403 -0.000557367 
15.2104 -0.000555643 -0.00051535 
15.2705 -0.00058539 -0.000474396 
15.3307 -0.000612707 -0.000434529 
15.3908 -0.00063766 -0.000395768 
15.4509 -0.000660317 -0.000358128 
15.511 -0.000680744 -0.000321624 
15.5711 -0.000699012 -0.000286267 
15.6313 -0.000715189 -0.000252065 
15.6914 -0.000729344 -0.000219025 
15.7515 -0.000741548 -0.000187149 
15.8116 -0.00075187 -0.000156441 
15.8717 -0.000760381 -0.000126898 
15.9319 -0.000767152 -9.85185e-05 
15.992 -0.000772251 -7.12979e-05 
16.0521 -0.000775748 -4.52298e-05 
16.1122 -0.000777712 -2.03061e-05 
16.1723 -0.000778212 3.48319e-06 
16.2325 -0.000777316 2.61492e-05 
16.2926 -0.00077509 4.77047e-05 
16.3527 -0.000771602 6.81639e-05 
16.4128 -0.000766916 8.75421e-05 
16.4729 -0.000761097 0.000105856 
16.5331 -0.000754208 0.000123123 
16.5932 -0.000746313 0.000139362 
16.6533 -0.000737472 0.000154593 
16.7134 -0.000727745 0.000168835 
16.7735 -0.00071719 0.000182111 
16.8337 -0.000705866 0.000194443 
16.8938 -0.000693829 0.000205852 
16.9539 -0.000681133 0.000216362 
17.014 -0.000667831 0.000225997 
17.0741 -0.000653976 0.000234781 
17.1343 -0.000639617 0.000242739 
17.1944 -0.000624805 0.000249894 
17.2545 -0.000609585 0.000256272 
17.3146 -0.000594005 0.000261899 
17.3747 -0.000578109 0.0002668 
17.4349 -0.000561939 0.000271 
17.495 -0.000545537 0.000274524 
17.5551 -0.000528943 0.000277399 
17.6152 -0.000512195 0.000279649 
17.6754 -0.00049533 0.000281301 
17.7355 -0.000478383 0.000282378 
17.7956 -0.000461388 0.000282907 
17.8557 -0.000444377 0.000282912 
17.9158 -0.000427381 0.000282417 
17.976 -0.000410428 0.000281447 
18.0361 -0.000393548 0.000280027 
18.0962 -0.000376766 0.000278179 
18.1563 -0.000360108 0.000275927 
18.2164 -0.000343596 0.000273294 
18.2766 -0.000327254 0.000270303 
18.3367 -0.000311102 0.000266975 
18.3968 -0.000295159 0.000263333 
18.4569 -0.000279444 0.000259397 
18.517 -0.000263975 0.000255188 
18.5772 -0.000248766 0.000250726 
18.6373 -0.000233832 0.000246032 
18.6974 -0.000219187 0.000241124 
18.7575 -0.000204843 0.000236022 
18.8176 -0.000190811 0.000230742 
18.8778 -0.000177102 0.000225303 
18.9379 -0.000163723 0.000219722 
18.998 -0.000150685 0.000214016 
19.0581 -0.000137992 0.0002082 
19.1182 -0.000125652 0.00020229 
19.1784 -0.00011367 0.000196301 
19.2385 -0.00010205 0.000190246 
19.2986 -9.0796e-05 0.00018414 
19.3587 -7.991e-05 0.000177996 
19.4188 -6.93942e-05 0.000171827 
19.479 -5.92498e-05 0.000165644 
19.5391 -4.94772e-05 0.000159459 
19.5992 -4.00762e-05 0.000153283 
19.6593 -3.1046e-05 0.000147127 
19.7194 -2.2385e-05 0.000141 
19.7796 -1.40913e-05 0.000134913 
19.8397 -6.16209e-06 0.000128873 
19.8998 1.4056e-06 0.000122889 
19.9599 8.61545e-06 0.00011697 
20.02 1.54715e-05 0.000111122 
20.0802 2.19784e-05 0.000105353 
20.1403 2.81409e-05 9.96686e-05 
