MULTI_REAL_FUNCTION
Function and derivation together
2
Func
Derivation
x1: -10
x2: 10
NumPoints: 501
-10 34.7769 -63.317 
-9.96 32.242 -63.4085 
-9.92 29.7058 -63.3779 
-9.88 27.1733 -63.2276 
-9.84 24.6492 -62.9601 
-9.8 22.1381 -62.5781 
-9.76 19.6444 -62.0845 
-9.72 17.1727 -61.4824 
-9.68 14.7272 -60.7752 
-9.64 12.3121 -59.9661 
-9.6 9.93127 -59.0589 
-9.56 7.58864 -58.0571 
-9.52 5.28791 -56.9647 
-9.48 3.03262 -55.7856 
-9.44 0.826165 -54.5238 
-9.4 -1.32824 -53.1837 
-9.36 -3.42754 -51.7693 
-9.32 -5.46886 -50.2852 
-9.28 -7.44948 -48.7356 
-9.24 -9.36689 -47.1252 
-9.2 -11.2187 -45.4583 
-9.16 -13.0029 -43.7397 
-9.12 -14.7173 -41.9738 
-9.08 -16.3602 -40.1653 
-9.04 -17.93 -38.3189 
-9 -19.4253 -36.4391 
-8.96 -20.8448 -34.5306 
-8.92 -22.1874 -32.5979 
-8.88 -23.4523 -30.6457 
-8.84 -24.6388 -28.6785 
-8.8 -25.7465 -26.7007 
-8.76 -26.7748 -24.7167 
-8.72 -27.7238 -22.7311 
-8.68 -28.5933 -20.7479 
-8.64 -29.3837 -18.7714 
-8.6 -30.0952 -16.8058 
-8.56 -30.7284 -14.8551 
-8.52 -31.2839 -12.9231 
-8.48 -31.7625 -11.0136 
-8.44 -32.1653 -9.13041 
-8.4 -32.4933 -7.27702 
-8.36 -32.7479 -5.45686 
-8.32 -32.9304 -3.67322 
-8.28 -33.0423 -1.92926 
-8.24 -33.0853 -0.227984 
-8.2 -33.0611 1.42775 
-8.16 -32.9717 3.03524 
-8.12 -32.819 4.59195 
-8.08 -32.6051 6.09549 
-8.04 -32.3321 7.54363 
-8 -32.0023 8.93433 
-7.96 -31.6181 10.2657 
-7.92 -31.1819 11.536 
-7.88 -30.6961 12.7437 
-7.84 -30.1632 13.8875 
-7.8 -29.586 14.9661 
-7.76 -28.9668 15.9785 
-7.72 -28.3086 16.9239 
-7.68 -27.6138 17.8015 
-7.64 -26.8854 18.6109 
-7.6 -26.1259 19.3518 
-7.56 -25.3381 20.0238 
-7.52 -24.5249 20.6271 
-7.48 -23.6889 21.1618 
-7.44 -22.8328 21.6282 
-7.4 -21.9595 22.0267 
-7.36 -21.0716 22.358 
-7.32 -20.1718 22.6229 
-7.28 -19.2626 22.8223 
-7.24 -18.3468 22.9572 
-7.2 -17.4269 23.0289 
-7.16 -16.5054 23.0386 
-7.12 -15.5846 22.9878 
-7.08 -14.6671 22.8781 
-7.04 -13.7551 22.7113 
-7 -12.851 22.489 
-6.96 -11.9567 22.2132 
-6.92 -11.0746 21.8859 
-6.88 -10.2065 21.5092 
-6.84 -9.35448 21.0853 
-6.8 -8.5203 20.6165 
-6.76 -7.70573 20.105 
-6.72 -6.91244 19.5533 
-6.68 -6.14197 18.9639 
-6.64 -5.3958 18.3392 
-6.6 -4.67527 17.6818 
-6.56 -3.98166 16.9943 
-6.52 -3.3161 16.2793 
-6.48 -2.67965 15.5395 
-6.44 -2.07323 14.7776 
-6.4 -1.4977 13.9962 
-6.36 -0.953766 13.198 
-6.32 -0.442052 12.3857 
-6.28 0.0369333 11.5619 
-6.24 0.482785 10.7294 
-6.2 0.895204 9.89076 
-6.16 1.274 9.04858 
-6.12 1.61908 8.20544 
-6.08 1.93045 7.36387 
-6.04 2.20824 6.52636 
-6 2.45265 5.69534 
-5.96 2.66399 4.87319 
-5.92 2.84265 4.06222 
-5.88 2.98914 3.26468 
-5.84 3.10404 2.48273 
-5.8 3.188 1.71849 
-5.76 3.24178 0.97396 
-5.72 3.2662 0.25107 
-5.68 3.26218 -0.448338 
-5.64 3.23067 -1.12252 
-5.6 3.17273 -1.76982 
-5.56 3.08947 -2.38869 
-5.52 2.98204 -2.97769 
-5.48 2.85167 -3.53547 
-5.44 2.69963 -4.06079 
-5.4 2.52725 -4.55252 
-5.36 2.33589 -5.00966 
-5.32 2.12695 -5.4313 
-5.28 1.90187 -5.81663 
-5.24 1.66212 -6.165 
-5.2 1.40917 -6.47584 
-5.16 1.14456 -6.74869 
-5.12 0.869789 -6.98322 
-5.08 0.586412 -7.17922 
-5.04 0.295967 -7.33658 
-5 -0 -7.45531 
-4.96 -0.299945 -7.53553 
-4.92 -0.602332 -7.57746 
-4.88 -0.905635 -7.58144 
-4.84 -1.20835 -7.54792 
-4.8 -1.50898 -7.47744 
-4.76 -1.80606 -7.37065 
-4.72 -2.09815 -7.2283 
-4.68 -2.38386 -7.05124 
-4.64 -2.6618 -6.8404 
-4.6 -2.93065 -6.5968 
-4.56 -3.18912 -6.32156 
-4.52 -3.43597 -6.01588 
-4.48 -3.67001 -5.68102 
-4.44 -3.89008 -5.31833 
-4.4 -4.09512 -4.92924 
-4.36 -4.28409 -4.51521 
-4.32 -4.45602 -4.07779 
-4.28 -4.61002 -3.61859 
-4.24 -4.74524 -3.13925 
