MULTI_REAL_FUNCTION
Pendulum - both variables
2
Angle
Ang.vel
x1: 0
x2: 10
NumPoints: 200
0 0.523599 0 
0.0502513 0.517754 -0.245749 
0.100503 0.499163 -0.485995 
0.150754 0.468711 -0.715635 
0.201005 0.427285 -0.929563 
0.251256 0.375627 -1.12249 
0.301508 0.314914 -1.28968 
0.351759 0.246516 -1.42634 
0.40201 0.17212 -1.52908 
0.452261 0.09348 -1.5942 
0.502513 0.0125345 -1.62064 
0.552764 -0.0686597 -1.60601 
0.603015 -0.1482 -1.55231 
0.653266 -0.224188 -1.4617 
0.703518 -0.294582 -1.33509 
0.753769 -0.357886 -1.17703 
0.80402 -0.412418 -0.991406 
0.854271 -0.457129 -0.783439 
0.904523 -0.490843 -0.55799 
0.954774 -0.512997 -0.320389 
1.00503 -0.522916 -0.0758519 
1.05528 -0.520615 0.17031 
1.10553 -0.505904 0.412812 
1.15578 -0.479254 0.646358 
1.20603 -0.441204 0.865722 
1.25628 -0.39255 1.06562 
1.30653 -0.334517 1.24131 
1.35678 -0.268278 1.38768 
1.40704 -0.195583 1.50144 
1.45729 -0.11801 1.57798 
1.50754 -0.0375784 1.6168 
1.55779 0.0437358 1.61437 
1.60804 0.124007 1.57265 
1.65829 0.201309 1.49356 
1.70854 0.273598 1.37764 
1.75879 0.339272 1.22886 
1.80905 0.396617 1.05115 
1.8593 0.444509 0.849579 
1.90955 0.481662 0.628927 
1.9598 0.507478 0.394523 
2.01005 0.52116 0.15155 
2.0603 0.522672 -0.0946735 
2.11055 0.511723 -0.338867 
2.1608 0.488712 -0.575733 
2.21106 0.454094 -0.800024 
2.26131 0.408582 -1.00644 
2.31156 0.353334 -1.19014 
2.36181 0.289427 -1.34593 
2.41206 0.218581 -1.47027 
2.46231 0.142283 -1.55854 
2.51256 0.0625448 -1.60936 
2.56281 -0.0187641 -1.61997 
2.61307 -0.0996075 -1.59092 
2.66332 -0.177995 -1.52254 
2.71357 -0.251998 -1.41718 
2.76382 -0.319878 -1.27798 
2.81407 -0.379912 -1.10861 
2.86432 -0.430868 -0.913914 
2.91457 -0.471396 -0.698555 
2.96482 -0.500791 -0.467847 
3.01508 -0.518179 -0.226939 
3.06533 -0.523506 0.0188389 
3.11558 -0.51609 0.264191 
3.16583 -0.496761 0.503875 
3.21608 -0.46592 0.732635 
3.26633 -0.423641 0.945072 
3.31658 -0.371339 1.13635 
3.36683 -0.309909 1.30116 
3.41709 -0.241059 1.43564 
3.46734 -0.166216 1.53524 
3.51759 -0.0873627 1.598 
3.56784 -0.00630751 1.6209 
3.61809 0.0748769 1.60403 
3.66834 0.154226 1.5475 
3.71859 0.229671 1.45301 
3.76884 0.299455 1.32334 
3.8191 0.362178 1.16315 
3.86935 0.416215 0.976267 
3.9196 0.460032 0.766677 
3.96985 0.492995 0.540207 
4.0201 0.514155 0.301866 
4.07035 0.523235 0.0570249 
4.1206 0.5199 -0.189047 
4.17085 0.504288 -0.431047 
4.22111 0.476759 -0.663713 
4.27136 0.437816 -0.881725 
4.32161 0.388487 -1.08006 
4.37186 0.329675 -1.25346 
4.42211 0.262979 -1.39779 
4.47236 0.189764 -1.50839 
4.52261 0.111971 -1.58286 
4.57286 0.0313663 -1.61785 
4.62312 -0.0499666 -1.61332 
4.67337 -0.13002 -1.56808 
4.72362 -0.206971 -1.48551 
4.77387 -0.278906 -1.36752 
4.82412 -0.343915 -1.21608 
4.87437 -0.400644 -1.03656 
4.92462 -0.447712 -0.833283 
4.97487 -0.484061 -0.611443 
5.02513 -0.508934 -0.376176 
5.07538 -0.521737 -0.132777 
5.12563 -0.522253 0.113481 
5.17588 -0.510371 0.357298 
5.22613 -0.486493 0.593403 
5.27638 -0.450956 0.816479 
5.32663 -0.40473 1.0214 
5.37688 -0.348686 1.20299 
5.42714 -0.284274 1.3567 
5.47739 -0.212869 1.47806 
5.52764 -0.136309 1.56388 
5.57789 -0.0563408 1.61103 
5.62814 0.024966 1.61908 
5.67839 0.10562 1.58589 
5.72864 0.183756 1.51491 
5.77889 0.25744 1.40776 
5.82915 0.324717 1.26588 
5.8794 0.384159 1.0946 
5.92965 0.434321 0.898076 
5.9799 0.47406 0.681412 
6.03015 0.50255 0.449715 
6.0804 0.519097 0.20826 
6.13065 0.523422 -0.0376844 
6.1809 0.515335 -0.282817 
6.23116 0.495133 -0.52186 
6.28141 0.46308 -0.749507 
6.33166 0.420049 -0.960548 
6.38191 0.366901 -1.14987 
6.43216 0.304909 -1.31259 
6.48241 0.235489 -1.4444 
6.53266 0.160319 -1.54128 
6.58291 0.0811879 -1.60069 
6.63317 0.000114201 -1.62061 
6.68342 -0.080968 -1.59976 
6.73367 -0.16012 -1.54082 
6.78392 -0.235364 -1.44474 
6.83417 -0.304775 -1.31288 
6.88442 -0.366788 -1.15025 
6.93467 -0.419953 -0.960968 
6.98492 -0.462977 -0.749952 
7.03518 -0.495048 -0.522332 
7.08543 -0.515272 -0.283316 
7.13568 -0.523412 -0.038189 
7.18593 -0.519132 0.207757 
7.23618 -0.502642 0.449238 
7.28643 -0.474152 0.680954 
7.33668 -0.434421 0.897654 
7.38693 -0.384271 1.09422 
7.43719 -0.32485 1.26558 
7.48744 -0.257562 1.40742 
7.53769 -0.183969 1.51541 
7.58794 -0.105862 1.58682 
7.63819 -0.0251533 1.61914 
7.68844 0.0561962 1.61166 
7.73869 0.136121 1.56395 
7.78894 0.212725 1.47843 
7.8392 0.283889 1.35631 
7.88945 0.348329 1.20267 
7.9397 0.404569 1.02165 
7.98995 0.45081 0.816869 
8.0402 0.486414 0.593859 
8.09045 0.510313 0.357794 
8.1407 0.522249 0.113986 
8.19095 0.521759 -0.132272 
8.24121 0.509018 -0.37569 
8.29146 0.484147 -0.610976 
