MULTI_REAL_FUNCTION
Spherical pendulum - both angles
2
Theta
Phi
x1: 0
x2: 20
NumPoints: 1000
0 1.5708 0 
0.02002 1.67085 -0.0713116 
0.04004 1.76648 -0.144027 
0.0600601 1.85721 -0.21947 
0.0800801 1.94255 -0.298921 
0.1001 2.02195 -0.383633 
0.12012 2.09478 -0.47482 
0.14014 2.1603 -0.573581 
0.16016 2.21765 -0.680779 
0.18018 2.26587 -0.79685 
0.2002 2.30393 -0.921549 
0.22022 2.33085 -1.05373 
0.24024 2.3458 -1.19125 
0.26026 2.34829 -1.33112 
0.28028 2.33822 -1.46996 
0.3003 2.31595 -1.60456 
0.32032 2.28218 -1.73241 
0.34034 2.23785 -1.85197 
0.36036 2.18399 -1.96265 
0.38038 2.12158 -2.06466 
0.4004 2.05155 -2.15872 
0.42042 1.97466 -2.24585 
0.44044 1.8916 -2.32723 
0.46046 1.80294 -2.4041 
0.48048 1.70919 -2.47774 
0.500501 1.61082 -2.54944 
0.520521 1.50833 -2.62058 
0.540541 1.40224 -2.69267 
0.560561 1.29317 -2.76748 
0.580581 1.1819 -2.84717 
0.600601 1.06944 -2.93457 
0.620621 0.957171 -3.0335 
0.640641 0.847076 -3.1493 
0.660661 0.742115 -3.28955 
0.680681 0.646764 -3.46425 
0.700701 0.567686 -3.68448 
0.720721 0.51396 -3.9555 
0.740741 0.494863 -4.26341 
0.760761 0.514597 -4.5709 
0.780781 0.568818 -4.84121 
0.800801 0.648241 -5.06058 
0.820821 0.743802 -5.23461 
0.840841 0.848867 -5.37438 
0.860861 0.95901 -5.48987 
0.880881 1.0713 -5.58855 
0.900901 1.18376 -5.67579 
0.920921 1.295 -5.75538 
0.940941 1.40403 -5.83013 
0.960961 1.51006 -5.90219 
0.980981 1.61249 -5.97333 
1.001 1.71078 -6.04505 
1.02102 1.80445 -6.11874 
1.04104 1.89302 -6.19567 
1.06106 1.97599 -6.27714 
1.08108 2.05276 -6.36438 
1.1011 2.12268 -6.45856 
1.12112 2.18495 -6.56071 
1.14114 2.23867 -6.67154 
1.16116 2.28283 -6.79124 
1.18118 2.31642 -6.91921 
1.2012 2.33849 -7.0539 
1.22122 2.34835 -7.19279 
1.24124 2.34566 -7.33265 
1.26126 2.3305 -7.47011 
1.28128 2.30339 -7.60218 
1.3013 2.26515 -7.72674 
1.32132 2.21677 -7.84266 
1.34134 2.15928 -7.94972 
1.36136 2.09363 -8.04834 
1.38138 2.02068 -8.13941 
1.4014 1.94118 -8.22403 
1.42142 1.85575 -8.3034 
1.44144 1.76493 -8.37879 
1.46146 1.66923 -8.45147 
1.48148 1.5691 -8.52277 
1.5015 1.46506 -8.5941 
1.52152 1.35767 -8.66708 
1.54154 1.24759 -8.74361 
1.56156 1.13568 -8.82608 
1.58158 1.0231 -8.91769 
1.6016 0.911449 -9.02282 
1.62162 0.80304 -9.14762 
1.64164 0.701393 -9.3007 
1.66166 0.61177 -9.4929 
1.68168 0.541925 -9.73411 
1.7017 0.501489 -10.0236 
1.72172 0.498361 -10.3366 
1.74174 0.533217 -10.6321 
1.76176 0.599023 -10.8817 
1.78178 0.686056 -11.0812 
1.8018 0.786205 -11.2397 
1.82182 0.893799 -11.3684 
1.84184 1.00511 -11.4762 
1.86186 1.11766 -11.5697 
1.88188 1.22976 -11.6534 
1.9019 1.3402 -11.7307 
