PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 10
NumPoints: 101
0 1 0 
0.1 0.737117 0.0739584 
0.2 0.537872 0.109032 
0.3 0.388411 0.12015 
0.4 0.277418 0.117291 
0.5 0.195815 0.106974 
0.6 0.136427 0.0933348 
0.7 0.0936598 0.0788886 
0.8 0.0632038 0.0650771 
0.9 0.0417756 0.0526439 
1 0.0269001 0.0418944 
1.1 0.0167301 0.0328706 
1.2 0.00990096 0.0254668 
1.3 0.00541469 0.0195043 
1.4 0.00254876 0.0147774 
1.5 0.000785819 0.0110812 
1.6 -0.000240305 0.00822624 
1.7 -0.000785532 0.00604593 
1.8 -0.00102618 0.00439846 
1.9 -0.00108172 0.00316629 
2 -0.00103152 0.00225392 
2.1 -0.000927051 0.00158512 
2.2 -0.000800578 0.00109985 
2.3 -0.000671463 0.000751511 
2.4 -0.000550528 0.000504291 
2.5 -0.0004431 0.000331006 
2.6 -0.000351097 0.000211219 
2.7 -0.000274421 0.000129727 
2.8 -0.000211875 7.53279e-05 
2.9 -0.000161748 3.98555e-05 
3 -0.000122175 1.74156e-05 
3.1 -9.13452e-05 3.80148e-06 
3.2 -6.76132e-05 -3.95361e-06 
3.3 -4.95465e-05 -7.91484e-06 
3.4 -3.59362e-05 -9.49854e-06 
3.5 -2.57867e-05 -9.65932e-06 
3.6 -1.82934e-05 -9.0272e-06 
3.7 -1.28168e-05 -8.00706e-06 
3.8 -8.85527e-06 -6.85005e-06 
3.9 -6.02075e-06 -5.70421e-06 
4 -4.01613e-06 -4.64996e-06 
4.1 -2.61645e-06 -3.72459e-06 
4.2 -1.65317e-06 -2.93897e-06 
4.3 -1.00122e-06 -2.28863e-06 
4.4 -5.68751e-07 -1.76104e-06 
4.5 -2.88992e-07 -1.34015e-06 
4.6 -1.13906e-07 -1.00922e-06 
4.7 -9.32121e-09 -7.52341e-07 
4.8 4.87711e-08 -5.55253e-07 
4.9 7.70156e-08 -4.05679e-07 
5 8.67729e-08 -2.93337e-07 
5.1 8.56566e-08 -2.09806e-07 
5.2 7.86559e-08 -1.48317e-07 
5.3 6.89479e-08 -1.0351e-07 
5.4 5.84781e-08 -7.11994e-08 
5.5 4.8371e-08 -4.81574e-08 
5.6 3.92167e-08 -3.19202e-08 
5.7 3.12681e-08 -2.06285e-08 
5.8 2.45739e-08 -1.28931e-08 
5.9 1.90674e-08 -7.68628e-09 
6 1.46234e-08 -4.25549e-09 
6.1 1.10939e-08 -2.05528e-09 
6.2 8.32949e-09 -6.94494e-10 
6.3 6.19117e-09 1.04112e-10 
6.4 4.55592e-09 5.34632e-10 
6.5 3.31871e-09 7.31035e-10 
6.6 2.39221e-09 7.84305e-10 
6.7 1.70533e-09 7.55049e-10 
6.8 1.20119e-09 6.82683e-10 
6.9 8.34926e-10 5.92055e-10 
7 5.71651e-10 4.98164e-10 
7.1 3.8453e-10 4.09484e-10 
7.2 2.53159e-10 3.30277e-10 
7.3 1.62181e-10 2.62176e-10 
7.4 1.00156e-10 2.05249e-10 
7.5 5.86472e-11 1.587e-10 
7.6 3.14926e-11 1.21318e-10 
7.7 1.42413e-11 9.17547e-11 
7.8 3.71146e-12 6.86872e-11 
7.9 -2.34422e-12 5.0905e-11 
8 -5.49282e-12 3.73496e-11 
8.1 -6.81117e-12 2.71248e-11 
8.2 -7.02674e-12 1.94904e-11 
8.3 -6.62101e-12 1.3847e-11 
8.4 -5.90456e-12 9.71721e-12 
8.5 -5.07103e-12 6.72603e-12 
8.6 -4.23539e-12 4.58283e-12 
8.7 -3.46091e-12 3.06484e-12 
8.8 -2.77777e-12 2.00318e-12 
8.9 -2.19569e-12 1.27114e-12 
9 -1.7125e-12 7.74589e-13 
9.1 -1.3196e-12 4.44309e-13 
9.2 -1.00556e-12 2.29913e-13 
9.3 -7.58218e-13 9.5103e-14 
9.4 -5.65929e-13 1.40254e-14 
9.5 -4.18194e-13 -3.15168e-14 
9.6 -3.05927e-13 -5.41605e-14 
9.7 -2.21498e-13 -6.25485e-14 
9.8 -1.58644e-13 -6.24873e-14 
9.9 -1.12318e-13 -5.77935e-14 
10 -7.85172e-14 -5.09074e-14 
