PARAMETRIC_CURVE_CARTESIAN_2D
Damped Forced Harmonic Oscilator - phase space trajectory
t1: 0
t2: 1
NumPoints: 500
0 0.5 0 
0.00200401 0.498921 -0.0179205 
0.00400802 0.495717 -0.0355858 
0.00601202 0.490525 -0.0527733 
0.00801603 0.483564 -0.0693256 
0.01002 0.475088 -0.0851574 
0.012024 0.465343 -0.100243 
0.0140281 0.454546 -0.114596 
0.0160321 0.442879 -0.128252 
0.0180361 0.430487 -0.141254 
0.0200401 0.417487 -0.15365 
0.0220441 0.403972 -0.165482 
0.0240481 0.390016 -0.17679 
0.0260521 0.375677 -0.18761 
0.0280561 0.361003 -0.19797 
0.0300601 0.346032 -0.207898 
0.0320641 0.330797 -0.217414 
0.0340681 0.315323 -0.226538 
0.0360721 0.299633 -0.235284 
0.0380762 0.283746 -0.243667 
0.0400802 0.267677 -0.251695 
0.0420842 0.251439 -0.259379 
0.0440882 0.235047 -0.266725 
0.0460922 0.218509 -0.273738 
0.0480962 0.201836 -0.280422 
0.0501002 0.185035 -0.286782 
0.0521042 0.168116 -0.292817 
0.0541082 0.151085 -0.29853 
0.0561122 0.13395 -0.303919 
0.0581162 0.116716 -0.308986 
0.0601202 0.0993891 -0.313727 
0.0621242 0.0819763 -0.31814 
0.0641283 0.0644832 -0.322224 
0.0661323 0.0469154 -0.325973 
0.0681363 0.0292788 -0.329384 
0.0701403 0.0115794 -0.332452 
0.0721443 -0.00617698 -0.335171 
0.0741483 -0.023984 -0.337536 
0.0761523 -0.0418352 -0.33954 
0.0781563 -0.059724 -0.341176 
0.0801603 -0.0776431 -0.342435 
0.0821643 -0.0955851 -0.34331 
0.0841683 -0.113542 -0.343791 
0.0861723 -0.131505 -0.343869 
0.0881764 -0.149465 -0.343534 
0.0901804 -0.167412 -0.342774 
0.0921844 -0.185336 -0.341579 
0.0941884 -0.203224 -0.339935 
0.0961924 -0.221063 -0.337831 
0.0981964 -0.23884 -0.335252 
0.1002 -0.25654 -0.332184 
0.102204 -0.274144 -0.328614 
0.104208 -0.291636 -0.324525 
0.106212 -0.308994 -0.319902 
0.108216 -0.326196 -0.31473 
0.11022 -0.343217 -0.308991 
0.112224 -0.360031 -0.302669 
0.114228 -0.376607 -0.295749 
0.116232 -0.392912 -0.288213 
0.118236 -0.408912 -0.280048 
0.12024 -0.424566 -0.271239 
0.122244 -0.439833 -0.261774 
0.124248 -0.454665 -0.251643 
0.126253 -0.469014 -0.240839 
0.128257 -0.482828 -0.229358 
0.130261 -0.496051 -0.217201 
0.132265 -0.508625 -0.204375 
0.134269 -0.520492 -0.190892 
0.136273 -0.531592 -0.176771 
0.138277 -0.541867 -0.162039 
0.140281 -0.55126 -0.14673 
0.142285 -0.559721 -0.130886 
0.144289 -0.567203 -0.114558 
0.146293 -0.573667 -0.0978002 
0.148297 -0.579082 -0.080675 
0.150301 -0.583427 -0.0632475 
0.152305 -0.586691 -0.0455856 
0.154309 -0.588872 -0.0277575 
0.156313 -0.58998 -0.0098305 
0.158317 -0.590031 0.00813071 
0.160321 -0.589048 0.0260652 
0.162325 -0.587064 0.0439168 
0.164329 -0.584113 0.0616344 
0.166333 -0.580235 0.0791726 
0.168337 -0.575471 0.0964912 
0.170341 -0.569864 0.113556 
0.172345 -0.563457 0.130336 
0.174349 -0.556292 0.146808 
0.176353 -0.548413 0.16295 
0.178357 -0.539859 0.178745 
0.180361 -0.530669 0.194178 
0.182365 -0.520881 0.20924 
0.184369 -0.510529 0.22392 
0.186373 -0.499648 0.238212 
0.188377 -0.488268 0.25211 
0.190381 -0.47642 0.265611 
0.192385 -0.46413 0.278712 
0.194389 -0.451426 0.291412 
0.196393 -0.438331 0.303708 
0.198397 -0.424869 0.315601 
0.200401 -0.411061 0.32709 
0.202405 -0.396927 0.338177 
0.204409 -0.382487 0.348861 
0.206413 -0.367758 0.359144 
0.208417 -0.352758 0.369027 
0.210421 -0.337502 0.378509 
0.212425 -0.322005 0.387594 
0.214429 -0.306282 0.396281 
0.216433 -0.290346 0.404572 
0.218437 -0.274211 0.412467 
0.220441 -0.257889 0.419968 
0.222445 -0.241391 0.427075 
0.224449 -0.22473 0.433789 
0.226453 -0.207916 0.44011 
0.228457 -0.190959 0.446039 
0.230461 -0.17387 0.451576 
0.232465 -0.15666 0.456722 
0.234469 -0.139337 0.461475 
0.236473 -0.121911 0.465836 
0.238477 -0.104391 0.469804 
0.240481 -0.0867872 0.473379 
0.242485 -0.0691079 0.476561 
0.244489 -0.051362 0.479348 
0.246493 -0.0335585 0.481738 
0.248497 -0.0157061 0.483732 
0.250501 0.00218624 0.485328 
0.252505 0.0201098 0.486523 
0.254509 0.0380555 0.487317 
0.256513 0.0560146 0.487707 
0.258517 0.073978 0.487692 
0.260521 0.0919363 0.487269 
0.262525 0.10988 0.486436 
0.264529 0.1278 0.485191 
0.266533 0.145687 0.483531 
0.268537 0.16353 0.481453 
0.270541 0.181318 0.478955 
0.272545 0.199042 0.476033 
0.274549 0.216691 0.472685 
0.276553 0.234253 0.468908 
0.278557 0.251716 0.464698 
0.280561 0.269068 0.460052 
0.282565 0.286296 0.454968 
0.284569 0.303388 0.449442 
0.286573 0.32033 0.44347 
0.288577 0.337107 0.437051 
0.290581 0.353705 0.430181 
0.292585 0.370107 0.422858 
0.294589 0.386298 0.415078 
0.296593 0.402261 0.406841 
0.298597 0.417978 0.398143 
0.300601 0.433431 0.388984 
0.302605 0.4486 0.379362 
0.304609 0.463465 0.369278 
0.306613 0.478006 0.358732 
0.308617 0.492202 0.347724 
0.310621 0.506028 0.336257 
0.312625 0.519463 0.324334 
0.314629 0.532484 0.311959 
0.316633 0.545064 0.299137 
0.318637 0.55718 0.285876 
0.320641 0.568806 0.272183 
0.322645 0.579916 0.258068 
0.324649 0.590486 0.243544 
0.326653 0.600488 0.228624 
0.328657 0.609897 0.213323 
0.330661 0.618689 0.197659 
0.332665 0.62684 0.181652 
0.334669 0.634325 0.165324 
0.336673 0.641124 0.148698 
0.338677 0.647215 0.1318 
0.340681 0.652581 0.114657 
0.342685 0.657205 0.0973004 
0.344689 0.661073 0.0797594 
0.346693 0.664174 0.0620667 
0.348697 0.666499 0.0442554 
0.350701 0.668043 0.0263595 
0.352705 0.668802 0.00841315 
0.354709 0.668778 -0.00954923 
0.356713 0.667972 -0.0274936 
0.358717 0.666392 -0.0453864 
0.360721 0.664046 -0.0631949 
0.362725 0.660945 -0.0808877 
0.364729 0.657102 -0.0984344 
0.366733 0.652534 -0.115806 
0.368737 0.647258 -0.132977 
0.370741 0.641293 -0.14992 
0.372745 0.63466 -0.166613 
0.374749 0.627378 -0.183034 
0.376754 0.619472 -0.199163 
0.378758 0.610963 -0.214982 
0.380762 0.601874 -0.230476 
0.382766 0.592229 -0.24563 
0.38477 0.58205 -0.26043 
0.386774 0.571362 -0.274867 
0.388778 0.560185 -0.288929 
0.390782 0.548543 -0.302609 
0.392786 0.536457 -0.315898 
0.39479 0.52395 -0.328791 
0.396794 0.511041 -0.341282 
0.398798 0.497751 -0.353367 
0.400802 0.484099 -0.365042 
0.402806 0.470104 -0.376303 
0.40481 0.455785 -0.38715 
0.406814 0.44116 -0.397579 
0.408818 0.426244 -0.407589 
0.410822 0.411055 -0.417179 
0.412826 0.395609 -0.426349 
0.41483 0.379921 -0.435099 
0.416834 0.364005 -0.443427 
0.418838 0.347876 -0.451335 
0.420842 0.331548 -0.458823 
0.422846 0.315033 -0.46589 
0.42485 0.298345 -0.472538 
0.426854 0.281496 -0.478766 
0.428858 0.264499 -0.484577 
0.430862 0.247364 -0.489969 
0.432866 0.230103 -0.494945 
0.43487 0.212728 -0.499504 
0.436874 0.195249 -0.503647 
0.438878 0.177677 -0.507376 
0.440882 0.160022 -0.51069 
0.442886 0.142295 -0.513589 
0.44489 0.124504 -0.516076 
0.446894 0.106661 -0.518149 
0.448898 0.0887744 -0.519809 
0.450902 0.0708545 -0.521057 
0.452906 0.0529106 -0.521893 
0.45491 0.0349523 -0.522317 
0.456914 0.016989 -0.522328 
0.458918 -0.000969887 -0.521928 
0.460922 -0.0189148 -0.521115 
0.462926 -0.0368363 -0.51989 
0.46493 -0.0547248 -0.518252 
0.466934 -0.0725707 -0.516201 
0.468938 -0.0903642 -0.513737 
0.470942 -0.108095 -0.510859 
0.472946 -0.125754 -0.507566 
0.47495 -0.143331 -0.503859 
0.476954 -0.160815 -0.499736 
0.478958 -0.178195 -0.495197 
0.480962 -0.195461 -0.49024 
0.482966 -0.212602 -0.484867 
0.48497 -0.229606 -0.479075 
0.486974 -0.246461 -0.472864 
0.488978 -0.263156 -0.466233 
0.490982 -0.279678 -0.459183 
0.492986 -0.296013 -0.451712 
0.49499 -0.31215 -0.44382 
0.496994 -0.328074 -0.435507 
0.498998 -0.343771 -0.426773 
0.501002 -0.359226 -0.417618 
0.503006 -0.374424 -0.408042 
0.50501 -0.38935 -0.398047 
0.507014 -0.403986 -0.387633 
0.509018 -0.418317 -0.376802 
0.511022 -0.432324 -0.365556 
0.513026 -0.445989 -0.353897 
0.51503 -0.459294 -0.341828 
0.517034 -0.472219 -0.329353 
0.519038 -0.484744 -0.316478 
0.521042 -0.496849 -0.303206 
0.523046 -0.508512 -0.289545 
0.52505 -0.519713 -0.275501 
0.527054 -0.530428 -0.261084 
0.529058 -0.540635 -0.246303 
0.531062 -0.550312 -0.23117 
0.533066 -0.559436 -0.215697 
0.53507 -0.567983 -0.199898 
0.537074 -0.575931 -0.183789 
0.539078 -0.583256 -0.167388 
0.541082 -0.589937 -0.150714 
0.543086 -0.595951 -0.133788 
0.54509 -0.601279 -0.116634 
0.547094 -0.6059 -0.0992757 
0.549098 -0.609797 -0.0817409 
0.551102 -0.612952 -0.0640577 
0.553106 -0.61535 -0.0462561 
0.55511 -0.61698 -0.0283678 
0.557114 -0.617831 -0.0104255 
0.559118 -0.617894 0.00753672 
0.561122 -0.617165 0.0254843 
0.563126 -0.615642 0.0433819 
0.56513 -0.613325 0.0611942 
0.567134 -0.610217 0.0788857 
0.569138 -0.606326 0.0964215 
0.571142 -0.601661 0.113767 
0.573146 -0.596232 0.13089 
0.57515 -0.590056 0.147757 
0.577154 -0.583149 0.164338 
0.579158 -0.575531 0.180605 
0.581162 -0.567221 0.19653 
0.583166 -0.558242 0.212087 
0.58517 -0.54862 0.227255 
0.587174 -0.538377 0.242011 
0.589178 -0.527541 0.256337 
0.591182 -0.516137 0.270215 
0.593186 -0.504192 0.28363 
0.59519 -0.491733 0.29657 
0.597194 -0.478786 0.309022 
0.599198 -0.465379 0.320976 
0.601202 -0.451538 0.332425 
0.603206 -0.437288 0.343361 
0.60521 -0.422654 0.353779 
0.607214 -0.407662 0.363673 
0.609218 -0.392336 0.373042 
0.611222 -0.376698 0.381881 
0.613226 -0.360773 0.39019 
0.61523 -0.34458 0.397967 
0.617234 -0.328143 0.405212 
0.619238 -0.311482 0.411925 
0.621242 -0.294616 0.418107 
0.623246 -0.277565 0.423759 
0.625251 -0.260348 0.428881 
0.627255 -0.242983 0.433477 
0.629259 -0.225487 0.437547 
0.631263 -0.207877 0.441093 
0.633267 -0.190171 0.444117 
0.635271 -0.172383 0.446622 
0.637275 -0.15453 0.44861 
0.639279 -0.136628 0.450082 
0.641283 -0.11869 0.451042 
0.643287 -0.100733 0.451491 
0.645291 -0.0827697 0.451432 
0.647295 -0.0648155 0.450866 
0.649299 -0.0468843 0.449796 
0.651303 -0.0289901 0.448223 
0.653307 -0.0111469 0.446151 
0.655311 0.00663122 0.443579 
0.657315 0.0243304 0.440511 
0.659319 0.0419365 0.436947 
0.661323 0.0594355 0.43289 
0.663327 0.0768132 0.428342 
0.665331 0.0940549 0.423302 
0.667335 0.111146 0.417774 
0.669339 0.128072 0.411758 
0.671343 0.144817 0.405256 
0.673347 0.161366 0.398269 
0.675351 0.177702 0.390799 
0.677355 0.193809 0.382847 
0.679359 0.20967 0.374415 
0.681363 0.225268 0.365505 
0.683367 0.240583 0.356119 
0.685371 0.255598 0.346258 
0.687375 0.270291 0.335926 
0.689379 0.284644 0.325124 
0.691383 0.298634 0.313857 
0.693387 0.312239 0.302129 
0.695391 0.325437 0.289943 
0.697395 0.338201 0.277304 
0.699399 0.350508 0.26422 
0.701403 0.362331 0.250696 
0.703407 0.373642 0.236742 
0.705411 0.384412 0.222367 
0.707415 0.394612 0.207581 
0.709419 0.404211 0.192398 
0.711423 0.413176 0.176833 
0.713427 0.421475 0.160903 
0.715431 0.429074 0.144627 
0.717435 0.435939 0.128028 
0.719439 0.442035 0.111132 
0.721443 0.447328 0.0939675 
0.723447 0.451782 0.0765667 
0.725451 0.455366 0.0589658 
0.727455 0.458046 0.0412051 
0.729459 0.459792 0.0233285 
0.731463 0.460577 0.00538404 
0.733467 0.460378 -0.0125764 
0.735471 0.459172 -0.0304973 
0.737475 0.456947 -0.0483203 
0.739479 0.453692 -0.0659841 
0.741483 0.449403 -0.0834258 
0.743487 0.444084 -0.100581 
0.745491 0.437745 -0.117387 
0.747495 0.430403 -0.133778 
0.749499 0.422081 -0.149695 
0.751503 0.412811 -0.165079 
0.753507 0.402628 -0.179875 
0.755511 0.391574 -0.194032 
0.757515 0.379697 -0.207505 
0.759519 0.367045 -0.220254 
0.761523 0.353672 -0.232244 
0.763527 0.339632 -0.243447 
0.765531 0.324981 -0.253837 
0.767535 0.309775 -0.263397 
0.769539 0.294069 -0.272113 
0.771543 0.277919 -0.279974 
0.773547 0.261378 -0.286974 
0.775551 0.244498 -0.293113 
0.777555 0.227328 -0.298388 
0.779559 0.209917 -0.302804 
0.781563 0.192312 -0.306365 
0.783567 0.174556 -0.309077 
0.785571 0.156691 -0.310947 
0.787575 0.138759 -0.311986 
0.789579 0.120798 -0.312202 
0.791583 0.102846 -0.311604 
0.793587 0.0849382 -0.310204 
0.795591 0.0671102 -0.308012 
0.797595 0.0493958 -0.305038 
0.799599 0.0318282 -0.301293 
0.801603 0.0144401 -0.296787 
0.803607 -0.00273617 -0.291532 
0.805611 -0.0196684 -0.285536 
0.807615 -0.0363244 -0.278812 
0.809619 -0.0526714 -0.271367 
0.811623 -0.0686764 -0.263213 
0.813627 -0.0843054 -0.25436 
0.815631 -0.0995233 -0.244818 
0.817635 -0.114294 -0.234597 
0.819639 -0.128579 -0.223708 
0.821643 -0.142339 -0.212162 
0.823647 -0.155531 -0.199972 
0.825651 -0.168111 -0.187151 
0.827655 -0.180031 -0.173715 
0.829659 -0.191239 -0.159678 
0.831663 -0.201679 -0.145063 
0.833667 -0.211292 -0.12989 
0.835671 -0.220013 -0.114189 
0.837675 -0.227771 -0.0979898 
0.839679 -0.234492 -0.0813339 
0.841683 -0.240092 -0.0642691 
0.843687 -0.244485 -0.0468546 
0.845691 -0.247577 -0.0291633 
0.847695 -0.24927 -0.0112845 
0.849699 -0.249466 0.00667274 
0.851703 -0.248065 0.0245756 
0.853707 -0.244977 0.0422647 
0.855711 -0.240124 0.0595521 
0.857715 -0.233452 0.0762211 
0.859719 -0.224941 0.0920298 
0.861723 -0.21462 0.106719 
0.863727 -0.202571 0.120027 
0.865731 -0.188936 0.131703 
0.867735 -0.173913 0.141531 
0.869739 -0.157749 0.149339 
0.871743 -0.140719 0.155017 
0.873747 -0.12311 0.158511 
0.875752 -0.105205 0.159823 
0.877756 -0.0872702 0.159 
0.87976 -0.0695483 0.156121 
0.881764 -0.0522561 0.151288 
0.883768 -0.0355862 0.144617 
0.885772 -0.0197104 0.136229 
0.887776 -0.00478443 0.126247 
0.88978 0.009047 0.114797 
0.891784 0.021645 0.102002 
0.893788 0.032871 0.087988 
0.895792 0.0425814 0.0728848 
0.897796 0.0506219 0.0568309 
0.8998 0.0568204 0.0399809 
0.901804 0.06098 0.0225169 
0.903808 0.0628705 0.00466642 
0.905812 0.0622202 -0.0132688 
0.907816 0.0587122 -0.0308642 
0.90982 0.051999 -0.0474932 
0.911824 0.0417749 -0.0622089 
0.913828 0.0279931 -0.073627 
0.915832 0.0113078 -0.0800325 
0.917836 -0.00655395 -0.0800972 
0.91984 -0.0233087 -0.0738667 
0.921844 -0.0372827 -0.0626807 
0.923848 -0.047813 -0.0481816 
0.925852 -0.0548716 -0.0316969 
0.927856 -0.0586765 -0.0141648 
0.92986 -0.0595022 0.00376121 
0.931864 -0.0576133 0.0216096 
0.933868 -0.0532474 0.0390205 
0.935872 -0.0466167 0.0557022 
0.937876 -0.0379142 0.0714037 
0.93988 -0.0273218 0.085898 
0.941884 -0.0150185 0.0989714 
0.943888 -0.00118858 0.110417 
0.945892 0.0139699 0.120034 
0.947896 0.0302367 0.127626 
0.9499 0.0473617 0.133007 
0.951904 0.0650581 0.13601 
0.953908 0.0829999 0.136503 
0.955912 0.100824 0.134402 
0.957916 0.118143 0.129693 
0.95992 0.13456 0.122443 
0.961924 0.149702 0.11281 
0.963928 0.163244 0.101031 
0.965932 0.17493 0.0874082 
0.967936 0.184591 0.0722802 
0.96994 0.192139 0.0559929 
0.971944 0.197557 0.0388777 
0.973948 0.200887 0.0212355 
0.975952 0.202208 0.00332929 
0.977956 0.201626 -0.0146172 
0.97996 0.19926 -0.0324173 
0.981964 0.195231 -0.0499171 
0.983968 0.189662 -0.0669901 
0.985972 0.182672 -0.0835326 
0.987976 0.174373 -0.0994593 
0.98998 0.164872 -0.1147 
0.991984 0.154267 -0.129194 
0.993988 0.142652 -0.142893 
0.995992 0.130115 -0.155754 
0.997996 0.116738 -0.167738 
