PARAMETRIC_CURVE_CARTESIAN_2D
brown_motion_main_body_path.txt
t1: 0
t2: 100
NumPoints: 100
0 500 400 
1.0101 500 400 
2.0202 500 400 
3.0303 500.015 399.975 
4.0404 500.055 399.911 
5.05051 500.147 399.826 
6.06061 500.27 399.73 
7.07071 500.394 399.633 
8.08081 500.517 399.537 
9.09091 500.64 399.44 
10.101 500.763 399.343 
11.1111 500.953 399.256 
12.1212 501.122 399.13 
13.1313 501.246 399.021 
14.1414 501.216 398.914 
15.1515 501.179 398.774 
16.1616 501.137 398.617 
17.1717 501.094 398.46 
18.1818 501.052 398.303 
19.1919 501.01 398.146 
20.202 500.968 397.989 
21.2121 500.926 397.832 
22.2222 500.884 397.675 
23.2323 500.866 397.467 
24.2424 500.852 397.251 
25.2525 500.838 397.034 
26.2626 500.824 396.817 
27.2727 500.81 396.6 
28.2828 500.787 396.347 
29.2929 500.756 396.061 
30.303 500.725 395.775 
31.3131 500.693 395.489 
32.3232 500.662 395.203 
33.3333 500.631 394.916 
34.3434 500.599 394.63 
35.3535 500.568 394.344 
36.3636 500.536 394.058 
37.3737 500.462 393.736 
38.3838 500.364 393.393 
39.3939 500.265 393.05 
40.404 500.167 392.708 
41.4141 500.068 392.365 
42.4242 499.97 392.022 
43.4343 499.871 391.68 
44.4444 499.773 391.337 
45.4545 499.674 390.994 
46.4646 499.576 390.652 
47.4747 499.477 390.309 
48.4848 499.379 389.966 
49.4949 499.28 389.624 
50.5051 499.182 389.281 
51.5152 499.083 388.938 
52.5253 498.985 388.596 
53.5354 498.886 388.253 
54.5455 498.788 387.91 
55.5556 498.689 387.545 
56.5657 498.59 387.147 
57.5758 498.492 386.748 
58.5859 498.393 386.35 
59.596 498.294 385.952 
60.6061 498.196 385.554 
61.6162 498.144 385.129 
62.6263 498.089 384.78 
63.6364 498.127 384.406 
64.6465 498.106 384.037 
65.6566 498.017 383.673 
66.6667 497.927 383.309 
67.6768 497.838 382.945 
68.6869 497.765 382.602 
69.697 497.738 382.315 
70.7071 497.695 382 
71.7172 497.639 381.663 
72.7273 497.534 381.403 
73.7374 497.426 381.149 
74.7475 497.317 380.895 
75.7576 497.209 380.641 
76.7677 497.1 380.387 
77.7778 496.992 380.133 
78.7879 496.862 379.905 
79.798 496.708 379.705 
80.8081 496.546 379.511 
81.8182 496.321 379.362 
82.8283 496.072 379.235 
83.8384 495.78 379.068 
84.8485 495.478 378.88 
85.8586 495.176 378.692 
86.8687 494.873 378.504 
87.8788 494.571 378.316 
88.8889 494.269 378.128 
89.899 493.967 377.94 
90.9091 493.652 377.746 
91.9192 493.3 377.531 
92.9293 492.947 377.316 
93.9394 492.595 377.102 
94.9495 492.242 376.887 
95.9596 491.889 376.672 
96.9697 491.537 376.457 
97.9798 491.184 376.243 
98.9899 490.78 376.014 
100 490.322 375.772 
