PARAMETRIC_CURVE_CARTESIAN_2D
brown_motion_main_body_path.txt
t1: 0
t2: 100
NumPoints: 100
0 500 400 
1.0101 500 400 
2.0202 500 400 
3.0303 500 400 
4.0404 500 400 
5.05051 500 400 
6.06061 500 400 
7.07071 500 400 
8.08081 500 400 
9.09091 500 400 
10.101 500 400 
11.1111 500.006 399.945 
12.1212 500.013 399.919 
13.1313 500.02 399.9 
14.1414 500.028 399.882 
15.1515 500.035 399.863 
16.1616 500.043 399.844 
17.1717 500.05 399.826 
18.1818 500.058 399.807 
19.1919 500.065 399.788 
20.202 500.073 399.769 
21.2121 500.08 399.751 
22.2222 500.088 399.732 
23.2323 500.095 399.713 
24.2424 500.102 399.695 
25.2525 500.1 399.69 
26.2626 500.084 399.702 
27.2727 500.069 399.714 
28.2828 500.054 399.726 
29.2929 500.039 399.738 
30.303 500.079 399.667 
31.3131 500.132 399.58 
32.3232 500.184 399.492 
33.3333 500.237 399.405 
34.3434 500.289 399.317 
35.3535 500.342 399.23 
36.3636 500.394 399.142 
37.3737 500.447 399.055 
38.3838 500.499 398.967 
39.3939 500.546 398.807 
40.404 500.553 398.633 
41.4141 500.494 398.48 
42.4242 500.434 398.326 
43.4343 500.374 398.173 
44.4444 500.315 398.02 
45.4545 500.255 397.866 
46.4646 500.195 397.713 
47.4747 500.131 397.537 
48.4848 500.045 397.261 
49.4949 499.959 396.985 
50.5051 499.874 396.709 
51.5152 499.788 396.432 
52.5253 499.702 396.156 
53.5354 499.634 395.873 
54.5455 499.583 395.511 
55.5556 499.532 395.148 
56.5657 499.481 394.786 
57.5758 499.38 394.459 
58.5859 499.268 394.139 
59.596 499.157 393.819 
60.6061 499.046 393.5 
61.6162 498.938 393.179 
62.6263 498.9 392.843 
63.6364 498.863 392.507 
64.6465 498.871 392.14 
65.6566 498.908 391.754 
66.6667 498.944 391.369 
67.6768 498.981 390.983 
68.6869 499.017 390.597 
69.697 499.054 390.212 
70.7071 499.111 389.912 
71.7172 499.178 389.651 
72.7273 499.246 389.391 
73.7374 499.313 389.131 
74.7475 499.38 388.871 
75.7576 499.44 388.639 
76.7677 499.484 388.467 
77.7778 499.528 388.296 
78.7879 499.572 388.124 
79.798 499.616 387.953 
80.8081 499.66 387.782 
81.8182 499.704 387.61 
82.8283 499.748 387.439 
83.8384 499.792 387.267 
84.8485 499.836 387.096 
85.8586 499.88 386.924 
86.8687 499.924 386.753 
87.8788 499.968 386.582 
88.8889 499.998 386.454 
89.899 500.027 386.33 
90.9091 500.056 386.205 
91.9192 500.086 386.081 
92.9293 500.115 385.956 
93.9394 500.144 385.831 
94.9495 500.173 385.707 
95.9596 500.203 385.582 
96.9697 500.232 385.457 
97.9798 500.261 385.333 
98.9899 500.29 385.208 
100 500.32 385.083 
