PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 10
NumPoints: 101
0 1 0 
0.1 0.985104 0.0988401 
0.2 0.96066 0.194735 
0.3 0.927102 0.286786 
0.4 0.884946 0.374149 
0.5 0.834782 0.456044 
0.6 0.777272 0.53176 
0.7 0.713134 0.600665 
0.8 0.643141 0.662203 
0.9 0.568109 0.715907 
1 0.488886 0.761394 
1.1 0.406347 0.798374 
1.2 0.321382 0.826645 
1.3 0.234889 0.846096 
1.4 0.147762 0.856709 
1.5 0.0608841 0.858552 
1.6 -0.0248822 0.85178 
1.7 -0.108702 0.836633 
1.8 -0.189775 0.813426 
1.9 -0.267347 0.782552 
2 -0.340712 0.74447 
2.1 -0.40922 0.699704 
2.2 -0.472283 0.648834 
2.3 -0.529379 0.592488 
2.4 -0.580054 0.531338 
2.5 -0.623931 0.466091 
2.6 -0.660705 0.397478 
2.7 -0.69015 0.326253 
2.8 -0.712116 0.253179 
2.9 -0.726533 0.179022 
3 -0.733404 0.104544 
3.1 -0.732813 0.0304972 
3.2 -0.724911 -0.0423883 
3.3 -0.709923 -0.113407 
3.4 -0.688138 -0.181887 
3.5 -0.65991 -0.247193 
3.6 -0.625647 -0.308736 
3.7 -0.585812 -0.365976 
3.8 -0.540912 -0.418426 
3.9 -0.491497 -0.465657 
4 -0.43815 -0.5073 
4.1 -0.381482 -0.54305 
4.2 -0.322124 -0.572666 
4.3 -0.260724 -0.595974 
4.4 -0.197934 -0.612866 
4.5 -0.134409 -0.623301 
4.6 -0.0708001 -0.627301 
4.7 -0.00774294 -0.624954 
4.8 0.0541429 -0.61641 
4.9 0.114262 -0.601876 
5 0.17205 -0.581617 
5.1 0.226974 -0.555948 
5.2 0.278543 -0.525232 
5.3 0.326307 -0.489877 
5.4 0.369866 -0.450327 
5.5 0.408867 -0.407061 
5.6 0.44301 -0.360585 
5.7 0.472051 -0.311427 
5.8 0.495801 -0.26013 
5.9 0.514127 -0.20725 
6 0.526953 -0.153346 
6.1 0.53426 -0.0989782 
6.2 0.536084 -0.0446975 
6.3 0.532517 0.00895495 
6.4 0.523699 0.0614555 
6.5 0.509823 0.112302 
6.6 0.491129 0.161021 
6.7 0.467898 0.207165 
6.8 0.440452 0.250326 
6.9 0.409148 0.290132 
7 0.374377 0.32625 
7.1 0.336553 0.358393 
7.2 0.296116 0.38632 
7.3 0.253521 0.409833 
7.4 0.209237 0.428786 
7.5 0.163739 0.44308 
7.6 0.117506 0.452664 
7.7 0.0710141 0.457535 
7.8 0.0247335 0.457738 
7.9 -0.0208778 0.453364 
8 -0.0653774 0.444547 
8.1 -0.108343 0.431463 
8.2 -0.149375 0.414328 
8.3 -0.188102 0.393391 
8.4 -0.224182 0.368939 
8.5 -0.257309 0.341285 
8.6 -0.287209 0.310769 
8.7 -0.313647 0.277752 
8.8 -0.336428 0.242614 
8.9 -0.355396 0.205747 
9 -0.370438 0.167555 
9.1 -0.381481 0.128445 
9.2 -0.388494 0.0888259 
9.3 -0.391486 0.049104 
9.4 -0.390508 0.00967797 
9.5 -0.385647 -0.029064 
9.6 -0.37703 -0.0667485 
9.7 -0.364816 -0.10302 
9.8 -0.349199 -0.137544 
9.9 -0.330403 -0.17001 
10 -0.308677 -0.200134 
