PARAMETRIC_CURVE_CARTESIAN_2D
Damped Forced Harmonic Oscilator - phase space trajectory
t1: 0
t2: 1
NumPoints: 1001
0 0.264663 0.0527681 
0.001 0.270762 0.048034 
0.002 0.276374 0.0427328 
0.003 0.281321 0.0368076 
0.004 0.285434 0.0302772 
0.005 0.2886 0.0232391 
0.006 0.290792 0.0158385 
0.007 0.292057 0.0082234 
0.008 0.292487 0.000514998 
0.009 0.292189 -0.00720043 
0.01 0.291262 -0.0148665 
0.011 0.289796 -0.0224482 
0.012 0.287864 -0.0299251 
0.013 0.285526 -0.0372855 
0.014 0.282833 -0.0445233 
0.015 0.279824 -0.051636 
0.016 0.276533 -0.0586229 
0.017 0.272989 -0.0654848 
0.018 0.269215 -0.0722229 
0.019 0.26523 -0.0788389 
0.02 0.261053 -0.0853348 
0.021 0.256696 -0.0917123 
0.022 0.252174 -0.0979733 
0.023 0.247498 -0.10412 
0.024 0.242676 -0.110153 
0.025 0.237719 -0.116075 
0.026 0.232632 -0.121887 
0.027 0.227424 -0.127591 
0.028 0.222101 -0.133186 
0.029 0.216668 -0.138676 
0.03 0.211131 -0.14406 
0.031 0.205494 -0.14934 
0.032 0.199762 -0.154515 
0.033 0.193938 -0.159588 
0.034 0.188026 -0.164558 
0.035 0.18203 -0.169427 
0.036 0.175953 -0.174193 
0.037 0.169798 -0.178859 
0.038 0.163568 -0.183423 
0.039 0.157265 -0.187887 
0.04 0.150892 -0.19225 
0.041 0.144452 -0.196513 
0.042 0.137946 -0.200675 
0.043 0.131377 -0.204737 
0.044 0.124747 -0.208698 
0.045 0.118058 -0.212559 
0.046 0.111311 -0.216319 
0.047 0.104509 -0.219978 
0.048 0.097654 -0.223535 
0.049 0.0907469 -0.226991 
0.05 0.0837896 -0.230344 
0.051 0.076784 -0.233596 
0.052 0.0697314 -0.236744 
0.053 0.0626337 -0.239789 
0.054 0.0554923 -0.242731 
0.055 0.0483088 -0.245568 
0.056 0.0410847 -0.2483 
0.057 0.0338216 -0.250926 
0.058 0.0265208 -0.253446 
0.059 0.019184 -0.255859 
0.06 0.0118126 -0.258164 
0.061 0.00440814 -0.26036 
0.062 -0.00302791 -0.262448 
0.063 -0.010494 -0.264424 
0.064 -0.0179887 -0.26629 
0.065 -0.0255104 -0.268044 
0.066 -0.0330576 -0.269684 
0.067 -0.0406286 -0.271211 
0.068 -0.048222 -0.272622 
0.069 -0.055836 -0.273917 
0.07 -0.063469 -0.275095 
0.071 -0.0711194 -0.276155 
0.072 -0.0787854 -0.277095 
0.073 -0.0864653 -0.277914 
0.074 -0.0941572 -0.278611 
0.075 -0.101859 -0.279185 
0.076 -0.10957 -0.279634 
0.077 -0.117286 -0.279957 
0.078 -0.125007 -0.280153 
0.079 -0.13273 -0.28022 
0.08 -0.140453 -0.280157 
0.081 -0.148174 -0.279963 
0.082 -0.155891 -0.279636 
0.083 -0.1636 -0.279174 
0.084 -0.171301 -0.278576 
0.085 -0.178989 -0.27784 
0.086 -0.186663 -0.276966 
0.087 -0.194319 -0.275951 
0.088 -0.201955 -0.274794 
0.089 -0.209569 -0.273493 
0.09 -0.217155 -0.272047 
0.091 -0.224713 -0.270455 
0.092 -0.232238 -0.268714 
0.093 -0.239726 -0.266824 
0.094 -0.247175 -0.264782 
0.095 -0.25458 -0.262588 
0.096 -0.261938 -0.26024 
0.097 -0.269244 -0.257736 
0.098 -0.276495 -0.255076 
0.099 -0.283686 -0.252259 
0.1 -0.290813 -0.249282 
0.101 -0.297871 -0.246146 
0.102 -0.304855 -0.242849 
0.103 -0.311761 -0.239391 
0.104 -0.318584 -0.23577 
0.105 -0.325317 -0.231987 
0.106 -0.331957 -0.228042 
0.107 -0.338497 -0.223933 
0.108 -0.344932 -0.219662 
0.109 -0.351256 -0.215228 
0.11 -0.357463 -0.210633 
0.111 -0.363548 -0.205876 
0.112 -0.369505 -0.20096 
0.113 -0.375327 -0.195885 
0.114 -0.381008 -0.190653 
0.115 -0.386544 -0.185267 
0.116 -0.391926 -0.179728 
0.117 -0.39715 -0.17404 
0.118 -0.40221 -0.168205 
0.119 -0.4071 -0.162226 
0.12 -0.411814 -0.156108 
