PARAMETRIC_CURVE_CARTESIAN_2D
Damped forced pendulum - phase space trajectory
t1: 0
t2: 1
NumPoints: 1000
0 0.2 0 
0.001001 0.200036 0.00844027 
0.002002 0.200143 0.01688 
0.003003 0.200324 0.0253183 
0.004004 0.20058 0.0337548 
0.00500501 0.200913 0.0421886 
0.00600601 0.201327 0.0506188 
0.00700701 0.201824 0.0590445 
0.00800801 0.202409 0.0674646 
0.00900901 0.203087 0.0758777 
0.01001 0.203867 0.084282 
0.011011 0.204756 0.0926756 
0.012012 0.205765 0.101056 
0.013013 0.206909 0.109418 
0.014014 0.208207 0.117758 
0.015015 0.209685 0.126068 
0.016016 0.21138 0.134338 
0.017017 0.21335 0.142545 
0.018018 0.215686 0.150654 
0.019019 0.218561 0.158603 
0.02002 0.222367 0.166105 
0.021021 0.228369 0.171957 
0.022022 0.235993 0.169479 
0.023023 0.240545 0.162336 
0.024024 0.243695 0.154517 
0.025025 0.246161 0.146428 
0.026026 0.248181 0.138235 
0.027027 0.24989 0.129972 
0.028028 0.25136 0.121658 
0.029029 0.252636 0.113313 
0.03003 0.253751 0.104946 
0.031031 0.254725 0.0965622 
0.032032 0.255578 0.0881649 
0.033033 0.256321 0.0797569 
0.034034 0.256965 0.0713407 
0.035035 0.257519 0.0629182 
0.036036 0.257989 0.0544907 
0.037037 0.25838 0.0460592 
0.038038 0.258698 0.0376246 
0.039039 0.258946 0.0291878 
0.04004 0.259127 0.0207493 
0.041041 0.259245 0.0123097 
0.042042 0.259302 0.00386953 
0.043043 0.259299 -0.00457086 
0.044044 0.25924 -0.013011 
0.045045 0.259124 -0.0214506 
0.046046 0.258954 -0.0298893 
0.047047 0.258731 -0.0383267 
0.048048 0.258456 -0.0467626 
0.049049 0.258128 -0.0551966 
0.0500501 0.25775 -0.0636285 
0.0510511 0.257321 -0.072058 
0.0520521 0.256842 -0.0804848 
0.0530531 0.256313 -0.0889086 
0.0540541 0.255735 -0.0973291 
0.0550551 0.255106 -0.105746 
0.0560561 0.254428 -0.114159 
0.0570571 0.253699 -0.122568 
0.0580581 0.252921 -0.130973 
0.0590591 0.252091 -0.139372 
0.0600601 0.251211 -0.147766 
0.0610611 0.250278 -0.156155 
0.0620621 0.249293 -0.164538 
0.0630631 0.248255 -0.172914 
0.0640641 0.247163 -0.181284 
0.0650651 0.246015 -0.189646 
0.0660661 0.244811 -0.198 
0.0670671 0.243549 -0.206346 
0.0680681 0.242227 -0.214682 
0.0690691 0.240845 -0.223009 
0.0700701 0.239399 -0.231325 
0.0710711 0.237888 -0.239629 
0.0720721 0.236311 -0.247921 
0.0730731 0.234663 -0.256199 
0.0740741 0.232943 -0.264462 
0.0750751 0.231146 -0.27271 
0.0760761 0.229271 -0.280939 
0.0770771 0.227312 -0.28915 
0.0780781 0.225264 -0.297338 
0.0790791 0.223125 -0.305503 
0.0800801 0.220886 -0.313642 
0.0810811 0.218542 -0.321751 
0.0820821 0.216085 -0.329827 
0.0830831 0.213508 -0.337865 
0.0840841 0.210799 -0.34586 
0.0850851 0.207948 -0.353805 
0.0860861 0.204941 -0.361693 
0.0870871 0.201762 -0.369514 
0.0880881 0.19839 -0.377253 
0.0890891 0.194805 -0.384897 
0.0900901 0.190976 -0.392421 
0.0910911 0.186867 -0.399797 
0.0920921 0.182436 -0.406986 
0.0930931 0.177623 -0.413924 
0.0940941 0.172361 -0.420533 
0.0950951 0.166557 -0.42667 
