PARAMETRIC_CURVE_CARTESIAN_2D
Damped forced pendulum - phase space trajectories
t1: 0
t2: 1
NumPoints: 1000
0 0.2 0 
0.001001 0.199934 -0.0138121 
0.002002 0.199736 -0.0276229 
0.003003 0.199406 -0.0414311 
0.004004 0.198944 -0.0552355 
0.00500501 0.198348 -0.0690349 
0.00600601 0.19762 -0.0828279 
0.00700701 0.196757 -0.0966132 
0.00800801 0.195761 -0.110389 
0.00900901 0.19463 -0.124155 
0.01001 0.193364 -0.137909 
0.011011 0.191962 -0.15165 
0.012012 0.190424 -0.165377 
0.013013 0.188749 -0.179087 
0.014014 0.186936 -0.19278 
0.015015 0.184984 -0.206454 
0.016016 0.182893 -0.220107 
0.017017 0.18066 -0.233737 
0.018018 0.178284 -0.247344 
0.019019 0.175765 -0.260924 
0.02002 0.1731 -0.274477 
0.021021 0.170287 -0.288 
0.022022 0.167325 -0.301491 
0.023023 0.16421 -0.314948 
0.024024 0.16094 -0.328368 
0.025025 0.157512 -0.341748 
0.026026 0.153923 -0.355086 
0.027027 0.150167 -0.368378 
0.028028 0.146242 -0.381621 
0.029029 0.142141 -0.394811 
0.03003 0.137859 -0.407943 
0.031031 0.13339 -0.421013 
0.032032 0.128726 -0.434014 
0.033033 0.12386 -0.446941 
0.034034 0.11878 -0.459786 
0.035035 0.113477 -0.47254 
0.036036 0.107938 -0.485194 
0.037037 0.102149 -0.497735 
0.038038 0.0960928 -0.510149 
0.039039 0.0897512 -0.522421 
0.04004 0.0831014 -0.534528 
0.041041 0.0761175 -0.546445 
0.042042 0.0687689 -0.558142 
0.043043 0.0610193 -0.569576 
0.044044 0.0528264 -0.580697 
0.045045 0.0441395 -0.591438 
0.046046 0.0349 -0.601706 
0.047047 0.0250405 -0.61138 
0.048048 0.0144877 -0.620293 
0.049049 0.00317131 -0.628212 
0.0500501 -0.00895222 -0.634821 
0.0510511 -0.0218603 -0.639717 
0.0520521 -0.0353921 -0.642446 
0.0530531 -0.0491956 -0.64263 
0.0540541 -0.0627785 -0.640153 
0.0550551 -0.0756857 -0.635241 
0.0560561 -0.0876486 -0.628333 
0.0570571 -0.0985938 -0.619902 
0.0580581 -0.108568 -0.610341 
0.0590591 -0.117667 -0.599945 
0.0600601 -0.125995 -0.588921 
0.0610611 -0.13365 -0.57742 
0.0620621 -0.140717 -0.56555 
0.0630631 -0.147264 -0.553385 
0.0640641 -0.153354 -0.540985 
0.0650651 -0.159035 -0.528392 
0.0660661 -0.164348 -0.515641 
0.0670671 -0.16933 -0.502757 
0.0680681 -0.174008 -0.489759 
0.0690691 -0.178412 -0.476666 
0.0700701 -0.18256 -0.46349 
0.0710711 -0.186472 -0.450242 
0.0720721 -0.190166 -0.436932 
0.0730731 -0.193656 -0.423567 
0.0740741 -0.196954 -0.410154 
0.0750751 -0.200073 -0.396697 
0.0760761 -0.203021 -0.383203 
0.0770771 -0.205808 -0.369674 
0.0780781 -0.208443 -0.356115 
0.0790791 -0.210932 -0.342528 
0.0800801 -0.213282 -0.328917 
0.0810811 -0.2155 -0.315283 
