PARAMETRIC_CURVE_CARTESIAN_2D
Damped Harmonic Oscilator - phase space trajectory
t1: 0
t2: 1
NumPoints: 1001
0 0.5 0 
0.001 0.499999 -0.000823785 
0.002 0.499995 -0.00164757 
0.003 0.499988 -0.00247134 
0.004 0.499978 -0.0032951 
0.005 0.499966 -0.00411882 
0.006 0.499951 -0.0049425 
0.007 0.499933 -0.00576612 
0.008 0.499912 -0.00658967 
0.009 0.499888 -0.00741315 
0.01 0.499862 -0.00823655 
0.011 0.499833 -0.00905984 
0.012 0.4998 -0.00988302 
0.013 0.499765 -0.0107061 
0.014 0.499727 -0.011529 
0.015 0.499686 -0.0123518 
0.016 0.499643 -0.0131745 
0.017 0.499596 -0.0139969 
0.018 0.499546 -0.0148192 
0.019 0.499493 -0.0156414 
0.02 0.499438 -0.0164633 
0.021 0.499379 -0.017285 
0.022 0.499317 -0.0181065 
0.023 0.499253 -0.0189278 
0.024 0.499185 -0.0197488 
0.025 0.499114 -0.0205695 
0.026 0.49904 -0.02139 
0.027 0.498963 -0.0222102 
0.028 0.498883 -0.0230301 
0.029 0.498799 -0.0238497 
0.03 0.498713 -0.024669 
0.031 0.498623 -0.0254879 
0.032 0.498531 -0.0263065 
0.033 0.498435 -0.0271247 
0.034 0.498336 -0.0279425 
0.035 0.498233 -0.02876 
0.036 0.498128 -0.029577 
0.037 0.498019 -0.0303936 
0.038 0.497907 -0.0312097 
0.039 0.497792 -0.0320254 
0.04 0.497673 -0.0328407 
0.041 0.497551 -0.0336554 
0.042 0.497426 -0.0344697 
0.043 0.497297 -0.0352834 
0.044 0.497165 -0.0360966 
0.045 0.49703 -0.0369092 
0.046 0.496892 -0.0377213 
0.047 0.49675 -0.0385328 
0.048 0.496604 -0.0393437 
0.049 0.496455 -0.0401539 
0.05 0.496303 -0.0409636 
0.051 0.496148 -0.0417725 
0.052 0.495988 -0.0425808 
0.053 0.495826 -0.0433885 
0.054 0.49566 -0.0441954 
0.055 0.49549 -0.0450016 
0.056 0.495317 -0.045807 
0.057 0.495141 -0.0466117 
0.058 0.494961 -0.0474156 
0.059 0.494777 -0.0482187 
0.06 0.49459 -0.049021 
0.061 0.494399 -0.0498224 
0.062 0.494205 -0.050623 
0.063 0.494007 -0.0514227 
0.064 0.493806 -0.0522215 
0.065 0.493601 -0.0530194 
0.066 0.493392 -0.0538164 
0.067 0.49318 -0.0546124 
0.068 0.492964 -0.0554074 
0.069 0.492744 -0.0562014 
0.07 0.492521 -0.0569944 
0.071 0.492294 -0.0577863 
0.072 0.492063 -0.0585772 
0.073 0.491829 -0.059367 
0.074 0.491591 -0.0601557 
0.075 0.491349 -0.0609433 
0.076 0.491104 -0.0617297 
0.077 0.490855 -0.0625149 
0.078 0.490602 -0.063299 
0.079 0.490345 -0.0640818 
0.08 0.490085 -0.0648634 
0.081 0.489821 -0.0656437 
0.082 0.489553 -0.0664228 
0.083 0.489281 -0.0672005 
