PARAMETRIC_CURVE_CARTESIAN_2D
Damped Harmonic Oscilator - phase space trajectory
t1: 0
t2: 1
NumPoints: 1001
0 0.5 0 
0.001 0.499998 -0.000739891 
0.002 0.499991 -0.00147977 
0.003 0.499979 -0.0022196 
0.004 0.499962 -0.00295935 
0.005 0.49994 -0.00369898 
0.006 0.499914 -0.00443845 
0.007 0.499882 -0.00517773 
0.008 0.499846 -0.00591677 
0.009 0.499804 -0.00665555 
0.01 0.499758 -0.00739402 
0.011 0.499706 -0.00813216 
0.012 0.49965 -0.00886992 
0.013 0.499588 -0.00960728 
0.014 0.499521 -0.0103442 
0.015 0.499449 -0.0110806 
0.016 0.499372 -0.0118165 
0.017 0.49929 -0.0125519 
0.018 0.499202 -0.0132866 
0.019 0.49911 -0.0140207 
0.02 0.499011 -0.0147541 
0.021 0.498908 -0.0154868 
0.022 0.498799 -0.0162187 
0.023 0.498685 -0.0169498 
0.024 0.498566 -0.01768 
0.025 0.498441 -0.0184093 
0.026 0.498311 -0.0191377 
0.027 0.498175 -0.0198651 
0.028 0.498034 -0.0205915 
0.029 0.497888 -0.0213168 
0.03 0.497736 -0.0220409 
0.031 0.497578 -0.0227639 
0.032 0.497415 -0.0234857 
0.033 0.497247 -0.0242062 
0.034 0.497073 -0.0249254 
0.035 0.496893 -0.0256433 
0.036 0.496708 -0.0263597 
0.037 0.496518 -0.0270747 
0.038 0.496322 -0.0277882 
0.039 0.49612 -0.0285002 
0.04 0.495913 -0.0292105 
0.041 0.495701 -0.0299193 
0.042 0.495482 -0.0306263 
0.043 0.495259 -0.0313316 
0.044 0.49503 -0.0320352 
0.045 0.494795 -0.0327369 
0.046 0.494554 -0.0334367 
0.047 0.494309 -0.0341346 
0.048 0.494057 -0.0348306 
0.049 0.493801 -0.0355246 
0.05 0.493538 -0.0362164 
0.051 0.493271 -0.0369062 
0.052 0.492997 -0.0375939 
0.053 0.492719 -0.0382793 
0.054 0.492435 -0.0389625 
0.055 0.492145 -0.0396435 
0.056 0.49185 -0.0403221 
0.057 0.49155 -0.0409984 
0.058 0.491244 -0.0416722 
0.059 0.490933 -0.0423436 
0.06 0.490617 -0.0430125 
0.061 0.490295 -0.0436789 
0.062 0.489968 -0.0443427 
0.063 0.489636 -0.0450039 
0.064 0.489299 -0.0456625 
0.065 0.488956 -0.0463184 
0.066 0.488609 -0.0469716 
0.067 0.488256 -0.047622 
0.068 0.487898 -0.0482696 
0.069 0.487535 -0.0489144 
0.07 0.487167 -0.0495563 
0.071 0.486794 -0.0501954 
0.072 0.486416 -0.0508315 
0.073 0.486033 -0.0514647 
0.074 0.485645 -0.0520949 
0.075 0.485253 -0.0527221 
0.076 0.484855 -0.0533463 
0.077 0.484453 -0.0539673 
0.078 0.484046 -0.0545853 
0.079 0.483635 -0.0552002 
0.08 0.483218 -0.055812 
0.081 0.482798 -0.0564205 
0.082 0.482372 -0.0570259 
0.083 0.481942 -0.0576281 
0.084 0.481508 -0.0582271 
0.085 0.481069 -0.0588228 
0.086 0.480626 -0.0594152 
0.087 0.480178 -0.0600044 
0.088 0.479726 -0.0605902 
0.089 0.47927 -0.0611728 
0.09 0.478809 -0.061752 
0.091 0.478345 -0.0623279 
0.092 0.477876 -0.0629004 
0.093 0.477403 -0.0634695 
0.094 0.476926 -0.0640353 
0.095 0.476445 -0.0645977 
0.096 0.475961 -0.0651566 
0.097 0.475472 -0.0657122 
0.098 0.474979 -0.0662644 
0.099 0.474483 -0.0668131 
0.1 0.473983 -0.0673584 
0.101 0.473479 -0.0679003 
0.102 0.472972 -0.0684387 
0.103 0.47246 -0.0689737 
0.104 0.471946 -0.0695053 
0.105 0.471428 -0.0700334 
0.106 0.470906 -0.0705581 
0.107 0.470381 -0.0710793 
0.108 0.469852 -0.0715971 
0.109 0.46932 -0.0721114 
0.11 0.468785 -0.0726223 
0.111 0.468246 -0.0731298 
0.112 0.467705 -0.0736338 
0.113 0.46716 -0.0741344 
0.114 0.466612 -0.0746315 
0.115 0.466061 -0.0751252 
0.116 0.465507 -0.0756155 
0.117 0.464949 -0.0761024 
0.118 0.464389 -0.0765859 
0.119 0.463826 -0.077066 
0.12 0.46326 -0.0775427 
0.121 0.462692 -0.078016 
0.122 0.46212 -0.0784859 
0.123 0.461546 -0.0789524 
0.124 0.460969 -0.0794156 
0.125 0.460389 -0.0798755 
0.126 0.459807 -0.0803319 
0.127 0.459222 -0.0807851 
0.128 0.458635 -0.081235 
0.129 0.458045 -0.0816815 
0.13 0.457452 -0.0821247 
0.131 0.456857 -0.0825647 
0.132 0.45626 -0.0830014 
0.133 0.45566 -0.0834348 
0.134 0.455058 -0.083865 
0.135 0.454454 -0.0842919 
0.136 0.453847 -0.0847156 
0.137 0.453239 -0.0851361 
0.138 0.452628 -0.0855534 
0.139 0.452015 -0.0859676 
0.14 0.451399 -0.0863785 
0.141 0.450782 -0.0867863 
0.142 0.450162 -0.087191 
0.143 0.449541 -0.0875925 
0.144 0.448918 -0.0879909 
0.145 0.448292 -0.0883863 
0.146 0.447665 -0.0887785 
0.147 0.447035 -0.0891677 
0.148 0.446404 -0.0895538 
0.149 0.445771 -0.0899369 
0.15 0.445136 -0.090317 
0.151 0.4445 -0.090694 
0.152 0.443862 -0.0910681 
0.153 0.443221 -0.0914392 
0.154 0.44258 -0.0918074 
0.155 0.441936 -0.0921725 
0.156 0.441291 -0.0925348 
0.157 0.440644 -0.0928942 
0.158 0.439996 -0.0932506 
0.159 0.439346 -0.0936042 
0.16 0.438694 -0.093955 
0.161 0.438041 -0.0943028 
0.162 0.437387 -0.0946479 
0.163 0.436731 -0.0949901 
0.164 0.436073 -0.0953295 
0.165 0.435415 -0.0956662 
0.166 0.434754 -0.096 
0.167 0.434093 -0.0963311 
0.168 0.43343 -0.0966595 
0.169 0.432765 -0.0969852 
0.17 0.4321 -0.0973081 
0.171 0.431433 -0.0976284 
0.172 0.430764 -0.097946 
0.173 0.430095 -0.0982609 
0.174 0.429424 -0.0985732 
0.175 0.428752 -0.0988829 
0.176 0.428079 -0.09919 
0.177 0.427405 -0.0994944 
0.178 0.426729 -0.0997963 
0.179 0.426052 -0.100096 
0.18 0.425375 -0.100392 
0.181 0.424696 -0.100687 
0.182 0.424016 -0.100978 
0.183 0.423335 -0.101267 
0.184 0.422653 -0.101554 
0.185 0.42197 -0.101838 
0.186 0.421285 -0.10212 
0.187 0.4206 -0.1024 
0.188 0.419914 -0.102676 
0.189 0.419227 -0.102951 
0.19 0.418539 -0.103223 
0.191 0.41785 -0.103493 
0.192 0.41716 -0.10376 
0.193 0.416469 -0.104025 
0.194 0.415778 -0.104288 
0.195 0.415085 -0.104548 
0.196 0.414392 -0.104806 
0.197 0.413697 -0.105062 
0.198 0.413002 -0.105315 
0.199 0.412306 -0.105566 
0.2 0.411609 -0.105815 
0.201 0.410912 -0.106062 
0.202 0.410214 -0.106306 
0.203 0.409514 -0.106548 
0.204 0.408815 -0.106788 
0.205 0.408114 -0.107026 
0.206 0.407413 -0.107262 
0.207 0.40671 -0.107495 
0.208 0.406008 -0.107726 
0.209 0.405304 -0.107955 
0.21 0.4046 -0.108182 
0.211 0.403895 -0.108407 
0.212 0.403189 -0.10863 
0.213 0.402483 -0.108851 
0.214 0.401776 -0.109069 
0.215 0.401069 -0.109286 
0.216 0.400361 -0.1095 
0.217 0.399652 -0.109713 
0.218 0.398943 -0.109923 
0.219 0.398233 -0.110132 
0.22 0.397522 -0.110338 
0.221 0.396811 -0.110542 
0.222 0.3961 -0.110745 
0.223 0.395387 -0.110945 
0.224 0.394675 -0.111144 
0.225 0.393961 -0.11134 
0.226 0.393247 -0.111535 
0.227 0.392533 -0.111727 
0.228 0.391818 -0.111918 
0.229 0.391103 -0.112107 
0.23 0.390387 -0.112294 
0.231 0.389671 -0.112479 
0.232 0.388954 -0.112662 
0.233 0.388237 -0.112844 
0.234 0.387519 -0.113023 
0.235 0.386801 -0.113201 
0.236 0.386082 -0.113377 
0.237 0.385363 -0.113551 
0.238 0.384643 -0.113723 
0.239 0.383923 -0.113893 
0.24 0.383203 -0.114062 
0.241 0.382482 -0.114229 
0.242 0.381761 -0.114394 
0.243 0.381039 -0.114557 
0.244 0.380317 -0.114719 
0.245 0.379595 -0.114878 
0.246 0.378872 -0.115037 
0.247 0.378149 -0.115193 
0.248 0.377425 -0.115348 
0.249 0.376701 -0.1155 
0.25 0.375977 -0.115652 
0.251 0.375252 -0.115801 
0.252 0.374527 -0.115949 
0.253 0.373802 -0.116095 
0.254 0.373076 -0.11624 
0.255 0.372351 -0.116383 
0.256 0.371624 -0.116524 
0.257 0.370898 -0.116664 
0.258 0.370171 -0.116802 
0.259 0.369444 -0.116938 
0.26 0.368716 -0.117073 
0.261 0.367988 -0.117206 
0.262 0.36726 -0.117338 
0.263 0.366532 -0.117468 
0.264 0.365803 -0.117596 
0.265 0.365074 -0.117723 
0.266 0.364345 -0.117849 
0.267 0.363616 -0.117972 
0.268 0.362886 -0.118095 
0.269 0.362156 -0.118215 
0.27 0.361426 -0.118334 
0.271 0.360695 -0.118452 
0.272 0.359965 -0.118568 
0.273 0.359234 -0.118683 
0.274 0.358503 -0.118796 
0.275 0.357771 -0.118908 
0.276 0.35704 -0.119018 
0.277 0.356308 -0.119127 
0.278 0.355576 -0.119234 
0.279 0.354843 -0.11934 
0.28 0.354111 -0.119444 
0.281 0.353378 -0.119547 
0.282 0.352645 -0.119648 
0.283 0.351912 -0.119748 
0.284 0.351179 -0.119847 
0.285 0.350445 -0.119944 
0.286 0.349712 -0.12004 
0.287 0.348978 -0.120134 
0.288 0.348244 -0.120227 
0.289 0.34751 -0.120319 
0.29 0.346775 -0.120409 
0.291 0.346041 -0.120498 
0.292 0.345306 -0.120585 
0.293 0.344571 -0.120671 
0.294 0.343836 -0.120756 
0.295 0.343101 -0.120839 
0.296 0.342366 -0.120921 
0.297 0.34163 -0.121002 
0.298 0.340895 -0.121081 
0.299 0.340159 -0.121159 
0.3 0.339423 -0.121236 
0.301 0.338687 -0.121311 
0.302 0.337951 -0.121385 
0.303 0.337215 -0.121458 
0.304 0.336478 -0.12153 
0.305 0.335742 -0.1216 
0.306 0.335005 -0.121669 
0.307 0.334268 -0.121736 
0.308 0.333531 -0.121802 
0.309 0.332794 -0.121867 
0.31 0.332057 -0.121931 
0.311 0.33132 -0.121994 
0.312 0.330583 -0.122055 
0.313 0.329845 -0.122115 
0.314 0.329108 -0.122174 
0.315 0.32837 -0.122231 
0.316 0.327632 -0.122287 
0.317 0.326894 -0.122342 
0.318 0.326157 -0.122396 
0.319 0.325419 -0.122449 
0.32 0.32468 -0.1225 
0.321 0.323942 -0.12255 
0.322 0.323204 -0.122599 
0.323 0.322466 -0.122647 
0.324 0.321727 -0.122694 
0.325 0.320989 -0.122739 
0.326 0.32025 -0.122783 
0.327 0.319512 -0.122826 
0.328 0.318773 -0.122868 
