PARAMETRIC_CURVE_CARTESIAN_2D
Damped pendulum - phase space trajectory
t1: 0
t2: 1
NumPoints: 1001
0 0.5 0 
0.001 0.49998 -0.0135555 
0.002 0.499921 -0.0271109 
0.003 0.499823 -0.0406661 
0.004 0.499686 -0.054221 
0.005 0.499509 -0.0677755 
0.006 0.499292 -0.0813294 
0.007 0.499036 -0.0948826 
0.008 0.498739 -0.108435 
0.009 0.498402 -0.121986 
0.01 0.498025 -0.135537 
0.011 0.497607 -0.149086 
0.012 0.497148 -0.162634 
0.013 0.496648 -0.17618 
0.014 0.496107 -0.189725 
0.015 0.495524 -0.203268 
0.016 0.4949 -0.216809 
0.017 0.494234 -0.230348 
0.018 0.493526 -0.243885 
0.019 0.492775 -0.25742 
0.02 0.491982 -0.270953 
0.021 0.491145 -0.284482 
0.022 0.490265 -0.298009 
0.023 0.489342 -0.311533 
0.024 0.488374 -0.325055 
0.025 0.487362 -0.338572 
0.026 0.486305 -0.352087 
0.027 0.485204 -0.365597 
0.028 0.484056 -0.379104 
0.029 0.482863 -0.392607 
0.03 0.481624 -0.406106 
0.031 0.480338 -0.419601 
0.032 0.479005 -0.433091 
0.033 0.477624 -0.446576 
0.034 0.476195 -0.460056 
0.035 0.474718 -0.473531 
0.036 0.473191 -0.487 
0.037 0.471615 -0.500464 
0.038 0.469988 -0.513922 
0.039 0.46831 -0.527373 
0.04 0.466581 -0.540818 
0.041 0.464801 -0.554256 
0.042 0.462967 -0.567687 
0.043 0.46108 -0.581111 
0.044 0.459138 -0.594527 
0.045 0.457142 -0.607935 
0.046 0.45509 -0.621334 
0.047 0.452981 -0.634725 
0.048 0.450816 -0.648107 
0.049 0.448592 -0.661479 
0.05 0.446309 -0.674841 
0.051 0.443965 -0.688192 
0.052 0.441561 -0.701533 
0.053 0.439094 -0.714863 
0.054 0.436565 -0.72818 
0.055 0.433971 -0.741486 
0.056 0.431311 -0.754778 
0.057 0.428584 -0.768057 
0.058 0.42579 -0.781321 
0.059 0.422926 -0.794571 
0.06 0.419991 -0.807806 
0.061 0.416983 -0.821024 
0.062 0.413902 -0.834224 
0.063 0.410744 -0.847408 
