PARAMETRIC_CURVE_CARTESIAN_2D
gravity_example_2d_body2
t1: 0
t2: 50000
NumPoints: 314
0 100 -100 
159.744 90.6868 -99.8873 
319.489 81.486 -99.5438 
479.233 72.6069 -98.977 
638.978 64.1193 -98.2024 
798.722 55.9734 -97.2285 
958.466 48.129 -96.0603 
1118.21 40.5514 -94.6999 
1277.96 33.2086 -93.1466 
1437.7 26.0681 -91.3954 
1597.44 19.0963 -89.4367 
1757.19 12.2555 -87.2545 
1916.93 5.5007 -84.8229 
2076.68 -1.22728 -82.1003 
2236.42 -7.78508 -79.1275 
2396.17 -14.3996 -75.7743 
2555.91 -21.7279 -71.5908 
2715.65 -28.7656 -67.0442 
2875.4 -35.0214 -62.5013 
3035.14 -40.8754 -57.756 
3194.89 -46.4928 -52.6809 
3354.63 -51.8292 -47.3065 
3514.38 -57.0823 -41.3927 
3674.12 -61.8845 -35.3387 
3833.87 -66.2751 -29.1479 
3993.61 -70.3996 -22.6345 
4153.35 -74.2372 -15.821 
4313.1 -77.8758 -8.51275 
4472.84 -81.128 -1.07794 
4632.59 -83.4502 4.90666 
4792.33 -85.5842 11.0488 
4952.08 -87.4997 17.2381 
5111.82 -89.3101 23.8673 
5271.57 -90.9323 30.6867 
5431.31 -92.3431 37.5806 
5591.05 -93.5579 44.5846 
5750.8 -94.5864 51.7322 
5910.54 -95.4338 59.054 
6070.29 -96.102 66.579 
6230.03 -96.5897 74.3372 
6389.78 -96.8932 82.363 
6549.52 -97.0056 90.7027 
6709.27 -96.9156 99.4417 
6869.01 -96.5938 108.898 
7028.75 -95.8454 121.267 
7188.5 -94.8903 132.266 
7348.24 -93.692 143.179 
7507.99 -92.226 154.334 
7667.73 -90.4733 165.847 
7827.48 -88.4137 177.79 
7987.22 -86.025 190.22 
8146.96 -83.2827 203.188 
8306.71 -80.1595 216.744 
8466.45 -76.6254 230.937 
8626.2 -72.6471 245.818 
8785.94 -68.188 261.443 
8945.69 -63.2078 277.868 
9105.43 -57.6618 295.155 
9265.18 -51.5546 313.215 
9424.92 -44.9767 331.743 
9584.66 -37.9374 350.702 
9744.41 -30.4574 370.033 
9904.15 -22.5729 389.649 
