PARAMETRIC_CURVE_CARTESIAN_2D
Spherical pendulum : x-y trajectory
t1: 0
t2: 1
NumPoints: 1277
0 1 0 
0.000783699 0.991274 -0.0763692 
0.0015674 0.967164 -0.149305 
0.0023511 0.931115 -0.21718 
0.0031348 0.886198 -0.279563 
0.0039185 0.834713 -0.336659 
0.00470219 0.778288 -0.388882 
0.00548589 0.718063 -0.436676 
0.00626959 0.654845 -0.480434 
0.00705329 0.589218 -0.520489 
0.00783699 0.521612 -0.557104 
0.00862069 0.452354 -0.590485 
0.00940439 0.381692 -0.620781 
0.0101881 0.309825 -0.648095 
0.0109718 0.236911 -0.672482 
0.0117555 0.163084 -0.693954 
0.0125392 0.0884642 -0.712477 
0.0133229 0.0131544 -0.727974 
0.0141066 -0.0627368 -0.740313 
0.0148903 -0.139091 -0.749306 
0.015674 -0.215784 -0.754696 
0.0164577 -0.292652 -0.756143 
0.0172414 -0.369479 -0.753197 
0.0180251 -0.445954 -0.745276 
0.0188088 -0.521617 -0.731623 
0.0195925 -0.595761 -0.711265 
0.0203762 -0.667266 -0.682988 
0.0211599 -0.734349 -0.645378 
0.0219436 -0.794244 -0.597111 
0.0227273 -0.843106 -0.537699 
0.023511 -0.876916 -0.46867 
0.0242947 -0.893389 -0.393618 
0.0250784 -0.893168 -0.316775 
0.0258621 -0.878856 -0.241252 
0.0266458 -0.853438 -0.168707 
0.0274295 -0.819422 -0.0997683 
0.0282132 -0.778698 -0.0345665 
0.0289969 -0.732632 0.0270035 
0.0297806 -0.682213 0.0850854 
0.0305643 -0.628211 0.139824 
0.031348 -0.571166 0.191381 
0.0321317 -0.511499 0.239876 
0.0329154 -0.44954 0.285404 
0.0336991 -0.385552 0.328027 
0.0344828 -0.319742 0.367784 
0.0352665 -0.252283 0.404677 
0.0360502 -0.183327 0.438683 
0.0368339 -0.112994 0.469748 
0.0376176 -0.0414005 0.497781 
0.0384013 0.0313541 0.522659 
0.039185 0.10516 0.544205 
0.0399687 0.179911 0.562198 
0.0407524 0.255485 0.576345 
0.0415361 0.331732 0.586269 
0.0423197 0.408446 0.591484 
0.0431034 0.485342 0.591363 
0.0438871 0.562005 0.585089 
0.0446708 0.637696 0.571609 
