PARAMETRIC_CURVE_CARTESIAN_2D
Spherical pendulum : x-z trajectory
t1: 0
t2: 1
NumPoints: 1277
0 1 1 
0.000783699 0.995542 1.07709 
0.0015674 0.982092 1.15306 
0.0023511 0.959746 1.22691 
0.0031348 0.928798 1.2976 
0.0039185 0.889764 1.36417 
0.00470219 0.843331 1.4258 
0.00548589 0.7903 1.48186 
0.00626959 0.731536 1.53188 
0.00705329 0.66791 1.57555 
0.00783699 0.600274 1.6127 
0.00862069 0.529426 1.64327 
0.00940439 0.456106 1.66732 
0.0101881 0.380984 1.68493 
0.0109718 0.304663 1.69626 
0.0117555 0.227675 1.70148 
0.0125392 0.150507 1.7008 
0.0133229 0.0736039 1.69443 
0.0141066 -0.00265724 1.68257 
0.0148903 -0.0779059 1.66544 
0.015674 -0.151808 1.64325 
0.0164577 -0.224075 1.61619 
0.0172414 -0.294416 1.58446 
0.0180251 -0.362553 1.54823 
0.0188088 -0.428209 1.50767 
0.0195925 -0.491103 1.46295 
0.0203762 -0.550944 1.41421 
0.0211599 -0.607423 1.3616 
0.0219436 -0.660205 1.30528 
0.0227273 -0.708925 1.24541 
0.023511 -0.753171 1.18214 
0.0242947 -0.792486 1.1157 
0.0250784 -0.826355 1.04631 
0.0258621 -0.854202 0.974294 
0.0266458 -0.875394 0.90006 
0.0274295 -0.889254 0.824125 
0.0282132 -0.895087 0.747164 
0.0289969 -0.892223 0.670041 
0.0297806 -0.880097 0.593822 
0.0305643 -0.858353 0.519783 
0.031348 -0.826952 0.449307 
0.0321317 -0.786247 0.383779 
0.0329154 -0.736937 0.324396 
0.0336991 -0.680109 0.27211 
0.0344828 -0.617061 0.227583 
0.0352665 -0.549091 0.191027 
0.0360502 -0.477431 0.162392 
0.0368339 -0.403172 0.141424 
0.0376176 -0.32723 0.127749 
0.0384013 -0.250356 0.120939 
0.039185 -0.173192 0.120558 
0.0399687 -0.0962229 0.12618 
0.0407524 -0.0198726 0.137413 
0.0415361 0.0555254 0.1539 
0.0423197 0.129664 0.175317 
0.0431034 0.2023 0.201383 
0.0438871 0.273207 0.231848 
0.0446708 0.342172 0.266493 
0.0454545 0.408989 0.305124 
0.0462382 0.473452 0.347571 
0.0470219 0.535355 0.393688 
0.0478056 0.594466 0.443333 
0.0485893 0.650527 0.496367 
0.049373 0.703286 0.552682 
0.0501567 0.752448 0.612167 
0.0509404 0.797672 0.674701 
0.0517241 0.838569 0.740148 
0.0525078 0.874692 0.80835 
0.0532915 0.905523 0.879105 
0.0540752 0.930467 0.952148 
0.0548589 0.948841 1.02712 
0.0556426 0.959873 1.10353 
0.0564263 0.962722 1.18068 
0.05721 0.956524 1.25764 
0.0579937 0.940474 1.33317 
0.0587774 0.913986 1.40568 
0.0595611 0.876883 1.47337 
0.0603448 0.82956 1.53432 
0.0611285 0.77306 1.58685 
0.0619122 0.70896 1.62976 
0.0626959 0.639113 1.66249 
0.0634796 0.565356 1.68505 
0.0642633 0.489307 1.69795 
0.065047 0.412246 1.7019 
0.0658307 0.335199 1.69775 
0.0666144 0.258881 1.68633 
0.0673981 0.183817 1.66841 
0.0681818 0.110397 1.64468 
0.0689655 0.0388636 1.61574 
0.0697492 -0.0305924 1.58212 
0.0705329 -0.0978288 1.54425 
0.0713166 -0.162733 1.5025 
0.0721003 -0.225206 1.45719 
0.072884 -0.285156 1.40859 
0.0736677 -0.342485 1.35692 
0.0744514 -0.397088 1.30237 
0.0752351 -0.448839 1.24511 
0.0760188 -0.497588 1.18526 
0.0768025 -0.543155 1.12296 
0.0775862 -0.585313 1.0583 
0.0783699 -0.623787 0.991374 
0.0791536 -0.658228 0.922295 
0.0799373 -0.688201 0.851171 
0.080721 -0.71316 0.778139 
0.0815047 -0.732402 0.703401 
0.0822884 -0.745031 0.627265 
0.0830721 -0.749899 0.55025 
0.0838558 -0.745586 0.473218 
0.0846395 -0.730432 0.397592 
0.0854232 -0.702747 0.325572 
0.0862069 -0.661487 0.26035 
0.0869906 -0.60715 0.20562 
0.0877743 -0.542147 0.164154 
0.088558 -0.470043 0.13685 
0.0893417 -0.394197 0.122818 
0.0901254 -0.317097 0.120313 
0.0909091 -0.240269 0.127475 
0.0916928 -0.164617 0.142681 
0.0924765 -0.0906301 0.164627 
0.0932602 -0.0185905 0.192279 
0.0940439 0.0513715 0.224849 
0.0948276 0.119173 0.261712 
0.0956113 0.184766 0.302379 
0.096395 0.248116 0.346461 
0.0971787 0.309196 0.393648 
0.0979624 0.367963 0.443688 
0.0987461 0.424359 0.496364 
0.0995298 0.478332 0.551519 
0.100313 0.529802 0.609017 
0.101097 0.578667 0.668747 
0.101881 0.624793 0.730618 
0.102665 0.668015 0.794553 
0.103448 0.708121 0.860488 
0.104232 0.744846 0.928367 
0.105016 0.77785 0.998135 
0.105799 0.80669 1.06973 
0.106583 0.830794 1.14305 
0.107367 0.849391 1.21797 
0.10815 0.861427 1.29422 
0.108934 0.865448 1.3713 
0.109718 0.859422 1.44824 
0.110502 0.840598 1.52305 
0.111285 0.80582 1.59181 
0.112069 0.753325 1.64807 
0.112853 0.685914 1.68508 
0.113636 0.610575 1.70087 
0.11442 0.533513 1.69866 
0.115204 0.457986 1.683 
0.115987 0.385159 1.65753 
0.116771 0.315304 1.62477 
0.117555 0.248342 1.58643 
0.118339 0.184108 1.54367 
0.119122 0.122423 1.4973 
0.119906 0.0631236 1.44792 
0.12069 0.00607392 1.39594 
0.121473 -0.0488347 1.34172 
0.122257 -0.101683 1.28547 
0.123041 -0.152527 1.22741 
0.123824 -0.201393 1.16768 
0.124608 -0.248286 1.10638 
0.125392 -0.29318 1.0436 
0.126176 -0.336021 0.979406 
0.126959 -0.376718 0.913833 
0.127743 -0.415137 0.846902 
0.128527 -0.45109 0.778615 
0.12931 -0.484308 0.708958 
0.130094 -0.514415 0.637901 
0.130878 -0.540858 0.565402 
0.131661 -0.562811 0.491424 
0.132445 -0.578963 0.415974 
0.133229 -0.58708 0.339247 
0.134013 -0.582925 0.262211 
0.134796 -0.55831 0.189362 
0.13558 -0.503545 0.136282 
0.136364 -0.428731 0.119963 
0.137147 -0.35257 0.131395 
0.137931 -0.280156 0.157965 
0.138715 -0.211625 0.193399 
0.139498 -0.146427 0.234678 
0.140282 -0.0840825 0.280157 
0.141066 -0.0242187 0.32886 
0.14185 0.0334393 0.380159 
0.142633 0.0890967 0.433624 
0.143417 0.142897 0.48895 
0.144201 0.194956 0.545913 
0.144984 0.245353 0.604355 
0.145768 0.294138 0.664147 
0.146552 0.341341 0.725197 
0.147335 0.386969 0.787435 
0.148119 0.431006 0.850807 
0.148903 0.473417 0.915281 
0.149687 0.514135 0.980836 
0.15047 0.553067 1.04747 
0.151254 0.590077 1.11519 
0.152038 0.624966 1.18403 
0.152821 0.657457 1.25403 
0.153605 0.687133 1.32527 
0.154389 0.713334 1.39786 
0.155172 0.73493 1.47195 
0.155956 0.749685 1.54768 
0.15674 0.751857 1.62468 
0.157524 0.719771 1.6924 
0.158307 0.645314 1.69359 
0.159091 0.577623 1.65683 
0.159875 0.516703 1.60951 
0.160658 0.45987 1.55732 
0.161442 0.405819 1.50224 
0.162226 0.353827 1.44522 
0.163009 0.303449 1.38676 
0.163793 0.254389 1.32719 
0.164577 0.206443 1.26672 
0.165361 0.159464 1.2055 
0.166144 0.113342 1.14363 
0.166928 0.068 1.08118 
0.167712 0.0233758 1.01822 
0.168495 -0.02057 0.95479 
0.169279 -0.0638666 0.89091 
0.170063 -0.106528 0.826605 
0.170846 -0.148555 0.761884 
0.17163 -0.189937 0.696748 
0.172414 -0.230642 0.631187 
0.173197 -0.270619 0.565179 
0.173981 -0.309781 0.498686 
0.174765 -0.347993 0.431641 
0.175549 -0.385016 0.363934 
0.176332 -0.420408 0.295358 
0.177116 -0.453148 0.225476 
0.1779 -0.479216 0.152866 
0.178683 -0.438515 0.138998 
0.179467 -0.383477 0.193064 
0.180251 -0.332625 0.25111 
0.181034 -0.283708 0.310794 
0.181818 -0.236005 0.371454 
0.182602 -0.189171 0.432786 
0.183386 -0.143007 0.494625 
0.184169 -0.0973844 0.556864 
0.184953 -0.0522126 0.619431 
0.185737 -0.00742547 0.682274 
0.18652 0.0370284 0.745353 
0.187304 0.0811909 0.808636 
0.188088 0.125098 0.872097 
0.188871 0.168781 0.935712 
0.189655 0.21227 0.99946 
0.190439 0.255594 1.06332 
0.191223 0.298784 1.12727 
0.192006 0.341875 1.19129 
0.19279 0.384907 1.25535 
0.193574 0.427933 1.31941 
0.194357 0.471025 1.38342 
0.195141 0.514286 1.44733 
0.195925 0.557885 1.511 
0.196708 0.602133 1.57422 
0.197492 0.647765 1.63645 
0.198276 0.698081 1.69475 
0.19906 0.701015 1.64325 
0.199843 0.670673 1.57232 
0.200627 0.637038 1.50286 
0.201411 0.60155 1.43434 
0.202194 0.564708 1.36653 
0.202978 0.526756 1.29934 
0.203762 0.487836 1.2327 
0.204545 0.448033 1.16659 
0.205329 0.407403 1.10098 
0.206113 0.365981 1.03587 
0.206897 0.323788 0.971257 
0.20768 0.280829 0.907149 
0.208464 0.237103 0.843563 
0.209248 0.192594 0.780522 
0.210031 0.147278 0.718059 
0.210815 0.101119 0.656216 
0.211599 0.0540632 0.595053 
0.212382 0.00604172 0.534645 
0.213166 -0.0430417 0.475097 
0.21395 -0.0933187 0.416554 
0.214734 -0.144975 0.359225 
0.215517 -0.198282 0.303426 
0.216301 -0.253672 0.249691 
0.217085 -0.311861 0.19901 
0.217868 -0.374278 0.153679 
0.218652 -0.444287 0.121916 
0.219436 -0.506062 0.153447 
0.220219 -0.507981 0.230048 
0.221003 -0.490969 0.305284 
0.221787 -0.466517 0.378475 
0.222571 -0.437737 0.450082 
0.223354 -0.405939 0.5204 
0.224138 -0.371834 0.589622 
0.224922 -0.335825 0.657875 
0.225705 -0.298176 0.725237 
0.226489 -0.259058 0.791758 
0.227273 -0.218586 0.857464 
0.228056 -0.176836 0.922366 
0.22884 -0.133849 0.986455 
0.229624 -0.0896427 1.04971 
0.230408 -0.0442139 1.11209 
0.231191 0.00246553 1.17355 
0.231975 0.0504438 1.23399 
0.232759 0.0997953 1.29332 
0.233542 0.150626 1.35139 
0.234326 0.203077 1.408 
0.23511 0.257342 1.46287 
0.235893 0.313684 1.51561 
0.236677 0.372464 1.56561 
0.237461 0.434189 1.61192 
0.238245 0.499574 1.65287 
0.239028 0.569568 1.68521 
0.239812 0.644743 1.70166 
0.240596 0.719442 1.68616 
0.241379 0.770886 1.63007 
0.242163 0.792 1.55614 
0.242947 0.794401 1.47908 
0.24373 0.785534 1.40244 
0.244514 0.769061 1.32704 
0.245298 0.746954 1.2531 
0.246082 0.720387 1.18064 
0.246865 0.69011 1.10964 
0.247649 0.656646 1.04009 
0.248433 0.620353 0.97198 
0.249216 0.581494 0.905297 
0.25 0.540265 0.840057 
0.250784 0.496807 0.776284 
0.251567 0.45122 0.714015 
0.252351 0.403574 0.653306 
0.253135 0.353913 0.594235 
0.253918 0.302254 0.536904 
0.254702 0.248596 0.481441 
0.255486 0.192911 0.428015 
0.25627 0.135151 0.37684 
0.257053 0.0752436 0.328198 
0.257837 0.0130796 0.282455 
0.258621 -0.0514566 0.240126 
0.259404 -0.118507 0.201919 
0.260188 -0.188228 0.168843 
0.260972 -0.260713 0.14242 
0.261755 -0.33587 0.124991 
0.262539 -0.412826 0.120273 
0.263323 -0.488649 0.133653 
0.264107 -0.556324 0.170242 
0.26489 -0.606558 0.228445 
0.265674 -0.636339 0.299502 
0.266458 -0.6491 0.375587 
0.267241 -0.649267 0.452768 
0.268025 -0.640135 0.529372 
0.268809 -0.623857 0.604798 
0.269592 -0.601871 0.678767 
0.270376 -0.575153 0.751165 
0.27116 -0.54439 0.821941 
0.271944 -0.510076 0.891067 
0.272727 -0.472573 0.958519 
0.273511 -0.43215 1.02426 
0.274295 -0.389008 1.08826 
0.275078 -0.343291 1.15044 
0.275862 -0.29511 1.21073 
0.276646 -0.244533 1.26903 
0.277429 -0.191605 1.32521 
0.278213 -0.136349 1.37909 
0.278997 -0.0787636 1.43047 
