PARAMETRIC_CURVE_CARTESIAN_2D
Spherical pendulum : y-z trajectory
t1: 0
t2: 1
NumPoints: 1277
0 0 1 
0.000783699 -0.0437728 1.06213 
0.0015674 -0.0882646 1.12375 
0.0023511 -0.133533 1.18481 
0.0031348 -0.179643 1.24522 
0.0039185 -0.22669 1.30492 
0.00470219 -0.274797 1.36376 
0.00548589 -0.324138 1.42157 
0.00626959 -0.374951 1.47809 
0.00705329 -0.427589 1.53291 
0.00783699 -0.482593 1.58536 
0.00862069 -0.540866 1.63413 
0.00940439 -0.604082 1.67623 
0.0101881 -0.675299 1.70148 
0.0109718 -0.739853 1.67013 
0.0117555 -0.756143 1.59663 
0.0125392 -0.749909 1.52096 
0.0133229 -0.733733 1.44671 
0.0141066 -0.711588 1.374 
0.0148903 -0.685225 1.30272 
0.015674 -0.655591 1.23272 
0.0164577 -0.623255 1.16393 
0.0172414 -0.588592 1.09629 
0.0180251 -0.551861 1.02974 
0.0188088 -0.513239 0.964279 
0.0195925 -0.472856 0.899887 
0.0203762 -0.4308 0.836576 
0.0211599 -0.387132 0.774367 
0.0219436 -0.341886 0.713296 
0.0227273 -0.295076 0.653416 
0.023511 -0.246694 0.594799 
0.0242947 -0.196713 0.537539 
0.0250784 -0.145084 0.481762 
0.0258621 -0.0917325 0.42763 
0.0266458 -0.0365535 0.375366 
0.0274295 0.0205999 0.325255 
0.0282132 0.0799211 0.277728 
0.0289969 0.141656 0.233388 
0.0297806 0.206145 0.193166 
0.0305643 0.273818 0.158593 
0.031348 0.345124 0.132419 
0.0321317 0.419994 0.120076 
0.0329154 0.494558 0.132299 
0.0336991 0.553394 0.179155 
0.0344828 0.583621 0.248497 
0.0352665 0.592118 0.323947 
0.0360502 0.58728 0.399797 
0.0368339 0.573729 0.474593 
0.0376176 0.55399 0.547978 
0.0384013 0.529497 0.619924 
0.039185 0.501163 0.690448 
0.0399687 0.469591 0.759585 
0.0407524 0.435196 0.827364 
0.0415361 0.398272 0.893799 
0.0423197 0.35903 0.958893 
0.0431034 0.317621 1.02263 
0.0438871 0.274148 1.08498 
0.0446708 0.228681 1.14589 
0.0454545 0.181257 1.2053 
0.0462382 0.131887 1.26309 
0.0470219 0.0805577 1.31915 
0.0478056 0.0272298 1.37332 
0.0485893 -0.0281563 1.42538 
0.049373 -0.0856871 1.47506 
0.0501567 -0.145473 1.52199 
0.0509404 -0.207649 1.56571 
0.0517241 -0.272369 1.60556 
0.0525078 -0.339786 1.64063 
0.0532915 -0.41001 1.66966 
0.0540752 -0.482982 1.69079 
0.0548589 -0.558196 1.70133 
0.0556426 -0.634011 1.6976 
0.0564263 -0.706601 1.67554 
0.05721 -0.769569 1.63342 
0.0579937 -0.817266 1.57451 
0.0587774 -0.848262 1.50523 
0.0595611 -0.864583 1.43104 
0.0603448 -0.869078 1.35518 
0.0611285 -0.864169 1.27932 
0.0619122 -0.851668 1.20433 
0.0626959 -0.832895 1.13066 
0.0634796 -0.808805 1.05855 
0.0642633 -0.780124 0.988142 
0.065047 -0.747389 0.91953 
0.0658307 -0.711024 0.85278 
0.0666144 -0.67135 0.787944 
0.0673981 -0.628625 0.725079 
0.0681818 -0.583051 0.664248 
0.0689655 -0.534793 0.605524 
0.0697492 -0.48398 0.548997 
0.0705329 -0.430718 0.494774 
0.0713166 -0.375087 0.442985 
0.0721003 -0.317154 0.39379 
0.072884 -0.256965 0.347374 
0.0736677 -0.194552 0.303971 
0.0744514 -0.129964 0.263879 
0.0752351 -0.0632435 0.227461 
0.0760188 0.0055625 0.195161 
0.0768025 0.0763738 0.167543 
0.0775862 0.149055 0.145324 
0.0783699 0.223365 0.129413 
0.0791536 0.298891 0.120961 
0.0799373 0.374875 0.121397 
0.080721 0.450051 0.132376 
0.0815047 0.5224 0.155574 
0.0822884 0.588978 0.192078 
0.0830721 0.646492 0.241662 
0.0838558 0.692205 0.302331 
0.0846395 0.724951 0.370917 
0.0854232 0.745165 0.444218 
0.0862069 0.754187 0.519658 
0.0869906 0.75361 0.595645 
0.0877743 0.744871 0.671138 
0.088558 0.729172 0.745503 
0.0893417 0.70747 0.818348 
0.0901254 0.680523 0.889424 
0.0909091 0.648931 0.958563 
0.0916928 0.613168 1.02564 
0.0924765 0.57361 1.09056 
0.0932602 0.530563 1.15322 
0.0940439 0.484273 1.21352 
0.0948276 0.43494 1.27136 
0.0956113 0.382731 1.32662 
0.096395 0.327782 1.37915 
0.0971787 0.270212 1.42879 
0.0979624 0.210125 1.47536 
0.0987461 0.147619 1.51861 
0.0995298 0.0827865 1.55829 
0.100313 0.0157321 1.59408 
0.101097 -0.0534233 1.62561 
0.101881 -0.124526 1.65245 
0.102665 -0.197373 1.6741 
0.103448 -0.271687 1.68999 
0.104232 -0.347083 1.69945 
0.105016 -0.423051 1.70176 
0.105799 -0.498832 1.69615 
0.106583 -0.57348 1.68187 
0.107367 -0.645703 1.65827 
0.10815 -0.713975 1.62497 
0.108934 -0.776602 1.58198 
0.109718 -0.831876 1.52986 
0.110502 -0.87834 1.46974 
0.111285 -0.915014 1.40318 
0.112069 -0.941497 1.33193 
0.112853 -0.957915 1.2577 
0.113636 -0.964774 1.18196 
0.11442 -0.962792 1.10594 
0.115204 -0.952776 1.03055 
0.115987 -0.935517 0.956485 
0.116771 -0.911762 0.884265 
0.117555 -0.882171 0.814241 
0.118339 -0.847328 0.74668 
0.119122 -0.80774 0.681789 
0.119906 -0.76385 0.619726 
0.12069 -0.716044 0.560629 
0.121473 -0.664662 0.504618 
0.122257 -0.610004 0.451802 
0.123041 -0.552336 0.402293 
0.123824 -0.491898 0.356206 
0.124608 -0.428895 0.313655 
0.125392 -0.363551 0.274789 
0.126176 -0.29608 0.23977 
0.126959 -0.226675 0.208767 
0.127743 -0.155541 0.181977 
0.128527 -0.0828943 0.159622 
0.12931 -0.00897182 0.141954 
0.130094 0.0659628 0.129257 
0.130878 0.141611 0.121848 
0.131661 0.217591 0.120076 
0.132445 0.29348 0.124323 
0.133229 0.368732 0.134986 
0.134013 0.442709 0.152468 
0.134796 0.514592 0.177131 
0.13558 0.58346 0.20927 
0.136364 0.648231 0.249037 
0.137147 0.707715 0.296362 
0.137931 0.760692 0.350888 
0.138715 0.806035 0.411949 
0.139498 0.842815 0.478482 
0.140282 0.870437 0.549261 
0.141066 0.888725 0.623018 
0.14185 0.897802 0.698472 
0.142633 0.898057 0.774478 
0.143417 0.890047 0.850068 
0.144201 0.874414 0.924462 
0.144984 0.851813 0.997051 
0.145768 0.822879 1.06736 
0.146552 0.788204 1.13503 
0.147335 0.748322 1.19976 
0.148119 0.70372 1.26134 
0.148903 0.654829 1.31957 
0.149687 0.602036 1.37428 
0.15047 0.545698 1.42533 
