PARTICLE_SIMULATION_DATA_2D
Width: 1000
Height: 1000
NumBalls: 2000
Ball_1 Red 3.84132
Ball_2 Red 1.90322
Ball_3 Red 1.42376
Ball_4 Red 3.32804
Ball_5 Red 3.80324
Ball_6 Red 1.97047
Ball_7 Red 3.42907
Ball_8 Red 3.32716
Ball_9 Red 3.22492
Ball_10 Red 1.72343
Ball_11 Red 1.57454
Ball_12 Red 2.13657
Ball_13 Red 1.26558
Ball_14 Red 3.31713
Ball_15 Red 1.91464
Ball_16 Red 1.7293
Ball_17 Red 2.89711
Ball_18 Red 2.63122
Ball_19 Red 3.68703
Ball_20 Red 2.15139
Ball_21 Red 1.76951
Ball_22 Red 1.73232
Ball_23 Red 3.63016
Ball_24 Red 1.27568
Ball_25 Red 1.30147
Ball_26 Red 2.42375
Ball_27 Red 1.64321
Ball_28 Red 2.40253
Ball_29 Red 1.90393
Ball_30 Red 3.13565
Ball_31 Red 2.6289
Ball_32 Red 3.18187
Ball_33 Red 3.66067
Ball_34 Red 1.57633
Ball_35 Red 3.25805
Ball_36 Red 2.25128
Ball_37 Red 3.45129
Ball_38 Red 2.14619
Ball_39 Red 2.80954
Ball_40 Red 2.60459
Ball_41 Red 3.93022
Ball_42 Red 1.67221
Ball_43 Red 2.53898
Ball_44 Red 1.89257
Ball_45 Red 1.3822
Ball_46 Red 2.81417
Ball_47 Red 2.45504
Ball_48 Red 2.84069
Ball_49 Red 3.12189
Ball_50 Red 1.39409
Ball_51 Red 2.32233
Ball_52 Red 2.92884
Ball_53 Red 1.86032
Ball_54 Red 3.07098
Ball_55 Red 2.23929
Ball_56 Red 2.68412
Ball_57 Red 2.7985
Ball_58 Red 1.05856
Ball_59 Red 1.9391
Ball_60 Red 3.06761
Ball_61 Red 3.19333
Ball_62 Red 1.22641
Ball_63 Red 2.91395
Ball_64 Red 2.25284
Ball_65 Red 2.29246
Ball_66 Red 1.35285
Ball_67 Red 2.86114
Ball_68 Red 1.0425
Ball_69 Red 1.39727
Ball_70 Red 3.44466
Ball_71 Red 3.25883
Ball_72 Red 1.8621
Ball_73 Red 2.38891
Ball_74 Red 1.40052
Ball_75 Red 2.28298
Ball_76 Red 3.70324
Ball_77 Red 2.59238
Ball_78 Red 1.72936
Ball_79 Red 1.27454
Ball_80 Red 1.25688
Ball_81 Red 3.78706
Ball_82 Red 3.34779
Ball_83 Red 1.16568
Ball_84 Red 1.68018
Ball_85 Red 3.8793
Ball_86 Red 3.44313
Ball_87 Red 3.17557
Ball_88 Red 2.45291
Ball_89 Red 3.72294
Ball_90 Red 3.4717
Ball_91 Red 1.15563
Ball_92 Red 1.89678
Ball_93 Red 1.52824
Ball_94 Red 2.65406
Ball_95 Red 2.16785
Ball_96 Red 3.8536
Ball_97 Red 2.96943
Ball_98 Red 3.06761
Ball_99 Red 1.41597
Ball_100 Red 3.45065
Ball_101 Red 2.14141
Ball_102 Red 1.11559
Ball_103 Red 1.41646
Ball_104 Red 2.96152
Ball_105 Red 2.34769
Ball_106 Red 3.97678
Ball_107 Red 1.9858
Ball_108 Red 3.26298
Ball_109 Red 2.9784
Ball_110 Red 2.50078
