PARTICLE_SIMULATION_DATA_2D
NumBalls: 50
Ball_1 Red 5.82737
Ball_2 Red 4.23756
Ball_3 Red 5.06428
Ball_4 Red 3.77151
Ball_5 Red 8.78565
Ball_6 Red 5.66696
Ball_7 Red 2.59609
Ball_8 Red 3.0903
Ball_9 Red 6.57248
Ball_10 Red 6.94349
Ball_11 Red 2.03374
Ball_12 Red 8.35015
Ball_13 Red 6.81516
Ball_14 Red 6.67457
Ball_15 Red 3.21743
Ball_16 Red 9.66389
Ball_17 Red 3.99239
Ball_18 Red 6.23837
Ball_19 Red 2.73939
Ball_20 Red 2.27612
Ball_21 Red 3.85047
Ball_22 Red 6.86141
Ball_23 Red 7.77383
Ball_24 Red 6.73325
Ball_25 Red 7.44199
Ball_26 Blue 9.95579
Ball_27 Blue 4.27878
Ball_28 Blue 7.40439
Ball_29 Blue 8.2429
Ball_30 Blue 8.65882
Ball_31 Blue 8.75284
Ball_32 Blue 6.50094
Ball_33 Blue 8.97217
Ball_34 Blue 9.34708
Ball_35 Blue 3.82983
Ball_36 Blue 3.72828
Ball_37 Blue 5.12715
Ball_38 Blue 5.9201
Ball_39 Blue 8.1402
Ball_40 Blue 2.59962
Ball_41 Blue 7.53746
Ball_42 Blue 9.23312
Ball_43 Blue 3.04106
Ball_44 Blue 5.43518
Ball_45 Blue 9.12584
Ball_46 Blue 6.01936
Ball_47 Blue 5.4884
Ball_48 Blue 3.49355
Ball_49 Blue 2.2913
Ball_50 Blue 4.42322
NumSteps: 100
Step 0 0.1
0 266.125 543.11
1 701.308 22.9006
2 647.748 254.535
3 763.33 220.206
4 228.435 697.542
5 134.086 370.055
6 879.649 149.745
7 651.638 763.097
8 130.531 271.104
9 172.668 342.387
10 627.598 54.6585
11 97.3329 431.68
12 566.191 514.501
13 681.741 643.95
14 594.246 77.5014
15 822.105 88.1027
16 930.553 223.159
17 796.462 784.864
18 525.677 478.226
19 199.013 340.241
20 678.077 52.0087
21 451.05 760.281
22 659.924 174.724
23 635.72 556.188
24 761.581 528.822
25 33.7159 49.1154
26 465.144 126.834
27 565.755 344.662
28 86.6205 636.535
29 976.349 732.305
30 323.748 748.48
31 584.01 782.952
32 595.078 76.6087
33 78.675 696.139
34 683.489 567.276
35 840.553 77.1936
36 187.101 634.687
37 82.4693 6.55228
38 740.248 544.766
39 497.31 561.537
40 862.794 599.478
41 388.986 550.445
42 532.84 160.194
43 521.887 334.055
44 847.588 134.949
45 886.399 616.724
46 941.86 379.187
47 727.983 699.096
48 445.486 280.803
49 772.832 651.358
Step 1 0.1
0 266.12 542.126
1 699.384 19.6398
2 645.654 256.936
3 766.364 224.802
4 229.588 697.281
5 136.233 369.41
6 876.978 149.201
7 652.447 766.446
8 134.405 269.757
9 173.62 343.066
10 631.756 56.534
11 99.7254 433.479
12 564.881 518.389
13 677.65 640.142
14 590.469 97.1185
15 818.952 91.8108
16 934.411 221.799
17 796.855 788.376
18 528.593 473.761
19 197.935 337.641
20 680.198 56.8678
21 446.934 763.985
22 655.861 179.274
23 631.898 557.094
24 763.745 529.377
25 35.1833 53.6485
26 467.879 128.414
27 562.182 345.339
28 85.5695 640.247
29 972.255 735.509
30 322.172 751.696
31 587.744 784.795
32 595.28 69.5232
33 76.5214 691.852
34 687.219 562.926
35 839.921 79.4061
36 184.513 631.531
37 86.0519 9.13821
38 743.874 548.89
39 493.891 559.221
40 860.661 594.819
41 389.537 552.43
42 528.586 160.706
43 519.832 337.862
44 852.485 138.771
45 891.335 612.09
46 945.871 381.995
47 724.506 695.145
48 445.497 283.965
49 772.206 647.479
Step 2 0.1
0 266.114 541.142
1 697.46 16.3791
2 643.561 259.337
3 769.397 229.398
4 230.74 697.02
5 138.379 368.766
6 874.308 148.657
7 653.255 769.795
8 138.278 268.41
9 174.572 343.746
10 635.915 58.4094
11 102.118 435.278
12 563.571 522.278
13 673.56 636.335
14 589.013 99.9242
15 815.8 95.5189
16 938.27 220.439
17 797.248 791.888
18 531.51 469.295
19 196.857 335.042
20 682.32 61.727
21 442.817 767.689
22 651.799 183.823
23 628.077 558.001
24 765.909 529.932
25 36.6508 58.1816
26 470.613 129.995
27 558.609 346.016
28 84.5185 643.959
29 968.161 738.713
30 320.597 754.912
31 591.479 786.639
32 594.741 67.799
33 74.3679 687.566
34 690.949 558.576
35 839.289 81.6186
36 181.926 628.375
37 89.6346 11.7241
38 747.501 553.014
39 490.471 556.905
40 858.527 590.161
41 390.088 554.416
42 524.333 161.219
43 517.777 341.669
44 857.382 142.593
45 896.272 607.455
46 949.882 384.803
47 721.03 691.194
48 445.507 287.127
49 771.581 643.601
Step 3 0.1
0 266.109 540.158
1 695.536 13.1184
2 641.467 261.738
3 772.431 233.994
4 231.893 696.758
5 140.526 368.121
6 874.701 148.882
7 654.063 773.143
8 142.152 267.063
9 175.523 344.426
10 640.073 60.2849
11 104.51 437.076
12 562.26 526.167
13 669.469 632.528
14 587.557 102.73
15 812.648 99.2269
16 942.129 219.079
17 797.641 793.762
18 534.426 464.83
