PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_1 Black 10
Ball_2 Red 3
Ball_3 Red 3
Ball_4 Red 3
Ball_5 Red 3
Ball_6 Red 3
Ball_7 Red 3
Ball_8 Red 3
Ball_9 Red 3
Ball_10 Red 3
Ball_11 Red 3
NumSteps: 201
Step 0 0.1
0 0 0 0
1 3.99501 -33.0681 7.1278
2 94.7903 124.3 -142.509
3 62.2437 142.344 -82.9254
4 62.6887 133.498 82.037
5 68.5968 -102.011 -80.702
6 96.7579 93.7505 -41.336
7 -52.5357 76.3446 122.497
8 144.924 116.133 22.3203
9 -72.1991 35.2397 65.0412
10 -146.255 51.9858 107.604
Step 1 0.1
0 -0.000346779 -0.00200656 0.00196597
1 5.0719 -30.4248 7.85436
2 94.2558 123.779 -142.668
3 60.8035 142.126 -82.7501
4 62.9515 132.193 82.1962
5 68.9272 -102.554 -79.4383
6 95.3595 92.6201 -41.1419
7 -52.2227 76.1296 123.565
8 143.846 117.336 22.2227
9 -71.3017 34.0756 64.7419
10 -146.63 51.1324 106.641
Step 2 0.1
0 -0.000829735 -0.00644675 0.00617377
1 5.6762 -24.9491 7.8509
2 93.6905 123.217 -142.78
3 59.3306 141.827 -82.5291
4 63.1735 130.803 82.3026
5 69.192 -102.999 -78.099
6 93.8542 91.3873 -40.9019
7 -51.8677 75.8508 124.53
8 142.699 118.485 22.1144
9 -70.2028 32.8177 64.263
10 -146.935 50.2563 105.63
Step 3 0.1
0 -0.000913447 -0.0147486 0.0133163
1 5.39069 -15.5653 6.61961
2 93.0945 122.617 -142.845
3 57.8253 141.447 -82.2618
4 63.3539 129.327 82.3552
5 69.3905 -103.345 -76.6848
6 92.2393 90.0492 -40.6144
7 -51.4714 75.5091 125.392
8 141.485 119.579 21.9956
9 -68.8967 31.4651 63.5976
10 -147.17 49.3575 104.571
Step 4 0.1
0 0.00205222 -0.0328381 0.0265257
1 2.20478 2.18301 1.83641
2 92.4678 121.976 -142.861
3 56.2878 140.984 -81.9475
4 63.4917 127.766 82.353
5 69.5222 -103.591 -75.1965
6 90.5115 88.6024 -40.2774
7 -51.0344 75.1053 126.151
8 140.204 120.618 21.8661
9 -67.3762 30.0168 62.7372
10 -147.334 48.4362 103.463
Step 5 0.1
0 0.191063 0.138435 0.194678
1 -141.355 -121.276 -118.283
2 91.8101 121.295 -142.829
3 54.7186 140.438 -81.5856
4 63.5859 126.118 82.2948
5 69.586 -103.735 -73.6347
6 88.6675 87.0432 -39.889
7 -50.557 74.64 126.806
8 138.856 121.6 21.7261
9 -65.6323 28.471 61.6716
10 -147.426 47.4926 102.306
Step 6 0.1
0 0.379127 0.311036 0.364225
1 -284.875 -244.701 -238.369
2 91.1216 120.574 -142.748
3 53.1179 139.806 -81.1751
4 63.6355 124.382 82.1792
5 69.5814 -103.777 -72
6 86.7029 85.367 -39.4461
7 -50.0396 74.114 127.358
8 137.441 122.524 21.5756
9 -63.6535 26.8261 60.389
10 -147.446 46.527 101.101
Step 7 0.1
0 0.56622 0.485018 0.535269
1 -428.385 -368.117 -358.447
2 90.4021 119.813 -142.618
3 51.4861 139.087 -80.715
4 63.6391 122.557 82.0047
5 69.5076 -103.714 -70.293
6 84.613 83.5689 -38.9457
7 -49.4822 73.5276 127.805
8 135.96 123.39 21.4147
9 -61.4251 25.0798 58.875
10 -147.392 45.5395 99.848
Step 8 0.1
0 0.752274 0.66041 0.707901
