PARTICLE_SIMULATION_DATA_3D
Width: 1000
Height: 1000
Depth: 1000
NumBalls: 1000
Ball_1 Red 2.201
Ball_2 Red 2.55566
Ball_3 Red 2.972
Ball_4 Red 2.89431
Ball_5 Red 2.855
Ball_6 Red 2.44481
Ball_7 Red 2.68578
Ball_8 Red 2.2877
Ball_9 Red 2.35044
Ball_10 Red 2.72308
Ball_11 Red 2.14149
Ball_12 Red 2.79344
Ball_13 Red 2.3788
Ball_14 Red 2.41237
Ball_15 Red 2.56055
Ball_16 Red 2.9096
Ball_17 Red 2.29692
Ball_18 Red 2.92812
Ball_19 Red 2.32081
Ball_20 Red 2.76102
Ball_21 Red 2.38607
Ball_22 Red 2.79875
Ball_23 Red 2.78155
Ball_24 Red 2.83116
Ball_25 Red 2.56008
Ball_26 Red 2.58788
Ball_27 Red 2.45645
Ball_28 Red 2.37188
Ball_29 Red 2.5071
Ball_30 Red 2.91344
Ball_31 Red 2.97536
Ball_32 Red 2.50012
Ball_33 Red 2.83638
Ball_34 Red 2.12121
Ball_35 Red 2.58953
Ball_36 Red 2.96715
Ball_37 Red 2.9286
Ball_38 Red 2.03704
Ball_39 Red 2.83084
Ball_40 Red 2.03917
Ball_41 Red 2.36688
Ball_42 Red 2.81856
Ball_43 Red 2.68419
Ball_44 Red 2.97099
Ball_45 Red 2.88268
Ball_46 Red 2.79992
Ball_47 Red 2.74748
Ball_48 Red 2.9593
Ball_49 Red 2.223
Ball_50 Red 2.53455
Ball_51 Red 2.2888
Ball_52 Red 2.27571
Ball_53 Red 2.24942
Ball_54 Red 2.09187
Ball_55 Red 2.27582
Ball_56 Red 2.97346
Ball_57 Red 2.06985
Ball_58 Red 2.28208
Ball_59 Red 2.31014
Ball_60 Red 2.51017
Ball_61 Red 2.44835
Ball_62 Red 2.09185
Ball_63 Red 2.57603
Ball_64 Red 2.77533
Ball_65 Red 2.22043
Ball_66 Red 2.10721
Ball_67 Red 2.84818
Ball_68 Red 2.63247
Ball_69 Red 2.47192
Ball_70 Red 2.26255
Ball_71 Red 2.0448
Ball_72 Red 2.19927
Ball_73 Red 2.50051
Ball_74 Red 2.60743
Ball_75 Red 2.44077
Ball_76 Red 2.16914
Ball_77 Red 2.00513
Ball_78 Red 2.29731
Ball_79 Red 2.81397
Ball_80 Red 2.14753
Ball_81 Red 2.47791
Ball_82 Red 2.51796
Ball_83 Red 2.33791
Ball_84 Red 2.64152
Ball_85 Red 2.53958
Ball_86 Red 2.85544
Ball_87 Red 2.29481
Ball_88 Red 2.7803
Ball_89 Red 2.60887
Ball_90 Red 2.97987
Ball_91 Red 2.56048
Ball_92 Red 2.34626
Ball_93 Red 2.19086
Ball_94 Red 2.95171
Ball_95 Red 2.79892
Ball_96 Red 2.4633
Ball_97 Red 2.44915
Ball_98 Red 2.96988
Ball_99 Red 2.57032
Ball_100 Red 2.04306
Ball_101 Red 2.19584
Ball_102 Red 2.05261
Ball_103 Red 2.93422
Ball_104 Red 2.29011
Ball_105 Red 2.05103
Ball_106 Red 2.3081
Ball_107 Red 2.64518
Ball_108 Red 2.37183
Ball_109 Red 2.68576
Ball_110 Red 2.74985
Ball_111 Red 2.41999
Ball_112 Red 2.53006
Ball_113 Red 2.21963
Ball_114 Red 2.77848
Ball_115 Red 2.66722
Ball_116 Red 2.643
Ball_117 Red 2.71286
Ball_118 Red 2.87149
Ball_119 Red 2.90202
Ball_120 Red 2.65769
Ball_121 Red 2.35279
Ball_122 Red 2.00258
Ball_123 Red 2.43937
Ball_124 Red 2.25718
Ball_125 Red 2.00332
Ball_126 Red 2.13577
Ball_127 Red 2.9353
Ball_128 Red 2.11472
Ball_129 Red 2.99835
Ball_130 Red 2.4374
Ball_131 Red 2.69124
Ball_132 Red 2.78445
Ball_133 Red 2.36863
Ball_134 Red 2.89863
Ball_135 Red 2.80733
Ball_136 Red 2.29016
Ball_137 Red 2.3044
Ball_138 Red 2.99566
Ball_139 Red 2.55733
Ball_140 Red 2.47647
Ball_141 Red 2.02064
Ball_142 Red 2.97821
Ball_143 Red 2.64023
Ball_144 Red 2.35624
Ball_145 Red 2.07039
Ball_146 Red 2.23994
Ball_147 Red 2.38768
Ball_148 Red 2.95015
Ball_149 Red 2.16059
Ball_150 Red 2.11547
Ball_151 Red 2.04084
Ball_152 Red 2.25055
Ball_153 Red 2.5326
Ball_154 Red 2.52592
Ball_155 Red 2.3239
Ball_156 Red 2.79494
Ball_157 Red 2.64055
Ball_158 Red 2.80512
Ball_159 Red 2.27054
Ball_160 Red 2.62633
Ball_161 Red 2.31331
Ball_162 Red 2.57285
Ball_163 Red 2.15713
Ball_164 Red 2.04404
Ball_165 Red 2.02987
Ball_166 Red 2.37306
Ball_167 Red 2.69308
Ball_168 Red 2.82919
Ball_169 Red 2.79073
Ball_170 Red 2.5544
Ball_171 Red 2.13889
Ball_172 Red 2.22467
Ball_173 Red 2.54032
Ball_174 Red 2.42559
Ball_175 Red 2.11642
Ball_176 Red 2.85066
Ball_177 Red 2.87046
Ball_178 Red 2.42045
Ball_179 Red 2.1948
Ball_180 Red 2.60896
Ball_181 Red 2.87634
Ball_182 Red 2.87745
Ball_183 Red 2.50797
Ball_184 Red 2.40694
Ball_185 Red 2.79762
Ball_186 Red 2.77696
Ball_187 Red 2.29408
Ball_188 Red 2.49402
Ball_189 Red 2.90762
Ball_190 Red 2.01735
Ball_191 Red 2.28096
Ball_192 Red 2.54732
Ball_193 Red 2.67545
Ball_194 Red 2.247
Ball_195 Red 2.38445
Ball_196 Red 2.95778
Ball_197 Red 2.86209
Ball_198 Red 2.15134
Ball_199 Red 2.24322
Ball_200 Red 2.17624
Ball_201 Red 2.35517
Ball_202 Red 2.88288
Ball_203 Red 2.64608
Ball_204 Red 2.45463
Ball_205 Red 2.48417
Ball_206 Red 2.64071
Ball_207 Red 2.55213
Ball_208 Red 2.27156
Ball_209 Red 2.71095
Ball_210 Red 2.31929
Ball_211 Red 2.72176
Ball_212 Red 2.38503
Ball_213 Red 2.50738
Ball_214 Red 2.48197
Ball_215 Red 2.27446
Ball_216 Red 2.53863
Ball_217 Red 2.59209
Ball_218 Red 2.43836
Ball_219 Red 2.16532
Ball_220 Red 2.85557
Ball_221 Red 2.44623
Ball_222 Red 2.82744
Ball_223 Red 2.08045
Ball_224 Red 2.4888
Ball_225 Red 2.35477
Ball_226 Red 2.45543
Ball_227 Red 2.92047
Ball_228 Red 2.29565
Ball_229 Red 2.31881
Ball_230 Red 2.18775
Ball_231 Red 2.33887
Ball_232 Red 2.41112
Ball_233 Red 2.49333
Ball_234 Red 2.52663
Ball_235 Red 2.02018
Ball_236 Red 2.55904
Ball_237 Red 2.27291
Ball_238 Red 2.53299
Ball_239 Red 2.47348
Ball_240 Red 2.975
Ball_241 Red 2.09905
Ball_242 Red 2.70618
Ball_243 Red 2.01192
Ball_244 Red 2.0502
Ball_245 Red 2.50112
Ball_246 Red 2.00214
Ball_247 Red 2.7307
Ball_248 Red 2.15266
Ball_249 Red 2.47307
Ball_250 Red 2.77509
Ball_251 Red 2.63072
Ball_252 Red 2.25563
Ball_253 Red 2.53686
Ball_254 Red 2.99865
Ball_255 Red 2.06637
Ball_256 Red 2.79879
Ball_257 Red 2.17485
Ball_258 Red 2.17658
Ball_259 Red 2.03885
Ball_260 Red 2.52174
Ball_261 Red 2.39993
Ball_262 Red 2.39561
Ball_263 Red 2.75413
Ball_264 Red 2.94645
Ball_265 Red 2.31273
Ball_266 Red 2.41003
Ball_267 Red 2.29316
Ball_268 Red 2.21074
Ball_269 Red 2.57568
Ball_270 Red 2.39273
Ball_271 Red 2.52933
Ball_272 Red 2.91982
Ball_273 Red 2.43246
Ball_274 Red 2.08092
Ball_275 Red 2.64116
Ball_276 Red 2.53893
Ball_277 Red 2.20328
Ball_278 Red 2.67138
Ball_279 Red 2.50874
Ball_280 Red 2.33188
Ball_281 Red 2.92667
Ball_282 Red 2.63229
Ball_283 Red 2.79989
Ball_284 Red 2.79397
Ball_285 Red 2.95182
Ball_286 Red 2.07209
Ball_287 Red 2.17411
Ball_288 Red 2.52871
Ball_289 Red 2.13127
Ball_290 Red 2.41725
Ball_291 Red 2.09356
Ball_292 Red 2.17043
Ball_293 Red 2.33779
Ball_294 Red 2.31216
Ball_295 Red 2.73902
Ball_296 Red 2.73402
Ball_297 Red 2.39999
Ball_298 Red 2.05083
Ball_299 Red 2.76548
Ball_300 Red 2.83992
Ball_301 Red 2.70223
Ball_302 Red 2.55861
Ball_303 Red 2.58821
Ball_304 Red 2.2157
Ball_305 Red 2.8751
Ball_306 Red 2.07417
Ball_307 Red 2.8389
Ball_308 Red 2.68836
Ball_309 Red 2.13045
Ball_310 Red 2.95517
Ball_311 Red 2.20022
Ball_312 Red 2.44853
Ball_313 Red 2.933
Ball_314 Red 2.55239
Ball_315 Red 2.34927
Ball_316 Red 2.78153
Ball_317 Red 2.06988
Ball_318 Red 2.97415
Ball_319 Red 2.14222
Ball_320 Red 2.7232
Ball_321 Red 2.33644
Ball_322 Red 2.19174
Ball_323 Red 2.44887
Ball_324 Red 2.19133
Ball_325 Red 2.3934
Ball_326 Red 2.3474
Ball_327 Red 2.88385
Ball_328 Red 2.23802
Ball_329 Red 2.98932
Ball_330 Red 2.4363
Ball_331 Red 2.20066
Ball_332 Red 2.73603
Ball_333 Red 2.9155
Ball_334 Red 2.45058
Ball_335 Red 2.97097
Ball_336 Red 2.06658
Ball_337 Red 2.30078
Ball_338 Red 2.33409
Ball_339 Red 2.28979
Ball_340 Red 2.89981
Ball_341 Red 2.14244
Ball_342 Red 2.7556
Ball_343 Red 2.93257
Ball_344 Red 2.66951
Ball_345 Red 2.69821
Ball_346 Red 2.71333
Ball_347 Red 2.54979
Ball_348 Red 2.2447
Ball_349 Red 2.16421
Ball_350 Red 2.77055
Ball_351 Red 2.69304
Ball_352 Red 2.2754
Ball_353 Red 2.03788
Ball_354 Red 2.80785
Ball_355 Red 2.04988
Ball_356 Red 2.33797
Ball_357 Red 2.68702
Ball_358 Red 2.04927
Ball_359 Red 2.34903
Ball_360 Red 2.0258
Ball_361 Red 2.6768
Ball_362 Red 2.81789
Ball_363 Red 2.55354
