REAL_FUNCTION
linear interpolation
x1: 0
x2: 10
NumPoints: 100
0 0
0.10101 0.10101
0.20202 0.20202
0.30303 0.30303
0.40404 0.40404
0.505051 0.505051
0.606061 0.606061
0.707071 0.707071
0.808081 0.808081
0.909091 0.909091
1.0101 1.0303
1.11111 1.33333
1.21212 1.63636
1.31313 1.93939
1.41414 2.24242
1.51515 2.54545
1.61616 2.84848
1.71717 3.15152
1.81818 3.45455
1.91919 3.75758
2.0202 3.87879
2.12121 3.27273
2.22222 2.66667
2.32323 2.06061
2.42424 1.45455
2.52525 0.848485
2.62626 0.242424
2.72727 -0.363636
2.82828 -0.969697
2.92929 -1.57576
3.0303 -2.42424
3.13131 -3.83838
3.23232 -5.25253
3.33333 -6.66667
3.43434 -8.08081
3.53535 -9.49495
3.63636 -10.9091
3.73737 -12.3232
3.83838 -13.7374
3.93939 -15.1515
4.0404 -15.8788
4.14141 -15.5758
4.24242 -15.2727
4.34343 -14.9697
4.44444 -14.6667
4.54545 -14.3636
4.64646 -14.0606
4.74747 -13.7576
4.84848 -13.4545
4.94949 -13.1515
5.05051 -12.0404
5.15152 -10.1212
5.25253 -8.20202
5.35354 -6.28283
5.45455 -4.36364
5.55556 -2.44444
5.65657 -0.525253
5.75758 1.39394
5.85859 3.31313
5.9596 5.23232
6.06061 6.01212
6.16162 6.03232
6.26263 6.05253
6.36364 6.07273
6.46465 6.09293
6.56566 6.11313
6.66667 6.13333
6.76768 6.15354
6.86869 6.17374
6.9697 6.19394
7.07071 6.15051
7.17172 6.0798
7.27273 6.00909
7.37374 5.93838
7.47475 5.86768
7.57576 5.79697
7.67677 5.72626
7.77778 5.65556
7.87879 5.58485
7.9798 5.51414
8.08081 6.02525
8.18182 6.68182
8.28283 7.33838
8.38384 7.99495
8.48485 8.65152
8.58586 9.30808
8.68687 9.96465
8.78788 10.6212
8.88889 11.2778
8.9899 11.9343
9.09091 11.1818
9.19192 10.2727
9.29293 9.36364
9.39394 8.45455
9.49495 7.54545
9.59596 6.63636
9.69697 5.72727
9.79798 4.81818
9.89899 3.90909
10 3
