REAL_FUNCTION
spline interpolation
x1: 0
x2: 10
NumPoints: 100
0 0
0.10101 0.00410897
0.20202 0.0142112
0.30303 0.0363
0.40404 0.0763685
0.505051 0.14041
0.606061 0.234418
0.707071 0.364386
0.808081 0.536306
0.909091 0.756173
1.0101 1.02997
1.11111 1.35848
1.21212 1.72697
1.31313 2.11783
1.41414 2.51346
1.51515 2.89627
1.61616 3.24867
1.71717 3.55304
1.81818 3.79179
1.91919 3.94732
2.0202 4.00205
2.12121 3.94236
2.22222 3.76343
2.32323 3.46164
2.42424 3.03338
2.52525 2.47503
2.62626 1.78297
2.72727 0.953585
2.82828 -0.0167419
2.92929 -1.13163
3.0303 -2.3945
3.13131 -3.79422
3.23232 -5.29492
3.33333 -6.85835
3.43434 -8.44625
3.53535 -10.0204
3.63636 -11.5425
3.73737 -12.9743
3.83838 -14.2776
3.93939 -15.4141
4.0404 -16.3459
4.14141 -17.0488
4.24242 -17.5165
4.34343 -17.7437
4.44444 -17.7252
4.54545 -17.4559
4.64646 -16.9305
4.74747 -16.1438
4.84848 -15.0907
4.94949 -13.7659
5.05051 -12.1657
5.15152 -10.3202
5.25253 -8.29302
5.35354 -6.14948
5.45455 -3.9548
5.55556 -1.77419
5.65657 0.327102
5.75758 2.28386
5.85859 4.03084
5.9596 5.50282
6.06061 6.63838
6.16162 7.43306
6.26263 7.92626
6.36364 8.15853
6.46465 8.17038
6.56566 8.00235
6.66667 7.69498
6.76768 7.28878
6.86869 6.8243
6.9697 6.34207
7.07071 5.88109
7.17172 5.46458
7.27273 5.10645
7.37374 4.82049
7.47475 4.62051
7.57576 4.52028
7.67677 4.53361
7.77778 4.67429
7.87879 4.9561
7.9798 5.39285
8.08081 5.99324
8.18182 6.72855
8.28283 7.55324
8.38384 8.42169
8.48485 9.28829
8.58586 10.1074
8.68687 10.8335
8.78788 11.4209
8.88889 11.8239
8.9899 11.9971
9.09091 11.9037
9.19192 11.5557
9.29293 10.9813
9.39394 10.2089
9.49495 9.26679
9.59596 8.18318
9.69697 6.98641
9.79798 5.70476
9.89899 4.36653
10 3
