MULTI_REAL_FUNCTION
example3_wpf_multi_real_func
2
x1: -10
x2: 10
NumPoints: 500
-10 10.2079 -18.1457 
-9.95992 9.47876 -18.2348 
-9.91984 8.74672 -18.2883 
-9.87976 8.01323 -18.3068 
-9.83968 7.2797 -18.2908 
-9.7996 6.54749 -18.2408 
-9.75952 5.81796 -18.1574 
-9.71944 5.09242 -18.0414 
-9.67936 4.37218 -17.8934 
-9.63928 3.6585 -17.7144 
-9.5992 2.9526 -17.5051 
-9.55912 2.25568 -17.2664 
-9.51904 1.56889 -16.9994 
-9.47896 0.893368 -16.7049 
-9.43888 0.230177 -16.384 
-9.3988 -0.419643 -16.0379 
-9.35872 -1.0551 -15.6675 
-9.31864 -1.67525 -15.274 
-9.27856 -2.27918 -14.8587 
-9.23848 -2.86605 -14.4227 
-9.1984 -3.43505 -13.9672 
-9.15832 -3.98542 -13.4935 
-9.11824 -4.51647 -13.0029 
-9.07816 -5.02753 -12.4967 
-9.03808 -5.51801 -11.976 
-8.998 -5.98736 -11.4424 
-8.95792 -6.43508 -10.897 
-8.91784 -6.86073 -10.3412 
-8.87776 -7.26392 -9.77641 
-8.83768 -7.64431 -9.20385 
-8.7976 -8.00161 -8.62489 
-8.75752 -8.33561 -8.04084 
-8.71743 -8.64612 -7.45303 
-8.67735 -8.93302 -6.86274 
-8.63727 -9.19622 -6.27128 
-8.59719 -9.43572 -5.67991 
-8.55711 -9.65155 -5.08989 
-8.51703 -9.84377 -4.50245 
-8.47695 -10.0125 -3.9188 
-8.43687 -10.158 -3.34013 
-8.39679 -10.2803 -2.76758 
-8.35671 -10.3799 -2.20229 
-8.31663 -10.457 -1.64536 
-8.27655 -10.5119 -1.09783 
-8.23647 -10.5451 -0.560738 
-8.19639 -10.557 -0.035069 
-8.15631 -10.5481 0.478232 
-8.11623 -10.5189 0.978258 
-8.07615 -10.4699 1.46415 
-8.03607 -10.4017 1.93508 
-7.99599 -10.315 2.39028 
-7.95591 -10.2103 2.82901 
-7.91583 -10.0884 3.25061 
-7.87575 -9.94999 3.65444 
-7.83567 -9.79573 4.03991 
-7.79559 -9.6264 4.40649 
-7.75551 -9.44277 4.75369 
-7.71543 -9.24561 5.0811 
-7.67535 -9.03573 5.38832 
-7.63527 -8.81395 5.67502 
-7.59519 -8.5811 5.94094 
-7.55511 -8.33801 6.18585 
-7.51503 -8.08552 6.40956 
-7.47495 -7.8245 6.61197 
-7.43487 -7.55579 6.793 
-7.39479 -7.28026 6.95262 
-7.35471 -6.99875 7.09088 
-7.31463 -6.71213 7.20786 
-7.27455 -6.42125 7.30367 
-7.23447 -6.12695 7.37851 
-7.19439 -5.83006 7.43259 
-7.15431 -5.53142 7.46619 
-7.11423 -5.23184 7.47962 
-7.07415 -4.93212 7.47325 
-7.03407 -4.63304 7.44747 
-6.99399 -4.33538 7.40273 
-6.95391 -4.03988 7.33952 
-6.91383 -3.74728 7.25836 
-6.87375 -3.45828 7.15981 
-6.83367 -3.17357 7.04446 
-6.79359 -2.89381 6.91294 
-6.75351 -2.61964 6.7659 
-6.71343 -2.35166 6.60404 
-6.67335 -2.09044 6.42808 
-6.63327 -1.83656 6.23875 
-6.59319 -1.59051 6.03682 
-6.55311 -1.3528 5.82309 
-6.51303 -1.12388 5.59834 
-6.47295 -0.904172 5.36342 
-6.43287 -0.694071 5.11916 
-6.39279 -0.493932 4.86641 
-6.35271 -0.30408 4.60604 
-6.31263 -0.124801 4.33892 
-6.27255 0.0436511 4.06593 
-6.23246 0.201059 3.78797 
-6.19238 0.347241 3.5059 
-6.1523 0.482051 3.22063 
-6.11222 0.605377 2.93304 
-6.07214 0.717145 2.64401 
-6.03206 0.817315 2.35442 
-5.99198 0.90588 2.06514 
-5.9519 0.982872 1.77701 
-5.91182 1.04835 1.4909 
-5.87174 1.10242 1.20763 
-5.83166 1.14521 0.92801 
-5.79158 1.17687 0.652846 
-5.7515 1.19761 0.382915 
-5.71142 1.20764 0.118973 
-5.67134 1.20723 -0.138247 
-5.63126 1.19666 -0.388037 
-5.59118 1.17624 -0.629713 
-5.5511 1.1463 -0.862621 
-5.51102 1.10722 -1.08614 
-5.47094 1.05937 -1.29966 
-5.43086 1.00318 -1.50264 
-5.39078 0.939066 -1.69454 
-5.3507 0.867495 -1.87486 
-5.31062 0.788937 -2.04315 
-5.27054 0.703882 -2.19897 
-5.23046 0.612839 -2.34195 
-5.19038 0.516328 -2.47173 
-5.1503 0.414885 -2.588 
-5.11022 0.309057 -2.69049 
-5.07014 0.199402 -2.77896 
-5.03006 0.0864844 -2.85323 
-4.98998 -0.0291223 -2.91314 
-4.9499 -0.14684 -2.95857 
-4.90982 -0.266088 -2.98946 
-4.86974 -0.386282 -3.00577 
-4.82966 -0.506837 -3.00752 
-4.78958 -0.627171 -2.99474 
-4.7495 -0.746704 -2.96752 
-4.70942 -0.864858 -2.926 
-4.66934 -0.981064 -2.87034 
-4.62926 -1.09476 -2.80075 
-4.58918 -1.20539 -2.71746 
-4.5491 -1.31241 -2.62076 
-4.50902 -1.4153 -2.51096 
-4.46894 -1.51352 -2.38841 
-4.42886 -1.60659 -2.25349 
-4.38878 -1.694 -2.10664 
-4.3487 -1.7753 -1.94828 
-4.30862 -1.85003 -1.77892 
-4.26854 -1.91776 -1.59905 
-4.22846 -1.97808 -1.40922 
-4.18838 -2.0306 -1.20999 
-4.1483 -2.07495 -1.00196 
-4.10822 -2.11081 -0.785733 
-4.06814 -2.13784 -0.561954 
-4.02806 -2.15576 -0.331279 
-3.98798 -2.16431 -0.0943866 
-3.9479 -2.16325 0.14803 
-3.90782 -2.15238 0.39526 
-3.86774 -2.13151 0.64658 
-3.82766 -2.1005 0.901254 
-3.78758 -2.05923 1.15854 
-3.74749 -2.00761 1.41767 
-3.70741 -1.94558 1.6779 
-3.66733 -1.87311 1.93846 
-3.62725 -1.7902 2.19859 
-3.58717 -1.69688 2.4575 
-3.54709 -1.59323 2.71444 
-3.50701 -1.47933 2.96864 
-3.46693 -1.35531 3.21935 
-3.42685 -1.22132 3.4658 
-3.38677 -1.07755 3.70726 
-3.34669 -0.924222 3.943 
-3.30661 -0.761568 4.17229 
-3.26653 -0.589865 4.39443 
-3.22645 -0.409414 4.60872 
-3.18637 -0.220542 4.8145 
-3.14629 -0.0236046 5.01111 
-3.10621 0.181019 5.19791 
-3.06613 0.392923 5.37431 
-3.02605 0.611678 5.5397 
-2.98597 0.836832 5.69352 
-2.94589 1.06791 5.83526 
-2.90581 1.30442 5.96439 
-2.86573 1.54584 6.08044 
-2.82565 1.79165 6.18296 
-2.78557 2.04129 6.27154 
-2.74549 2.29419 6.34581 
-2.70541 2.54977 6.4054 
-2.66533 2.80744 6.45 
-2.62525 3.0666 6.47935 
-2.58517 3.32662 6.49319 
-2.54509 3.58689 6.49133 
-2.50501 3.84676 6.47359 
-2.46493 4.1056 6.43985 
-2.42485 4.36276 6.39001 
-2.38477 4.61761 6.32402 
-2.34469 4.86948 6.24188 
-2.30461 5.11774 6.1436 
-2.26453 5.36174 6.02925 
-2.22445 5.60084 5.89893 
-2.18437 5.83439 5.7528 
-2.14429 6.06177 5.59102 
-2.10421 6.28236 5.41381 
-2.06413 6.49554 5.22145 
-2.02405 6.70072 5.01421 
-1.98397 6.89729 4.79243 
-1.94389 7.08469 4.55649 
-1.90381 7.26236 4.30678 
-1.86373 7.42975 4.04373 
-1.82365 7.58633 3.76783 
-1.78357 7.73161 3.47958 
-1.74349 7.8651 3.1795 
-1.70341 7.98633 2.86818 
-1.66333 8.09487 2.54619 
-1.62325 8.1903 2.21417 
-1.58317 8.27223 1.87276 
-1.54309 8.3403 1.52263 
-1.50301 8.39418 1.16449 
-1.46293 8.43355 0.799054 
-1.42285 8.45815 0.427057 
-1.38277 8.46771 0.0492596 
-1.34269 8.46203 -0.333564 
-1.30261 8.44091 -0.720623 
-1.26253 8.40422 -1.11112 
-1.22244 8.35181 -1.50423 
-1.18236 8.28361 -1.89913 
-1.14228 8.19956 -2.295 
-1.1022 8.09964 -2.69099 
-1.06212 7.98386 -3.08627 
-1.02204 7.85227 -3.47999 
-0.981964 7.70494 -3.87131 
-0.941884 7.54198 -4.25939 
-0.901804 7.36356 -4.64339 
-0.861723 7.16983 -5.02249 
-0.821643 6.96103 -5.39586 
-0.781563 6.73739 -5.7627 
-0.741483 6.49919 -6.12219 
-0.701403 6.24674 -6.47357 
-0.661323 5.98038 -6.81606 
-0.621242 5.70049 -7.14892 
-0.581162 5.40746 -7.47141 
-0.541082 5.10173 -7.78283 
-0.501002 4.78374 -8.0825 
-0.460922 4.454 -8.36977 
-0.420842 4.11299 -8.64399 
-0.380762 3.76127 -8.90459 
-0.340681 3.39939 -9.15098 
-0.300601 3.02792 -9.38264 
-0.260521 2.64748 -9.59907 
-0.220441 2.25867 -9.79981 
-0.180361 1.86214 -9.98444 
-0.140281 1.45853 -10.1526 
-0.1002 1.04853 -10.3039 
-0.0601202 0.632802 -10.438 
-0.0200401 0.212045 -10.5548 
0.0200401 -0.213039 -10.654 
0.0601202 -0.641744 -10.7354 
0.1002 -1.07336 -10.799 
0.140281 -1.50716 -10.8447 
0.180361 -1.94243 -10.8725 
0.220441 -2.37846 -10.8824 
0.260521 -2.81453 -10.8746 
0.300601 -3.24994 -10.8492 
0.340681 -3.68398 -10.8065 
0.380762 -4.11596 -10.7468 
0.420842 -4.54522 -10.6703 
0.460922 -4.97108 -10.5777 
0.501002 -5.39292 -10.4694 
0.541082 -5.81011 -10.3459 
0.581162 -6.22206 -10.208 
0.621242 -6.6282 -10.0564 
0.661323 -7.02801 -9.89208 
0.701403 -7.421 -9.71591 
0.741483 -7.8067 -9.52903 
0.781563 -8.18472 -9.33269 
0.821643 -8.5547 -9.12827 
0.861723 -8.91636 -8.91734 
0.901804 -9.26946 -8.70168 
0.941884 -9.61385 -8.4833 
0.981964 -9.94948 -8.26449 
1.02204 -10.2764 -8.04788 
1.06212 -10.5947 -7.83651 
1.1022 -10.9047 -7.63395 
1.14228 -11.2068 -7.44439 
1.18236 -11.5016 -7.2728 
1.22244 -11.7901 -7.12523 
1.26253 -12.0732 -7.00903 
1.30261 -12.3525 -6.93335 
1.34269 -12.6297 -6.90969 
1.38277 -12.9073 -6.95282 
1.42285 -13.1882 -7.08206 
