REAL_FUNCTION
Projectile y(x)
x1: 0
x2: 49949
NumPoints: 100
0 0
504.536 500.422
1009.07 990.655
1513.61 1470.7
2018.14 1940.55
2522.68 2400.22
3027.21 2849.7
3531.75 3288.99
4036.29 3718.09
4540.82 4137
5045.36 4545.72
5549.89 4944.23
6054.43 5332.53
6558.96 5710.65
7063.5 6078.58
7568.04 6436.31
8072.57 6783.86
8577.11 7121.22
9081.64 7448.4
9586.18 7765.38
10090.7 8072.17
10595.2 8368.77
11099.8 8655.14
11604.3 8931.33
12108.9 9197.33
12613.4 9453.14
13117.9 9698.76
13622.5 9934.2
14127 10159.4
14631.5 10374.5
15136.1 10579.4
15640.6 10774
16145.1 10958.5
16649.7 11132.8
17154.2 11296.8
17658.7 11450.7
18163.3 11594.4
18667.8 11727.9
19172.4 11851.2
19676.9 11964.4
20181.4 12067.3
20686 12160
21190.5 12242.6
21695 12314.9
22199.6 12377.1
22704.1 12429
23208.6 12470.8
23713.2 12502.4
24217.7 12523.7
24722.2 12534.9
25226.8 12536
25731.3 12526.8
26235.9 12507.4
26740.4 12477.8
27244.9 12438
27749.5 12388
28254 12327.9
28758.5 12257.5
29263.1 12177
29767.6 12086.3
30272.1 11985.4
30776.7 11874.2
31281.2 11753
31785.7 11621.4
32290.3 11479.7
32794.8 11327.8
33299.4 11165.7
33803.9 10993.5
34308.4 10811
34813 10618.3
35317.5 10415.5
35822 10202.5
36326.6 9979.23
36831.1 9745.8
37335.6 9502.16
37840.2 9248.34
38344.7 8984.32
38849.2 8710.11
39353.8 8425.72
39858.3 8131.14
40362.9 7826.36
40867.4 7511.4
41371.9 7186.25
41876.5 6850.91
42381 6505.34
42885.5 6149.58
43390.1 5783.64
43894.6 5407.51
44399.1 5021.18
44903.7 4624.67
45408.2 4217.97
45912.7 3801.08
46417.3 3374.01
46921.8 2936.74
47426.4 2489.25
47930.9 2031.57
48435.4 1563.7
48940 1085.64
49444.5 597.386
49949 103.972
